SURVEY: DES   
SNID:   211354   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.92774 +- 0.03910  (Helio, z_best) 
REDSHIFT_FINAL:   0.92774 +- 0.03910  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17823 
HOST_GALAXY_PHOTO-Z:   0.9277  +- 0.0391  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.9300  
SIM_HOSTLIB_TRUEZ:  0.9300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17823  
SIM_DLMU:      43.905643  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0115   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.72  24.42  23.79  23.71  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56299.332031  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.411e-06   
SIM_SALT2x1:    0.6660   
SIM_SALT2c:     0.0663   
SIM_SALT2mB:   24.6794   
SIM_STRETCH:    1.666  
SIM_MAGDIM:    1.257  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.95   days 
SIM_TRESTMAX:     9.69   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56299.395  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 53 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56228.012  z NULL  -3.744e+00   5.545e+00  -0.68   99.000    5.000   98.835
OBS:  56229.012  g NULL   1.351e+00   9.817e+00   0.14   99.000    5.000   98.379
OBS:  56229.016  r NULL  -1.458e+00   4.316e+00  -0.34   99.000    5.000   98.631
OBS:  56229.023  i NULL  -1.343e+01   7.811e+00  -1.72   99.000    5.000   98.804
OBS:  56230.012  z NULL  -1.455e+00   4.914e+00  -0.30   99.000    5.000   98.835
OBS:  56231.012  g NULL   2.804e-01   6.914e+00   0.04   99.000    5.000   98.379
OBS:  56231.020  r NULL   9.522e-01   2.783e+00   0.34   99.000    5.000   98.631
OBS:  56231.027  i NULL  -2.791e+00   4.071e+00  -0.69   99.000    5.000   98.804
OBS:  56235.020  z NULL   5.727e+00   5.690e+00   1.01   99.000    5.000   98.835
OBS:  56236.027  g NULL   6.447e+00   5.173e+00   1.25   99.000    5.000   98.379
OBS:  56236.035  r NULL  -1.155e-01   5.378e+00  -0.02   99.000    5.000   98.631
OBS:  56236.039  i NULL   3.109e+00   7.619e+00   0.41   99.000    5.000   98.804
OBS:  56237.023  z NULL   6.913e-01   5.123e+00   0.13   99.000    5.000   98.835
OBS:  56238.023  g NULL  -9.753e-01   3.612e+00  -0.27   99.000    5.000   98.379
OBS:  56238.031  r NULL   1.427e+00   2.785e+00   0.51   99.000    5.000   98.631
OBS:  56238.039  i NULL  -9.153e+00   4.812e+00  -1.90   99.000    5.000   98.804
OBS:  56243.070  z NULL  -2.068e+00   5.344e+00  -0.39   99.000    5.000   98.835
OBS:  56244.047  g NULL   2.066e+00   4.182e+00   0.49   99.000    5.000   98.379
OBS:  56244.055  r NULL  -3.689e+00   2.823e+00  -1.31   99.000    5.000   98.631
OBS:  56244.070  i NULL   4.469e+00   4.407e+00   1.01   99.000    5.000   98.804
OBS:  56245.027  z NULL   5.511e+00   3.541e+00   1.56   99.000    5.000   98.835
OBS:  56246.082  g NULL   4.437e-01   2.833e+00   0.16   99.000    5.000   98.379
OBS:  56246.098  r NULL  -3.015e+00   2.464e+00  -1.22   99.000    5.000   98.631
OBS:  56246.109  i NULL   1.320e+01   5.439e+00   2.43   99.000    5.000   98.804
OBS:  56247.250  z NULL  -4.624e-01   6.291e+00  -0.07   99.000    5.000   98.835
OBS:  56254.199  g NULL  -5.067e+00   6.131e+00  -0.83   99.000    5.000   98.379
OBS:  56254.211  r NULL  -3.245e+00   3.375e+00  -0.96   99.000    5.000   98.631
OBS:  56254.227  i NULL   1.385e+01   6.216e+00   2.23   99.000    5.000   98.804
OBS:  56258.191  z NULL   1.117e+00   5.862e+00   0.19   99.000    5.000   98.835
OBS:  56261.066  g NULL   7.475e+00   6.915e+00   1.08   25.316    2.810   34.130
