SURVEY: DES   
SNID:   212830   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.38169 +- 0.02540  (Helio, z_best) 
REDSHIFT_FINAL:   0.38169 +- 0.02540  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14873 
HOST_GALAXY_PHOTO-Z:   0.3817  +- 0.0254  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      3   (non1a index) 
SIM_COMMENT:  SN Type = IIP , MODEL = NUGENT2P  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.4170  
SIM_HOSTLIB_TRUEZ:  0.4200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14873  
SIM_DLMU:      41.791241  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0196   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.56  25.08  24.81  24.63  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56346.910156  days 
SIM_SALT2x0:   1.921e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.69   days 
SIM_TRESTMAX:     1.47   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56347.164  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 25 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56292.090  g NULL   1.956e+00   1.142e+01   0.17   99.000    5.000   98.587
OBS:  56298.039  r NULL  -8.705e-01   2.411e+00  -0.36   99.000    5.000   98.569
OBS:  56298.047  i NULL   1.126e+00   3.550e+00   0.32   99.000    5.000   98.548
OBS:  56298.055  z NULL  -3.698e+00   3.959e+00  -0.93   99.000    5.000   98.600
OBS:  56304.043  g NULL   9.191e-01   2.546e+00   0.36   99.000    5.000   98.587
OBS:  56306.102  r NULL   8.696e-01   3.207e+00   0.27   99.000    5.000   98.569
OBS:  56306.113  i NULL   6.696e+00   4.305e+00   1.56   99.000    5.000   98.548
OBS:  56306.121  z NULL  -8.615e+00   5.391e+00  -1.60   99.000    5.000   98.600
OBS:  56312.047  g NULL   8.230e+00   9.603e+00   0.86   99.000    5.000   98.587
OBS:  56318.066  r NULL   2.948e+00   4.571e+00   0.65   99.000    5.000   98.569
OBS:  56318.078  i NULL  -4.450e+00   7.971e+00  -0.56   99.000    5.000   98.548
OBS:  56318.086  z NULL  -1.347e+01   6.372e+00  -2.11   99.000    5.000   98.600
OBS:  56320.035  g NULL  -4.643e+00   1.145e+01  -0.41   99.000    5.000   98.587
OBS:  56327.039  r NULL   1.834e+00   2.800e+00   0.66   26.841  101.159   25.916
OBS:  56327.047  i NULL  -1.456e+00   4.173e+00  -0.35  128.000    0.000   25.999
OBS:  56327.055  z NULL   6.336e+00   4.752e+00   1.33   25.496    1.505   25.791
OBS:  56328.039  g NULL  -1.765e+00   3.710e+00  -0.48  128.000    0.000   26.145
OBS:  56336.043  r NULL   1.693e+01   3.107e+00   5.45   24.429    0.220   24.604
OBS:  56336.055  i NULL   2.740e+01   5.039e+00   5.44   23.906    0.220   24.527
OBS:  56337.043  z NULL   1.387e+01   4.051e+00   3.42   24.645    0.376   24.338
OBS:  56338.043  g NULL   3.335e+00   3.565e+00   0.94   26.192  101.808   25.886
OBS:  56347.996  r NULL   1.291e+01   2.500e+00   5.16   24.723    0.233   25.099
OBS:  56348.004  i NULL   1.518e+01   4.879e+00   3.11   24.547    0.421   24.811
OBS:  56348.008  z NULL   1.828e+01   6.572e+00   2.78   24.345    0.483   24.643
OBS:  56348.996  g NULL   6.166e+00   5.509e+00   1.12   25.525    2.430   26.728
END: 
