SURVEY: DES   
SNID:   212995   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.76131 +- 0.02780  (Helio, z_best) 
REDSHIFT_FINAL:   0.76131 +- 0.02780  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14564 
HOST_GALAXY_PHOTO-Z:   0.7613  +- 0.0278  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.7738  
SIM_HOSTLIB_TRUEZ:  0.7700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14564  
SIM_DLMU:      43.413731  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0740   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.50  23.42  23.33  23.31  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56187.929688  days 
SIM_SALT2x0:   4.310e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -5.47   days 
SIM_TRESTMAX:    70.00   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56185.977  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 102 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   3.101e+01   1.054e+01   2.94   23.771    0.453   23.230
OBS:  56178.250  r NULL   4.171e+01   7.896e+00   5.28   23.449    0.228   23.300
OBS:  56178.266  i NULL   4.548e+01   9.361e+00   4.86   23.355    0.250   23.291
OBS:  56179.211  z NULL   4.431e+01   5.399e+00   8.21   23.384    0.141   23.335
OBS:  56180.219  g NULL   5.456e+01   3.493e+00  15.62   23.158    0.071   23.274
OBS:  56180.234  r NULL   5.158e+01   2.649e+00  19.47   23.219    0.057   23.324
OBS:  56180.250  i NULL   4.837e+01   4.426e+00  10.93   23.289    0.104   23.303
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.191  z NULL   5.296e+01   2.735e+01   1.94   23.190    0.789   23.309
OBS:  56188.340  g NULL   8.081e+00   2.570e+01   0.31   25.231  102.769   23.522
OBS:  56188.355  r NULL   3.711e+01   4.247e+00   8.74   23.576    0.133   23.430
OBS:  56189.195  i NULL   2.484e+01   3.097e+01   0.80   24.012  103.988   23.342
OBS:  56194.215  g NULL   3.355e+01   4.878e+00   6.88   23.686    0.171   23.718
OBS:  56194.223  r NULL   3.849e+01   5.488e+00   7.01   23.537    0.167   23.529
OBS:  56194.227  z NULL   5.444e+01   6.629e+00   8.21   23.160    0.140   23.335
OBS:  56200.234  i NULL   2.617e+01   1.200e+01   2.18   23.956    0.667   23.469
OBS:  56208.160  g NULL   2.749e+01   3.090e+00   8.90   23.902    0.129   24.017
OBS:  56208.176  r NULL   3.074e+01   2.524e+00  12.18   23.781    0.093   23.793
OBS:  56208.191  z NULL   3.989e+01   5.000e+00   7.98   23.498    0.145   23.563
OBS:  56210.156  i NULL   2.964e+01   7.056e+00   4.20   23.820    0.295   23.677
OBS:  56216.164  g NULL   1.392e+01   2.765e+00   5.04   24.641    0.242   24.247
OBS:  56216.176  r NULL   2.413e+01   2.111e+00  11.43   24.044    0.100   23.992
OBS:  56216.191  z NULL   2.679e+01   4.083e+00   6.56   23.930    0.180   23.729
OBS:  56219.211  i NULL   3.110e+01   3.062e+00  10.16   23.768    0.112   23.889
OBS:  56221.148  g NULL  -4.000e+00   1.594e+01  -0.25  128.000    0.000   24.436
OBS:  56221.160  r NULL   1.426e+01   6.072e+00   2.35   24.615    0.604   24.144
OBS:  56221.176  z NULL   2.758e+01   1.541e+01   1.79   23.898    0.888   23.846
OBS:  56222.105  i NULL   3.946e+01   9.228e+00   4.28   23.509    0.289   23.970
OBS:  56222.312  g NULL   1.828e+01   4.163e+00   4.39   24.345    0.280   24.485
OBS:  56222.324  r NULL   1.913e+01   1.519e+01   1.26   24.296    1.715   24.184
OBS:  56222.340  z NULL  -2.107e+01   4.086e+01  -0.52  128.000    0.000   23.875
OBS:  56228.297  g NULL  -6.150e+00   1.504e+01  -0.41  128.000    0.000   24.783
OBS:  56228.305  r NULL   2.581e+01   5.521e+00   4.68   23.970    0.261   24.418
OBS:  56228.312  i NULL   1.457e+01   9.420e+00   1.55   24.591    1.130   24.175
OBS:  56228.320  z NULL   2.497e+01   5.822e+00   4.29   24.006    0.288   24.049
OBS:  56229.320  g NULL   9.135e+00   1.406e+01   0.65   25.098  102.902   24.843
OBS:  56229.332  r NULL   1.588e+01   7.263e+00   2.19   24.498    0.664   24.464
OBS:  56229.348  i NULL   3.784e+01   1.297e+01   2.92   23.555    0.455   24.215
OBS:  56230.070  z NULL   1.455e+00   7.136e+00   0.20   27.093  100.907   24.107
OBS:  56230.316  g NULL   3.595e-01   1.369e+01   0.03   28.611   99.389   24.905
OBS:  56230.328  r NULL   1.377e+01   6.683e+00   2.06   24.653    0.722   24.512
OBS:  56230.344  i NULL   2.361e+01   1.240e+01   1.90   24.067    0.809   24.254
OBS:  56231.301  g NULL   8.572e+00   1.167e+01   0.73   25.167  102.833   24.970
OBS:  56231.316  r NULL   2.897e+01   6.048e+00   4.79   23.845    0.253   24.561
