SURVEY: DES   
SNID:   216192   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.74536 +- 0.01600  (Helio, z_best) 
REDSHIFT_FINAL:   0.74536 +- 0.01600  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18496 
HOST_GALAXY_PHOTO-Z:   0.7454  +- 0.0160  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.7531  
SIM_HOSTLIB_TRUEZ:  0.7500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18496  
SIM_DLMU:      43.341290  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0268   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.27  23.52  23.11  23.32  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56239.160156  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.785e-06   
SIM_SALT2x1:   -0.4406   
SIM_SALT2c:    -0.0923   
SIM_SALT2mB:   23.7293   
SIM_STRETCH:    0.559  
SIM_MAGDIM:    0.871  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -35.36   days 
SIM_TRESTMAX:    63.79   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56240.730  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 135 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   1.527e-01   4.786e+00   0.03   99.000    5.000   98.757
OBS:  56177.188  r NULL  -1.940e-01   5.334e+00  -0.04   99.000    5.000   99.065
OBS:  56177.203  i NULL   1.545e+00   5.436e+00   0.28   99.000    5.000   99.072
OBS:  56177.234  z NULL   4.220e+00   4.691e+00   0.90   99.000    5.000   99.075
OBS:  56179.172  g NULL  -9.792e-01   2.238e+00  -0.44   99.000    5.000   98.757
OBS:  56179.312  r NULL   4.573e+00   3.031e+00   1.51   99.000    5.000   99.065
OBS:  56179.328  i NULL   1.890e+00   4.199e+00   0.45   99.000    5.000   99.072
OBS:  56179.359  z NULL   2.219e+00   3.517e+00   0.63   99.000    5.000   99.075
OBS:  56187.156  g NULL   1.717e+00   1.702e+00   1.01   99.000    5.000   98.757
OBS:  56187.172  r NULL  -1.004e+00   1.251e+00  -0.80   99.000    5.000   99.065
OBS:  56187.188  i NULL  -1.282e+00   1.897e+00  -0.68   99.000    5.000   99.072
OBS:  56187.211  z NULL  -4.126e-01   2.175e+00  -0.19   99.000    5.000   99.075
OBS:  56189.148  g NULL   1.198e+00   9.760e+00   0.12   99.000    5.000   98.757
OBS:  56189.160  r NULL   1.110e+00   3.876e+00   0.29   99.000    5.000   99.065
OBS:  56189.176  i NULL  -5.911e-01   8.070e+00  -0.07   99.000    5.000   99.072
OBS:  56189.203  z NULL  -1.943e+00   4.692e+00  -0.41   99.000    5.000   99.075
OBS:  56194.121  g NULL   5.188e+00   3.772e+00   1.38   99.000    5.000   98.757
OBS:  56194.129  r NULL   2.661e-02   2.349e+00   0.01   99.000    5.000   99.065
OBS:  56200.156  i NULL  -1.124e+01   8.068e+00  -1.39   99.000    5.000   99.072
OBS:  56200.180  z NULL  -1.790e+00   5.635e+00  -0.32   99.000    5.000   99.075
OBS:  56207.156  g NULL  -3.534e+00   2.280e+00  -1.55  128.000    0.000   32.066
OBS:  56207.172  r NULL  -5.943e-01   1.603e+00  -0.37  128.000    0.000   28.558
OBS:  56209.191  i NULL   2.778e+00   2.140e+00   1.30   26.391    1.598   27.152
OBS:  56209.215  z NULL  -1.857e+00   2.201e+00  -0.84  128.000    0.000   27.183
OBS:  56215.164  g NULL   2.041e+00   1.596e+00   1.28   26.725    1.654   28.500
