SURVEY: DES   
SNID:   217259   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.88487 +- 0.01470  (Helio, z_best) 
REDSHIFT_FINAL:   0.88487 +- 0.01470  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12802 
HOST_GALAXY_PHOTO-Z:   0.8849  +- 0.0147  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.8811  
SIM_HOSTLIB_TRUEZ:  0.8800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12802  
SIM_DLMU:      43.760723  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0087   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.33  25.22  24.24  24.21  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56312.113281  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.920e-06   
SIM_SALT2x1:   -0.1194   
SIM_SALT2c:     0.1619   
SIM_SALT2mB:   24.9269   
SIM_STRETCH:    0.881  
SIM_MAGDIM:    1.649  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.91   days 
SIM_TRESTMAX:    20.72   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56311.668  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 93 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56237.039  g NULL   1.320e+00   3.164e+00   0.42   99.000    5.000   99.011
OBS:  56237.051  r NULL  -7.308e-01   2.212e+00  -0.33   99.000    5.000   99.048
OBS:  56237.094  i NULL   2.877e+00   2.491e+00   1.15   99.000    5.000   99.051
OBS:  56237.125  z NULL   1.013e+00   3.695e+00   0.27   99.000    5.000   99.071
OBS:  56238.074  g NULL  -5.518e+00   2.524e+00  -2.19   99.000    5.000   99.011
OBS:  56238.094  r NULL   3.649e-01   1.588e+00   0.23   99.000    5.000   99.048
OBS:  56238.109  i NULL  -1.504e+00   2.722e+00  -0.55   99.000    5.000   99.051
OBS:  56238.129  z NULL  -5.615e+00   3.107e+00  -1.81   99.000    5.000   99.071
OBS:  56243.098  g NULL   8.716e-01   2.168e+00   0.40   99.000    5.000   99.011
OBS:  56243.109  r NULL   1.838e+00   1.654e+00   1.11   99.000    5.000   99.048
OBS:  56243.125  i NULL   1.405e+00   2.564e+00   0.55   99.000    5.000   99.051
OBS:  56243.152  z NULL  -2.256e+00   2.550e+00  -0.88   99.000    5.000   99.071
OBS:  56244.082  g NULL  -2.452e+00   2.191e+00  -1.12   99.000    5.000   99.011
OBS:  56244.098  r NULL   1.225e+00   1.634e+00   0.75   99.000    5.000   99.048
OBS:  56244.109  i NULL  -8.628e-01   2.588e+00  -0.33   99.000    5.000   99.051
OBS:  56244.133  z NULL  -4.013e-02   2.982e+00  -0.01   99.000    5.000   99.071
OBS:  56245.070  g NULL   4.041e-01   1.718e+00   0.24   99.000    5.000   99.011
OBS:  56245.082  r NULL  -5.073e-02   1.352e+00  -0.04   99.000    5.000   99.048
OBS:  56245.109  i NULL   1.968e+00   3.211e+00   0.61   99.000    5.000   99.051
OBS:  56245.137  z NULL  -1.826e+00   2.836e+00  -0.64   99.000    5.000   99.071
OBS:  56246.117  g NULL  -3.752e+00   6.562e+00  -0.57   99.000    5.000   99.011
OBS:  56246.125  r NULL   9.622e-01   2.810e+00   0.34   99.000    5.000   99.048
OBS:  56246.152  i NULL  -2.892e-01   1.959e+00  -0.15   99.000    5.000   99.051
OBS:  56246.180  z NULL   3.129e+00   1.934e+00   1.62   99.000    5.000   99.071
OBS:  56247.281  g NULL  -1.569e+00   1.489e+00  -1.05   99.000    5.000   99.011
