SURVEY: DES   
SNID:   218737   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.88020 +- 0.04550  (Helio, z_best) 
REDSHIFT_FINAL:   0.88020 +- 0.04550  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11162 
HOST_GALAXY_PHOTO-Z:   0.8802  +- 0.0455  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.8297  
SIM_HOSTLIB_TRUEZ:  0.8300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11162  
SIM_DLMU:      43.599964  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0714   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.028  mag  (host extinction at 5510 A)
SIM_RV:         2.108   (CCM89 extinction parameter) 
SIM_PEAKMAG:   26.44  24.22  23.50  23.62  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56192.906250  days 
SIM_DELTA:     -0.019  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.019  
SIM_MAGDIM:    0.225  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -8.02   days 
SIM_TRESTMAX:    69.50   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56194.816  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 107 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   3.740e+00   1.048e+01   0.36   26.068  101.932   26.937
OBS:  56178.250  r NULL   1.867e+01   7.853e+00   2.38   24.322    0.592   24.683
OBS:  56178.266  i NULL   2.277e+01   9.326e+00   2.44   24.107    0.572   24.083
OBS:  56179.211  z NULL   2.150e+01   5.347e+00   4.02   24.169    0.311   24.112
OBS:  56180.219  g NULL  -4.159e+00   3.211e+00  -1.29  128.000    0.000   26.741
OBS:  56180.234  r NULL   1.410e+01   2.455e+00   5.74   24.627    0.208   24.472
OBS:  56180.250  i NULL   3.327e+01   4.368e+00   7.62   23.695    0.152   23.889
OBS:  56188.191  z NULL   4.248e+01   2.734e+01   1.55   23.430    1.120   23.678
OBS:  56188.340  g NULL   2.284e+00   2.558e+01   0.09   26.603  101.397   26.165
OBS:  56188.355  r NULL   2.485e+01   4.198e+00   5.92   24.012    0.201   24.130
OBS:  56189.195  i NULL   4.165e+01   3.098e+01   1.34   23.451    1.478   23.517
OBS:  56194.215  g NULL   6.963e+00   4.771e+00   1.46   25.393    1.254   26.450
OBS:  56194.223  r NULL   2.353e+01   5.438e+00   4.33   24.071    0.285   24.258
OBS:  56194.227  z NULL   3.803e+01   6.587e+00   5.77   23.550    0.206   23.610
OBS:  56200.234  i NULL   3.603e+01   1.201e+01   3.00   23.608    0.440   23.651
OBS:  56208.160  g NULL   3.548e+00   2.975e+00   1.19   26.125    1.978   27.768
OBS:  56208.176  r NULL   1.049e+01   2.445e+00   4.29   24.949    0.288   25.097
OBS:  56208.191  z NULL   3.125e+01   4.977e+00   6.28   23.763    0.188   23.861
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56210.156  i NULL   1.319e+01   7.036e+00   1.87   24.699    0.829   24.099
OBS:  56216.164  g NULL   5.060e-01   2.687e+00   0.19   28.240   99.760   28.372
OBS:  56216.176  r NULL   5.755e+00   2.044e+00   2.82   25.600    0.476   25.702
OBS:  56216.191  z NULL   1.904e+01   4.065e+00   4.68   24.301    0.261   24.163
OBS:  56219.211  i NULL   1.648e+01   3.012e+00   5.47   24.458    0.219   24.678
OBS:  56221.148  g NULL  -2.092e+00   1.591e+01  -0.13  128.000    0.000   28.931
OBS:  56221.160  r NULL   8.478e+00   6.052e+00   1.40   25.179    1.358   26.130
