SURVEY: DES   
SNID:   220312   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.67757 +- 0.03990  (Helio, z_best) 
REDSHIFT_FINAL:   0.67757 +- 0.03990  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13245 
HOST_GALAXY_PHOTO-Z:   0.6776  +- 0.0399  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.7131  
SIM_HOSTLIB_TRUEZ:  0.7100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13245  
SIM_DLMU:      43.196068  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0078   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.20  23.84  23.50  23.50  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56151.187500  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.049e-06   
SIM_SALT2x1:    0.6985   
SIM_SALT2c:     0.1132   
SIM_SALT2mB:   24.1165   
SIM_STRETCH:    1.699  
SIM_MAGDIM:    1.403  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    14.60   days 
SIM_TRESTMAX:    64.19   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56151.301  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 106 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   6.932e+00   4.766e+00   1.45   25.398    1.262   28.131
OBS:  56176.199  r NULL   5.272e+00   2.135e+00   2.47   25.695    0.565   25.132
OBS:  56176.215  i NULL   1.901e+01   3.169e+00   6.00   24.303    0.198   24.332
OBS:  56176.238  z NULL   2.275e+01   2.521e+00   9.02   24.108    0.128   24.033
OBS:  56179.188  g NULL   3.591e+00   2.585e+00   1.39   26.112    1.381   28.519
OBS:  56179.195  r NULL   6.774e+00   1.717e+00   3.95   25.423    0.317   25.343
OBS:  56179.234  i NULL   1.217e+01   2.002e+00   6.08   24.787    0.196   24.495
OBS:  56179.266  z NULL   1.466e+01   3.741e+00   3.92   24.585    0.321   24.141
OBS:  56180.266  g NULL  -3.866e+00   2.552e+00  -1.52  128.000    0.000   28.623
OBS:  56180.281  r NULL   6.815e+00   1.311e+00   5.20   25.416    0.232   25.423
OBS:  56180.297  i NULL   1.680e+01   3.699e+00   4.54   24.437    0.270   24.555
OBS:  56180.328  z NULL   2.199e+01   4.506e+00   4.88   24.145    0.249   24.177
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.160  g NULL  -1.373e+00   5.684e+00  -0.24  128.000    0.000   29.499
OBS:  56188.176  r NULL   1.133e+01   5.575e+00   2.03   24.864    0.735   26.004
OBS:  56188.211  i NULL   3.477e+00   4.522e+00   0.77   26.147  101.853   25.003
OBS:  56188.238  z NULL   1.429e+01   3.411e+00   4.19   24.613    0.297   24.393
OBS:  56189.254  g NULL  -5.671e+00   2.286e+00  -2.48  128.000    0.000   30.023
OBS:  56189.270  r NULL   6.200e+00   3.271e+00   1.90   25.519    0.814   26.088
OBS:  56189.281  i NULL   2.619e+00   9.048e+00   0.29   26.454  101.546   25.059
OBS:  56189.312  z NULL   1.456e+01   2.979e+00   4.89   24.592    0.249   24.419
OBS:  56194.258  g NULL   5.230e-01   2.636e+00   0.20   28.204   99.796   31.040
OBS:  56194.270  r NULL   1.060e+00   1.488e+00   0.71   27.437  100.563   26.393
OBS:  56194.285  i NULL   6.941e+00   2.297e+00   3.02   25.396    0.437   25.313
OBS:  56194.305  z NULL   1.917e+01   2.413e+00   7.95   24.293    0.145   24.545
OBS:  56202.160  g NULL  -1.314e+01   4.797e+00  -2.74  128.000    0.000   28.980
OBS:  56202.176  r NULL   4.483e-01   2.323e+00   0.19   28.371   99.629   26.652
OBS:  56202.191  i NULL   9.408e+00   4.167e+00   2.26   25.066    0.635   25.687
OBS:  56202.215  z NULL   1.316e+01   2.723e+00   4.83   24.702    0.252   24.786
OBS:  56210.172  g NULL   3.890e+00   3.691e+00   1.05   26.025    3.224   28.918
OBS:  56210.188  r NULL   3.909e+00   3.216e+00   1.22   26.020    1.877   26.904
OBS:  56210.203  i NULL   5.808e+00   3.211e+00   1.81   25.590    0.873   26.012
OBS:  56210.234  z NULL   9.660e+00   3.850e+00   2.51   25.038    0.552   25.083
OBS:  56218.172  g NULL  -1.099e+00   1.250e+00  -0.88  128.000    0.000   29.165
OBS:  56218.191  r NULL  -4.893e-01   9.572e-01  -0.51  128.000    0.000   27.182
OBS:  56218.211  i NULL   1.638e+00   1.501e+00   1.09   26.964    2.705   26.123
OBS:  56219.156  z NULL   2.914e+00   1.935e+00   1.51   26.339    1.189   25.309
OBS:  56221.273  g NULL   8.783e-01   3.910e+00   0.22   27.641  100.359   29.395
OBS:  56221.281  r NULL   1.767e+00   5.581e+00   0.32   26.882  101.118   27.279
