SURVEY: DES   
SNID:   230603   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.89268 +- 0.01680  (Helio, z_best) 
REDSHIFT_FINAL:   0.89268 +- 0.01680  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13069 
HOST_GALAXY_PHOTO-Z:   0.8927  +- 0.0168  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.8961  
SIM_HOSTLIB_TRUEZ:  0.9000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13069  
SIM_DLMU:      43.805954  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0250   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.41  24.24  23.44  23.56  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56334.554688  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.629e-06   
SIM_SALT2x1:   -0.4537   
SIM_SALT2c:    -0.0798   
SIM_SALT2mB:   24.2356   
SIM_STRETCH:    0.546  
SIM_MAGDIM:    0.913  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.76   days 
SIM_TRESTMAX:     8.67   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56335.160  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56259.160  i NULL  -1.728e+00   4.540e+00  -0.38   99.000    5.000   98.949
OBS:  56259.180  z NULL  -3.586e+00   3.060e+00  -1.17   99.000    5.000   98.979
OBS:  56261.215  g NULL   1.116e+00   3.958e+00   0.28   99.000    5.000   99.118
OBS:  56261.230  r NULL  -1.060e+00   1.853e+00  -0.57   99.000    5.000   98.980
OBS:  56267.156  i NULL   1.283e+00   2.211e+00   0.58   99.000    5.000   98.949
OBS:  56267.180  z NULL  -2.829e+00   3.049e+00  -0.93   99.000    5.000   98.979
OBS:  56274.160  g NULL   1.255e+00   2.033e+00   0.62   99.000    5.000   99.118
OBS:  56274.176  r NULL  -7.807e-01   1.444e+00  -0.54   99.000    5.000   98.980
OBS:  56275.223  i NULL  -4.863e-01   3.008e+00  -0.16   99.000    5.000   98.949
OBS:  56276.191  z NULL   3.642e+00   3.402e+00   1.07   99.000    5.000   98.979
OBS:  56282.160  g NULL  -8.766e+00   3.407e+00  -2.57   99.000    5.000   99.118
OBS:  56282.184  r NULL  -2.176e+00   2.178e+00  -1.00   99.000    5.000   98.980
OBS:  56287.160  i NULL   1.713e+00   4.985e+00   0.34   99.000    5.000   98.949
OBS:  56287.191  z NULL  -5.990e+00   3.895e+00  -1.54   99.000    5.000   98.979
OBS:  56289.035  g NULL   1.304e+01   1.189e+01   1.10   99.000    5.000   99.118
OBS:  56289.043  r NULL   1.618e+00   4.183e+00   0.39   99.000    5.000   98.980
OBS:  56289.152  i NULL   1.558e-01   4.327e+00   0.04   99.000    5.000   98.949
OBS:  56289.176  z NULL   3.836e+00   4.464e+00   0.86   99.000    5.000   98.979
OBS:  56297.039  g NULL  -1.163e+00   1.580e+00  -0.74  128.000    0.000   37.256
OBS:  56297.047  r NULL  -3.363e-02   1.219e+00  -0.03  128.000    0.000   33.883
OBS:  56297.062  i NULL  -2.744e-01   1.862e+00  -0.15  128.000    0.000   31.322
OBS:  56297.090  z NULL   1.156e+00   2.119e+00   0.55   27.342  100.658   31.536
OBS:  56305.094  g NULL   3.128e-02   1.644e+00   0.02   31.262   96.738   32.261
OBS:  56305.102  r NULL   3.616e-01   1.301e+00   0.28   28.604   99.396   28.907
OBS:  56305.113  i NULL   2.677e+00   2.192e+00   1.22   26.431    1.854   26.383
