SURVEY: DES   
SNID:   239764   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.84492 +- 0.01940  (Helio, z_best) 
REDSHIFT_FINAL:   0.84492 +- 0.01940  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11202 
HOST_GALAXY_PHOTO-Z:   0.8449  +- 0.0194  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.8409  
SIM_HOSTLIB_TRUEZ:  0.8400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11202  
SIM_DLMU:      43.635883  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0711   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.26  25.20  24.13  24.31  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56324.722656  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.513e-06   
SIM_SALT2x1:   -2.0268   
SIM_SALT2c:     0.0440   
SIM_SALT2mB:   24.6346   
SIM_MAGDIM:    1.482  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.16   days 
SIM_TRESTMAX:    14.29   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56323.652  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 52 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.152  g NULL   7.855e+00   1.264e+01   0.62   99.000    5.000   99.398
OBS:  56258.168  z NULL  -5.446e+00   5.983e+00  -0.91   99.000    5.000   99.196
OBS:  56258.273  r NULL   2.040e-01   7.777e+00   0.03   99.000    5.000   99.243
OBS:  56258.281  i NULL  -1.689e+01   1.262e+01  -1.34   99.000    5.000   99.204
OBS:  56261.266  g NULL   2.110e+01   1.009e+01   2.09   99.000    5.000   99.398
OBS:  56261.273  r NULL  -5.440e-01   4.184e+00  -0.13   99.000    5.000   99.243
OBS:  56261.281  i NULL  -6.614e+00   7.030e+00  -0.94   99.000    5.000   99.204
OBS:  56261.289  z NULL  -4.717e+00   4.892e+00  -0.96   99.000    5.000   99.196
OBS:  56275.152  g NULL   2.376e+00   3.310e+00   0.72   99.000    5.000   99.398
OBS:  56275.172  r NULL   3.549e+00   2.240e+00   1.58   99.000    5.000   99.243
OBS:  56275.191  i NULL   3.861e+00   4.492e+00   0.86   99.000    5.000   99.204
OBS:  56275.203  z NULL  -1.786e+00   5.325e+00  -0.34   99.000    5.000   99.196
OBS:  56283.203  g NULL  -6.927e-01   6.285e+00  -0.11   99.000    5.000   99.398
OBS:  56283.211  r NULL  -1.616e+00   3.325e+00  -0.49   99.000    5.000   99.243
OBS:  56283.215  i NULL  -3.075e+00   5.817e+00  -0.53   99.000    5.000   99.204
OBS:  56283.223  z NULL   1.199e+01   5.047e+00   2.38   99.000    5.000   99.196
OBS:  56288.199  g NULL   1.393e+01   1.179e+01   1.18   99.000    5.000   99.398
OBS:  56288.215  r NULL  -8.345e-01   6.180e+00  -0.14   99.000    5.000   99.243
OBS:  56289.109  i NULL  -7.276e+00   7.081e+00  -1.03  128.000    0.000   33.511
OBS:  56289.125  z NULL   5.520e+00   5.423e+00   1.02   25.645    4.377   33.645
OBS:  56292.098  g NULL   2.200e+01   1.166e+01   1.89   99.000    5.000   99.398
OBS:  56292.102  r NULL  -1.012e+01   4.830e+00  -2.10   99.000    5.000   99.243
OBS:  56292.191  i NULL   8.584e+00   5.602e+00   1.53   25.166    1.147   31.147
OBS:  56292.199  z NULL   6.879e+00   5.159e+00   1.33   25.406    1.504   31.291
OBS:  56304.051  g NULL  -1.204e+00   2.480e+00  -0.49  128.000    0.000   30.257
