SURVEY: DES   
SNID:   243128   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   1.04980 +- 0.04700  (Helio, z_best) 
REDSHIFT_FINAL:   1.04980 +- 0.04700  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14081 
HOST_GALAXY_PHOTO-Z:   1.0498  +- 0.0470  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  1.0519  
SIM_HOSTLIB_TRUEZ:  1.0500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14081  
SIM_DLMU:      44.236111  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0087   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   98.24  25.20  23.88  23.73  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56210.339844  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.244e-06   
SIM_SALT2x1:   -0.9146   
SIM_SALT2c:    -0.0669   
SIM_SALT2mB:   24.7575   
SIM_STRETCH:    0.085  
SIM_MAGDIM:    1.004  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.64   days 
SIM_TRESTMAX:    68.60   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56208.711  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 161 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL  -4.176e+00   4.764e+00  -0.88   99.000    5.000   98.243
OBS:  56176.199  r NULL   2.369e+00   2.130e+00   1.11   99.000    5.000   98.828
OBS:  56176.215  i NULL   7.751e-01   3.146e+00   0.25   27.777  100.223   27.962
OBS:  56176.238  z NULL  -1.924e+00   2.483e+00  -0.77  128.000    0.000   27.830
OBS:  56179.188  g NULL  -2.677e+00   2.585e+00  -1.04   99.000    5.000   98.243
OBS:  56179.195  r NULL  -1.477e+00   1.709e+00  -0.86   99.000    5.000   98.828
OBS:  56179.234  i NULL   3.604e+00   1.985e+00   1.82   26.108    0.869   27.166
OBS:  56179.266  z NULL   6.296e-01   3.729e+00   0.17   28.002   99.998   27.036
OBS:  56180.266  g NULL   1.664e+00   2.550e+00   0.65   99.000    5.000   98.243
OBS:  56180.281  r NULL  -7.891e-01   1.300e+00  -0.61   99.000    5.000   98.828
OBS:  56180.297  i NULL   1.323e+00   3.683e+00   0.36   27.197  100.803   26.915
OBS:  56180.328  z NULL  -2.435e-02   4.486e+00  -0.01  128.000    0.000   26.785
OBS:  56188.160  g NULL  -1.129e-01   5.683e+00  -0.02   99.000    5.000   98.243
OBS:  56188.176  r NULL  -3.164e+00   5.570e+00  -0.57  128.000    0.000   26.378
OBS:  56188.211  i NULL   1.185e+01   4.526e+00   2.62   24.815    0.522   25.224
OBS:  56188.238  z NULL   1.046e+01   3.405e+00   3.07   24.952    0.428   25.119
OBS:  56189.254  g NULL   1.476e+00   2.284e+00   0.65   99.000    5.000   98.243
OBS:  56189.270  r NULL   4.462e+00   3.270e+00   1.36   25.876    1.433   26.043
OBS:  56189.281  i NULL  -8.167e-01   9.048e+00  -0.09  128.000    0.000   25.035
OBS:  56189.312  z NULL   1.463e+01   2.978e+00   4.91   24.587    0.247   24.933
OBS:  56194.258  g NULL  -3.611e+00   2.637e+00  -1.37   99.000    5.000   98.243
OBS:  56194.270  r NULL   6.425e+00   1.496e+00   4.29   25.480    0.289   25.202
OBS:  56194.285  i NULL   2.215e+01   2.335e+00   9.49   24.136    0.120   24.400
OBS:  56194.305  z NULL   2.269e+01   2.424e+00   9.36   24.111    0.122   24.306
OBS:  56202.160  g NULL  -7.517e+00   4.792e+00  -1.57   99.000    5.000   98.243
OBS:  56202.176  r NULL   6.212e+00   2.328e+00   2.67   25.517    0.511   25.015
OBS:  56202.191  i NULL   1.912e+01   4.182e+00   4.57   24.296    0.269   23.949
OBS:  56202.215  z NULL   3.100e+01   2.774e+00  11.17   23.772    0.101   23.851
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56210.172  g NULL  -1.913e+00   3.690e+00  -0.52   99.000    5.000   98.243
OBS:  56210.188  r NULL   1.255e+01   3.225e+00   3.89   24.753    0.322   25.192
OBS:  56210.203  i NULL   3.242e+01   3.270e+00   9.91   23.723    0.115   23.881
OBS:  56210.234  z NULL   3.455e+01   3.901e+00   8.86   23.654    0.130   23.735
OBS:  56218.172  g NULL   5.498e-01   1.249e+00   0.44   99.000    5.000   98.243
OBS:  56218.191  r NULL   5.286e+00   9.655e-01   5.47   25.692    0.219   25.709
OBS:  56218.211  i NULL   1.991e+01   1.555e+00  12.80   24.252    0.089   24.112
OBS:  56219.156  z NULL   2.937e+01   2.013e+00  14.59   23.830    0.077   23.868
OBS:  56221.273  g NULL  -4.281e+00   3.911e+00  -1.09   99.000    5.000   98.243
OBS:  56221.281  r NULL   5.450e+00   5.583e+00   0.98   25.659  102.341   25.890
