SURVEY: DES   
SNID:   245842   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.24893 +- 0.04740  (Helio, z_best) 
REDSHIFT_FINAL:   0.24893 +- 0.04740  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16171 
HOST_GALAXY_PHOTO-Z:   0.2489  +- 0.0474  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      23   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = SDSS-014492  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.2792  
SIM_HOSTLIB_TRUEZ:  0.2800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16171  
SIM_DLMU:      40.776291  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0102   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.50  23.05  22.68  22.72  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56179.773438  days 
SIM_SALT2x0:   4.892e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -6.82   days 
SIM_TRESTMAX:    67.53   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56180.398  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 77 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL  -7.493e+01   7.810e+01  -0.96  128.000    0.000   24.455
OBS:  56172.039  r NULL   4.230e+01   1.761e+01   2.40   23.434    0.584   24.316
OBS:  56172.051  i NULL   4.791e+01   4.996e+01   0.96   23.299  104.701   24.035
OBS:  56176.160  z NULL   5.173e+01   3.721e+00  13.90   23.216    0.081   23.210
OBS:  56179.023  g NULL   3.835e+01   6.477e+00   5.92   23.541    0.201   23.483
OBS:  56179.031  r NULL   6.028e+01   4.506e+00  13.38   23.050    0.084   23.104
OBS:  56179.047  i NULL   9.038e+01   7.359e+00  12.28   22.610    0.092   22.743
OBS:  56179.062  z NULL   7.997e+01   8.282e+00   9.66   22.743    0.118   22.808
OBS:  56180.031  g NULL   4.764e+01   5.810e+00   8.20   23.305    0.141   23.511
OBS:  56180.047  r NULL   6.404e+01   4.681e+00  13.68   22.984    0.082   23.033
OBS:  56180.062  i NULL   8.460e+01   6.947e+00  12.18   22.682    0.093   22.652
OBS:  56180.078  z NULL   9.032e+01   1.031e+01   8.76   22.611    0.131   22.691
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.004  g NULL   8.508e+00   5.707e+00   1.49   25.175    1.209   24.479
OBS:  56188.016  r NULL   5.041e+01   4.496e+00  11.21   23.244    0.102   23.229
OBS:  56188.027  i NULL   9.005e+01   6.704e+00  13.43   22.614    0.084   22.688
OBS:  56188.035  z NULL   9.736e+01   6.735e+00  14.46   22.529    0.078   22.442
OBS:  56189.004  g NULL   1.226e+01   5.676e+00   2.16   24.779    0.675   24.631
OBS:  56189.016  r NULL   5.327e+01   4.469e+00  11.92   23.184    0.095   23.302
OBS:  56189.027  i NULL   8.518e+01   6.626e+00  12.85   22.674    0.088   22.745
OBS:  56189.035  z NULL   1.034e+02   6.703e+00  15.43   22.463    0.073   22.485
OBS:  56194.012  g NULL  -7.027e-01   6.212e+00  -0.11  128.000    0.000   25.339
OBS:  56194.016  r NULL   3.157e+01   3.662e+00   8.62   23.752    0.134   23.705
OBS:  56194.023  i NULL   6.350e+01   6.293e+00  10.09   22.993    0.113   23.061
OBS:  56194.031  z NULL   5.173e+01   1.513e+01   3.42   23.216    0.376   22.872
OBS:  56198.992  g NULL  -1.713e+01   1.869e+01  -0.92  128.000    0.000   25.877
OBS:  56199.000  r NULL   2.430e+01   9.065e+00   2.68   24.036    0.507   24.145
OBS:  56199.008  i NULL   4.915e+01   1.185e+01   4.15   23.271    0.299   23.371
OBS:  56199.016  z NULL   5.203e+01   7.761e+00   6.70   23.209    0.175   23.313
OBS:  56199.039  g NULL  -5.009e+01   3.350e+01  -1.50  128.000    0.000   25.882
OBS:  56208.215  g NULL   6.264e+00   2.666e+00   2.35   25.508    0.602   26.628
OBS:  56208.223  r NULL   1.141e+01   1.795e+00   6.36   24.856    0.186   24.656
OBS:  56208.238  i NULL   2.929e+01   3.021e+00   9.69   23.833    0.118   24.019
OBS:  56209.160  z NULL   3.266e+01   3.305e+00   9.88   23.715    0.115   23.899
OBS:  56216.215  g NULL  -8.190e-01   2.471e+00  -0.33  128.000    0.000   27.073
OBS:  56216.223  r NULL   9.339e+00   1.902e+00   4.91   25.074    0.248   24.903
OBS:  56216.230  i NULL   1.329e+01   3.036e+00   4.38   24.691    0.282   24.445
OBS:  56218.152  z NULL   2.025e+01   2.705e+00   7.48   24.234    0.156   24.217
OBS:  56221.004  g NULL  -7.849e-01   5.227e+00  -0.15  128.000    0.000   27.295
OBS:  56221.016  r NULL   5.056e+00   3.585e+00   1.41   25.741    1.344   24.987
OBS:  56221.027  i NULL   1.558e+01   5.483e+00   2.84   24.519    0.471   24.639
OBS:  56221.035  z NULL   1.280e+01   5.411e+00   2.37   24.732    0.597   24.305
OBS:  56222.016  g NULL  -5.377e-01   6.243e+00  -0.09  128.000    0.000   27.336
OBS:  56222.027  r NULL   1.219e+01   3.632e+00   3.36   24.785    0.384   25.003
OBS:  56222.035  i NULL   1.360e+01   4.934e+00   2.76   24.666    0.489   24.671
OBS:  56228.012  z NULL   5.652e+00   5.549e+00   1.02   25.619    4.409   24.521
OBS:  56229.012  g NULL   3.040e+00   9.818e+00   0.31   26.293  101.707   27.623
OBS:  56229.016  r NULL   8.834e+00   4.327e+00   2.04   25.135    0.731   25.111
OBS:  56229.023  i NULL   1.447e+01   7.817e+00   1.85   24.599    0.843   24.845
OBS:  56230.012  z NULL   1.136e+01   4.921e+00   2.31   24.861    0.617   24.588
OBS:  56231.012  g NULL  -4.510e+00   6.916e+00  -0.65  128.000    0.000   27.712
OBS:  56231.020  r NULL   1.054e+01   2.799e+00   3.77   24.943    0.335   25.137
OBS:  56231.027  i NULL   1.596e+01   4.088e+00   3.90   24.493    0.321   24.884
OBS:  56235.020  z NULL   9.436e+00   5.694e+00   1.66   25.063    1.005   24.761
OBS:  56236.027  g NULL  -1.827e+00   5.173e+00  -0.35  128.000    0.000   27.944
OBS:  56236.035  r NULL   1.275e+01   5.391e+00   2.37   24.736    0.596   25.191
OBS:  56236.039  i NULL   3.985e+00   7.623e+00   0.52   25.999  102.001   24.966
OBS:  56237.023  z NULL   9.476e+00   5.128e+00   1.85   25.058    0.846   24.835
OBS:  56238.023  g NULL  -1.152e+00   3.614e+00  -0.32  128.000    0.000   28.052
OBS:  56238.031  r NULL   8.454e+00   2.797e+00   3.02   25.182    0.436   25.212
OBS:  56238.039  i NULL   1.119e+01   4.818e+00   2.32   24.877    0.611   24.996
OBS:  56243.070  z NULL   2.375e+01   5.364e+00   4.43   24.061    0.277   25.077
