SURVEY: DES   
SNID:   249726   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   1.05980 +- 0.04700  (Helio, z_best) 
REDSHIFT_FINAL:   1.05980 +- 0.04700  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17372 
HOST_GALAXY_PHOTO-Z:   1.0598  +- 0.0470  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  1.0843  
SIM_HOSTLIB_TRUEZ:  1.0800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17372  
SIM_DLMU:      44.317600  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0294   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   99.82  24.96  24.12  23.81  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56333.542969  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.865e-06   
SIM_SALT2x1:    0.9829   
SIM_SALT2c:    -0.1101   
SIM_SALT2mB:   24.4923   
SIM_STRETCH:    1.983  
SIM_MAGDIM:    0.658  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.13   days 
SIM_TRESTMAX:     8.37   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56332.852  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.242  g NULL  -3.734e+00   8.081e+00  -0.46   99.000    5.000   99.821
OBS:  56258.258  r NULL  -9.783e+00   4.422e+00  -2.21   99.000    5.000   99.197
OBS:  56259.160  i NULL   3.479e+00   4.540e+00   0.77   99.000    5.000   99.273
OBS:  56259.180  z NULL   6.591e-01   3.059e+00   0.22   99.000    5.000   99.157
OBS:  56261.215  g NULL  -4.614e+00   3.959e+00  -1.17   99.000    5.000   99.821
OBS:  56261.230  r NULL  -1.382e+00   1.853e+00  -0.75   99.000    5.000   99.197
OBS:  56267.156  i NULL   8.157e-01   2.211e+00   0.37   99.000    5.000   99.273
OBS:  56267.180  z NULL   1.199e-01   3.049e+00   0.04   99.000    5.000   99.157
OBS:  56274.160  g NULL  -7.631e-01   2.033e+00  -0.38   99.000    5.000   99.821
OBS:  56274.176  r NULL   2.096e+00   1.445e+00   1.45   99.000    5.000   99.197
OBS:  56275.223  i NULL   6.420e+00   3.010e+00   2.13   99.000    5.000   99.273
OBS:  56276.191  z NULL  -1.801e+00   3.402e+00  -0.53   99.000    5.000   99.157
OBS:  56282.160  g NULL  -2.923e+00   3.403e+00  -0.86   99.000    5.000   99.821
OBS:  56282.184  r NULL  -6.574e-01   2.178e+00  -0.30   99.000    5.000   99.197
OBS:  56287.160  i NULL   6.821e+00   4.987e+00   1.37   99.000    5.000   99.273
OBS:  56287.191  z NULL   2.726e-02   3.894e+00   0.01   99.000    5.000   99.157
OBS:  56289.035  g NULL   6.170e+00   1.189e+01   0.52   99.000    5.000   99.821
OBS:  56289.043  r NULL   7.773e-01   4.183e+00   0.19   99.000    5.000   99.197
OBS:  56289.152  i NULL  -1.035e-01   4.327e+00  -0.02   99.000    5.000   99.273
OBS:  56289.176  z NULL   3.271e+00   4.464e+00   0.73   99.000    5.000   99.157
OBS:  56297.039  g NULL   3.064e+00   1.581e+00   1.94   99.000    5.000   99.821
OBS:  56297.047  r NULL   1.504e+00   1.219e+00   1.23   27.057    1.807   28.160
OBS:  56297.062  i NULL  -2.305e+00   1.863e+00  -1.24  128.000    0.000   27.963
OBS:  56297.090  z NULL  -9.892e-01   2.119e+00  -0.47  128.000    0.000   27.397
OBS:  56305.094  g NULL   7.955e-01   1.644e+00   0.48   99.000    5.000   99.821
OBS:  56305.102  r NULL   3.541e+00   1.304e+00   2.72   26.127    0.499   26.133
OBS:  56305.113  i NULL   4.908e+00   2.194e+00   2.24   25.773    0.643   25.879
OBS:  56306.043  z NULL   1.037e+01   2.718e+00   3.82   24.960    0.329   25.240
OBS:  56313.047  g NULL   6.398e+00   5.961e+00   1.07   99.000    5.000   99.821
OBS:  56313.055  r NULL   1.262e+01   2.537e+00   4.98   24.747    0.243   25.308
OBS:  56313.090  i NULL   1.959e+01   3.103e+00   6.31   24.270    0.187   24.641
OBS:  56317.066  z NULL   2.243e+01   4.271e+00   5.25   24.123    0.229   24.182
OBS:  56321.035  g NULL   5.106e+00   2.915e+00   1.75   99.000    5.000   99.821
OBS:  56321.043  r NULL   1.244e+01   1.391e+00   8.94   24.763    0.128   24.857
OBS:  56321.066  i NULL   1.998e+01   3.245e+00   6.16   24.248    0.193   24.119
OBS:  56326.039  z NULL   2.882e+01   2.664e+00  10.82   23.851    0.105   23.858
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56333.043  g NULL  -1.801e+00   1.816e+00  -0.99   99.000    5.000   99.821
OBS:  56333.051  r NULL   9.848e+00   1.401e+00   7.03   25.017    0.167   24.941
OBS:  56334.043  i NULL   2.272e+01   2.224e+00  10.21   24.109    0.112   24.125
OBS:  56335.043  z NULL   2.339e+01   3.411e+00   6.86   24.078    0.172   23.814
OBS:  56344.992  g NULL  -1.288e+00   4.326e+00  -0.30   99.000    5.000   99.821
OBS:  56345.000  r NULL   7.393e+00   1.869e+00   3.96   25.328    0.316   25.554
OBS:  56345.016  i NULL   1.559e+01   3.466e+00   4.50   24.518    0.273   24.457
OBS:  56345.992  z NULL   2.068e+01   3.721e+00   5.56   24.211    0.216   23.968
OBS:  56349.996  g NULL  -3.568e-01   3.963e+00  -0.09   99.000    5.000   99.821
OBS:  56350.004  r NULL   6.325e+00   2.062e+00   3.07   25.497    0.428   25.845
OBS:  56350.996  i NULL   1.231e+01   3.032e+00   4.06   24.774    0.307   24.706
END: 
