SURVEY: DES   
SNID:   251608   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.71502 +- 0.01070  (Helio, z_best) 
REDSHIFT_FINAL:   0.71502 +- 0.01070  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10557 
HOST_GALAXY_PHOTO-Z:   0.7150  +- 0.0107  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.7208  
SIM_HOSTLIB_TRUEZ:  0.7200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10557  
SIM_DLMU:      43.224808  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0290   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.36  23.62  23.38  23.38  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56168.261719  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.308e-06   
SIM_SALT2x1:    0.0699   
SIM_SALT2c:    -0.0092   
SIM_SALT2mB:   23.8226   
SIM_STRETCH:    1.070  
SIM_MAGDIM:    1.081  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     5.77   days 
SIM_TRESTMAX:    69.69   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56167.090  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 92 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   1.990e+00   9.408e+00   0.21   26.753  101.247   26.127
OBS:  56178.195  r NULL   2.219e+01   7.193e+00   3.09   24.135    0.426   24.021
OBS:  56178.203  i NULL   2.734e+01   6.863e+00   3.98   23.908    0.315   23.570
OBS:  56178.211  z NULL   3.872e+01   7.956e+00   4.87   23.530    0.250   23.453
OBS:  56180.172  g NULL   8.784e-02   4.019e+00   0.02   30.141   97.859   26.315
OBS:  56180.188  r NULL   1.390e+01   3.201e+00   4.34   24.642    0.286   24.128
OBS:  56180.195  i NULL   3.858e+01   4.469e+00   8.63   23.534    0.133   23.637
OBS:  56180.203  z NULL   3.395e+01   5.010e+00   6.78   23.673    0.174   23.498
OBS:  56188.148  g NULL   3.198e+00   1.796e+01   0.18   26.238  101.762   26.748
OBS:  56188.289  r NULL   1.328e+01   4.014e+00   3.31   24.692    0.391   24.658
OBS:  56188.297  i NULL   2.691e+01   8.160e+00   3.30   23.925    0.392   24.019
OBS:  56188.312  z NULL   3.870e+01   5.447e+00   7.10   23.531    0.164   23.782
OBS:  56194.145  g NULL   3.178e+00   4.681e+00   0.68   26.244  101.756   27.485
OBS:  56194.156  r NULL   1.013e+01   2.768e+00   3.66   24.986    0.346   25.093
OBS:  56194.172  i NULL   1.597e+01   4.649e+00   3.44   24.492    0.374   24.355
OBS:  56194.188  z NULL   3.005e+01   4.503e+00   6.67   23.805    0.176   23.996
OBS:  56207.188  g NULL  -3.495e-01   4.366e+00  -0.08  128.000    0.000   29.092
OBS:  56207.195  r NULL   6.813e+00   3.463e+00   1.97   25.417    0.770   26.046
OBS:  56207.203  i NULL   6.877e+00   6.251e+00   1.10   25.407    2.604   25.113
OBS:  56207.219  z NULL   2.048e+01   5.967e+00   3.43   24.222    0.374   24.403
OBS:  56215.195  g NULL  -2.222e+00   2.683e+00  -0.83  128.000    0.000   28.366
OBS:  56215.203  r NULL   3.597e+00   2.175e+00   1.65   26.110    1.007   26.415
OBS:  56215.211  i NULL   7.084e+00   2.641e+00   2.68   25.374    0.506   25.525
OBS:  56215.227  z NULL   1.564e+01   3.442e+00   4.54   24.515    0.270   24.651
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56221.090  g NULL   5.405e+00   6.269e+00   0.86   25.668  102.332   28.219
OBS:  56221.105  r NULL  -5.161e+00   5.081e+00  -1.02  128.000    0.000   26.593
OBS:  56221.113  i NULL   6.054e+00   5.579e+00   1.09   25.545    2.763   25.788
OBS:  56221.117  z NULL   1.262e+01   7.710e+00   1.64   24.747    1.025   24.855
OBS:  56222.270  g NULL  -3.861e+00   7.731e+00  -0.50  128.000    0.000   28.284
OBS:  56222.273  r NULL   4.296e+00   5.697e+00   0.75   25.917  102.083   26.629
OBS:  56222.281  i NULL   1.065e+01   1.699e+01   0.63   24.931  103.069   25.831
OBS:  56222.289  z NULL   8.622e+00   8.068e+00   1.07   25.161    2.984   24.898
OBS:  56228.234  g NULL  -8.773e+00   1.234e+01  -0.71  128.000    0.000   28.713
OBS:  56228.242  r NULL  -2.916e+00   5.569e+00  -0.52  128.000    0.000   26.807
OBS:  56228.258  i NULL   9.879e+00   1.203e+01   0.82   25.013  102.987   26.012
