SURVEY: DES   
SNID:   253996   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.82691 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.82691 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.82691 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16973 
HOST_GALAXY_PHOTO-Z:   0.7959  +- 0.0435  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.8221  
SIM_HOSTLIB_TRUEZ:  0.8200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16973  
SIM_DLMU:      43.575237  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0288   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.52  23.67  22.99  23.34  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56245.921875  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.966e-06   
SIM_SALT2x1:   -0.9563   
SIM_SALT2c:    -0.1937   
SIM_SALT2mB:   23.6957   
SIM_STRETCH:    0.044  
SIM_MAGDIM:    0.603  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.17   days 
SIM_TRESTMAX:    56.57   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56245.594  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   6.427e+00   9.405e+00   0.68   99.000    5.000   99.720
OBS:  56178.195  r NULL   7.164e+00   7.173e+00   1.00   99.000    5.000   99.120
OBS:  56178.203  i NULL  -9.134e+00   6.835e+00  -1.34   99.000    5.000   99.093
OBS:  56178.211  z NULL  -6.083e+00   7.920e+00  -0.77   99.000    5.000   99.055
OBS:  56180.172  g NULL   1.783e+00   4.012e+00   0.44   99.000    5.000   99.720
OBS:  56180.188  r NULL   1.556e-01   3.174e+00   0.05   99.000    5.000   99.120
OBS:  56180.195  i NULL   2.748e+00   4.395e+00   0.63   99.000    5.000   99.093
OBS:  56180.203  z NULL   4.021e+00   4.964e+00   0.81   99.000    5.000   99.055
OBS:  56188.148  g NULL  -3.454e+00   1.795e+01  -0.19   99.000    5.000   99.720
OBS:  56188.289  r NULL  -6.977e+00   3.997e+00  -1.75   99.000    5.000   99.120
OBS:  56188.297  i NULL  -3.147e+00   8.132e+00  -0.39   99.000    5.000   99.093
OBS:  56188.312  z NULL   7.901e+00   5.395e+00   1.46   99.000    5.000   99.055
OBS:  56194.145  g NULL  -1.265e+00   4.678e+00  -0.27   99.000    5.000   99.720
OBS:  56194.156  r NULL   1.526e+00   2.751e+00   0.55   99.000    5.000   99.120
OBS:  56194.172  i NULL   6.142e-01   4.627e+00   0.13   99.000    5.000   99.093
OBS:  56194.188  z NULL  -2.677e+00   4.463e+00  -0.60   99.000    5.000   99.055
OBS:  56207.188  g NULL  -3.193e+00   4.366e+00  -0.73   99.000    5.000   99.720
OBS:  56207.195  r NULL   1.339e+00   3.459e+00   0.39   99.000    5.000   99.120
OBS:  56207.203  i NULL   3.462e+00   6.247e+00   0.55   99.000    5.000   99.093
OBS:  56207.219  z NULL  -1.265e-01   5.952e+00  -0.02   99.000    5.000   99.055
OBS:  56215.195  g NULL   3.891e+00   2.682e+00   1.45   99.000    5.000   99.720
OBS:  56215.203  r NULL   1.596e+00   2.172e+00   0.74   26.992  101.008   28.478
OBS:  56215.211  i NULL   5.322e+00   2.636e+00   2.02   25.685    0.741   27.175
OBS:  56215.227  z NULL  -4.898e+00   3.427e+00  -1.43  128.000    0.000   27.464
OBS:  56221.090  g NULL   5.054e+00   6.268e+00   0.81   99.000    5.000   99.720
OBS:  56221.105  r NULL   1.867e-01   5.080e+00   0.04   29.322   98.678   26.616
OBS:  56221.113  i NULL   7.020e+00   5.580e+00   1.26   25.384    1.720   25.509
OBS:  56221.117  z NULL   2.050e+00   7.706e+00   0.27   26.721  101.279   25.803
OBS:  56222.270  g NULL  -3.554e+00   7.729e+00  -0.46   99.000    5.000   99.720
OBS:  56222.273  r NULL  -6.150e+00   5.698e+00  -1.08  128.000    0.000   26.232
OBS:  56222.281  i NULL   1.078e+01   1.699e+01   0.63   24.918  103.082   25.240
OBS:  56222.289  z NULL   1.364e+01   8.070e+00   1.69   24.663    0.971   25.532
OBS:  56228.234  g NULL   1.469e+01   1.235e+01   1.19   24.582    1.992   27.472
OBS:  56228.242  r NULL   1.753e+01   5.586e+00   3.14   24.391    0.416   24.567
OBS:  56228.258  i NULL   2.430e+01   1.204e+01   2.02   24.036    0.742   24.008
OBS:  56228.270  z NULL   1.970e+01   6.662e+00   2.96   24.264    0.448   24.300
OBS:  56229.258  g NULL   2.432e+01   1.722e+01   1.41   24.035    1.335   27.177
OBS:  56229.270  r NULL   1.427e+01   8.074e+00   1.77   24.614    0.906   24.378
OBS:  56229.285  i NULL   2.002e+01   1.507e+01   1.33   24.247    1.520   23.850
