SURVEY: DES   
SNID:   254899   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.61425 +- 0.01540  (Helio, z_best) 
REDSHIFT_FINAL:   0.61425 +- 0.01540  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11470 
HOST_GALAXY_PHOTO-Z:   0.6143  +- 0.0154  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.6235  
SIM_HOSTLIB_TRUEZ:  0.6200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11470  
SIM_DLMU:      42.840141  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0579   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.19  22.90  22.88  22.86  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56231.042969  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   8.216e-06   
SIM_SALT2x1:    0.6960   
SIM_SALT2c:    -0.0157   
SIM_SALT2mB:   23.3484   
SIM_STRETCH:    1.696  
SIM_MAGDIM:    0.991  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -32.53   days 
SIM_TRESTMAX:    65.31   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56231.477  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 115 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL  -1.205e+01   1.048e+01  -1.15   99.000    5.000   98.635
OBS:  56178.250  r NULL   8.834e+00   7.843e+00   1.13   99.000    5.000   98.898
OBS:  56178.266  i NULL  -1.584e+01   9.316e+00  -1.70   99.000    5.000   98.997
OBS:  56179.211  z NULL  -4.885e+00   5.329e+00  -0.92   99.000    5.000   98.978
OBS:  56180.219  g NULL  -1.618e+00   3.205e+00  -0.50   99.000    5.000   98.635
OBS:  56180.234  r NULL  -1.670e+00   2.425e+00  -0.69   99.000    5.000   98.898
OBS:  56180.250  i NULL   6.601e+00   4.312e+00   1.53   99.000    5.000   98.997
OBS:  56188.191  z NULL  -1.382e+01   2.733e+01  -0.51   99.000    5.000   98.978
OBS:  56188.340  g NULL   4.136e+01   2.558e+01   1.62   99.000    5.000   98.635
OBS:  56188.355  r NULL   4.720e-01   4.152e+00   0.11   99.000    5.000   98.898
OBS:  56189.195  i NULL  -5.124e+00   3.095e+01  -0.17   99.000    5.000   98.997
OBS:  56194.215  g NULL   3.709e+00   4.764e+00   0.78   99.000    5.000   98.635
OBS:  56194.223  r NULL  -6.801e+00   5.401e+00  -1.26   99.000    5.000   98.898
OBS:  56194.227  z NULL   2.502e+00   6.541e+00   0.38   99.000    5.000   98.978
OBS:  56200.234  i NULL   7.449e+00   1.198e+01   0.62   25.320  102.680   28.624
OBS:  56208.160  g NULL   3.101e+00   2.990e+00   1.04   26.271    3.622   25.641
OBS:  56208.176  r NULL   1.105e+01   2.449e+00   4.51   24.892    0.272   24.805
OBS:  56208.191  z NULL   1.565e+01   4.949e+00   3.16   24.513    0.412   24.759
OBS:  56210.156  i NULL   3.123e+01   7.054e+00   4.43   23.764    0.277   24.353
OBS:  56216.164  g NULL   1.392e+01   2.755e+00   5.05   24.641    0.240   24.436
OBS:  56216.176  r NULL   4.277e+01   2.230e+00  19.18   23.422    0.058   23.378
OBS:  56216.191  z NULL   3.988e+01   4.121e+00   9.68   23.498    0.118   23.533
OBS:  56219.211  i NULL   5.238e+01   3.177e+00  16.49   23.202    0.068   23.220
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56221.148  g NULL   5.270e+01   1.599e+01   3.30   23.195    0.392   24.072
OBS:  56221.160  r NULL   6.230e+01   6.209e+00  10.03   23.014    0.114   23.002
