SURVEY: DES   
SNID:   256188   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.79753 +- 0.02380  (Helio, z_best) 
REDSHIFT_FINAL:   0.79753 +- 0.02380  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10344 
HOST_GALAXY_PHOTO-Z:   0.7975  +- 0.0238  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.7875  
SIM_HOSTLIB_TRUEZ:  0.7900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10344  
SIM_DLMU:      43.460644  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0280   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.019  mag  (host extinction at 5510 A)
SIM_RV:         1.999   (CCM89 extinction parameter) 
SIM_PEAKMAG:   26.20  24.10  23.44  23.60  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56184.753906  days 
SIM_DELTA:      0.301  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.699  
SIM_MAGDIM:    0.377  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -4.24   days 
SIM_TRESTMAX:    67.85   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56183.613  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 116 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   6.806e+00   4.791e+00   1.42   25.418    1.321   26.098
OBS:  56177.188  r NULL   1.787e+01   5.348e+00   3.34   24.370    0.387   24.177
OBS:  56177.203  i NULL   3.797e+01   5.486e+00   6.92   23.551    0.169   23.597
OBS:  56177.234  z NULL   2.936e+01   4.725e+00   6.21   23.831    0.191   23.784
OBS:  56179.172  g NULL   4.031e+00   2.245e+00   1.80   25.986    0.884   25.973
OBS:  56179.312  r NULL   2.154e+01   3.064e+00   7.03   24.167    0.167   24.090
OBS:  56179.328  i NULL   3.625e+01   4.261e+00   8.51   23.602    0.136   23.519
OBS:  56179.359  z NULL   3.433e+01   3.578e+00   9.59   23.661    0.119   23.714
OBS:  56187.156  g NULL   4.177e+00   1.710e+00   2.44   25.948    0.571   26.276
OBS:  56187.172  r NULL   1.999e+01   1.319e+00  15.16   24.248    0.074   24.192
OBS:  56187.188  i NULL   4.217e+01   2.067e+00  20.40   23.438    0.054   23.455
OBS:  56187.211  z NULL   3.664e+01   2.284e+00  16.04   23.590    0.070   23.591
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.148  g NULL   1.176e+01   9.765e+00   1.20   24.824    1.924   26.482
OBS:  56189.160  r NULL   2.004e+01   3.902e+00   5.14   24.245    0.235   24.297
OBS:  56189.176  i NULL   4.718e+01   8.128e+00   5.80   23.316    0.205   23.495
OBS:  56189.203  z NULL   3.804e+01   4.748e+00   8.01   23.549    0.145   23.602
OBS:  56194.121  g NULL   3.022e+00   3.772e+00   0.80   26.299  101.701   27.284
OBS:  56194.129  r NULL   1.451e+01   2.371e+00   6.12   24.596    0.194   24.661
OBS:  56200.156  i NULL   1.178e+01   8.070e+00   1.46   24.822    1.258   24.006
OBS:  56200.180  z NULL   3.947e+01   5.684e+00   6.94   23.509    0.168   23.892
OBS:  56207.156  g NULL  -1.193e+00   2.280e+00  -0.52  128.000    0.000   28.423
OBS:  56207.172  r NULL   4.145e+00   1.607e+00   2.58   25.956    0.533   25.675
OBS:  56209.191  i NULL   1.526e+01   2.163e+00   7.06   24.541    0.166   24.670
OBS:  56209.215  z NULL   2.172e+01   2.240e+00   9.70   24.158    0.118   24.255
OBS:  56215.164  g NULL   3.250e+00   1.597e+00   2.04   26.220    0.733   29.330
