SURVEY: DES   
SNID:   265599   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.69504 +- 0.01490  (Helio, z_best) 
REDSHIFT_FINAL:   0.69504 +- 0.01490  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15566 
HOST_GALAXY_PHOTO-Z:   0.6950  +- 0.0149  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.7143  
SIM_HOSTLIB_TRUEZ:  0.7100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15566  
SIM_DLMU:      43.200802  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0703   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.03  24.01  23.68  23.65  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56229.042969  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.008e-06   
SIM_SALT2x1:   -1.3462   
SIM_SALT2c:     0.0449   
SIM_SALT2mB:   24.1276   
SIM_MAGDIM:    1.410  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -29.64   days 
SIM_TRESTMAX:    69.41   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56228.965  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL  -5.359e+00   1.048e+01  -0.51   99.000    5.000   98.671
OBS:  56178.250  r NULL  -5.613e+00   7.842e+00  -0.72   99.000    5.000   99.053
OBS:  56178.266  i NULL  -7.536e+00   9.312e+00  -0.81   99.000    5.000   99.080
OBS:  56179.211  z NULL  -1.456e+01   5.335e+00  -2.73   99.000    5.000   99.083
OBS:  56180.219  g NULL   2.116e+00   3.205e+00   0.66   99.000    5.000   98.671
OBS:  56180.234  r NULL  -4.286e+00   2.426e+00  -1.77   99.000    5.000   99.053
OBS:  56180.250  i NULL   2.936e+00   4.310e+00   0.68   99.000    5.000   99.080
OBS:  56188.191  z NULL  -1.389e+01   2.733e+01  -0.51   99.000    5.000   99.083
OBS:  56188.340  g NULL   3.486e+00   2.557e+01   0.14   99.000    5.000   98.671
OBS:  56188.355  r NULL   8.292e-01   4.152e+00   0.20   99.000    5.000   99.053
OBS:  56189.195  i NULL  -5.342e+01   3.097e+01  -1.73   99.000    5.000   99.080
OBS:  56194.215  g NULL   5.604e+00   4.765e+00   1.18   99.000    5.000   98.671
OBS:  56194.223  r NULL   7.700e+00   5.402e+00   1.43   99.000    5.000   99.053
OBS:  56194.227  z NULL   3.956e+00   6.541e+00   0.60   99.000    5.000   99.083
OBS:  56200.234  i NULL   5.160e+00   1.198e+01   0.43   25.718  102.282   28.514
OBS:  56208.160  g NULL   1.857e+00   2.972e+00   0.62   99.000    5.000   98.671
OBS:  56208.176  r NULL   3.102e+00   2.433e+00   1.28   26.271    1.666   25.990
OBS:  56208.191  z NULL   2.807e+00   4.939e+00   0.57   26.379  101.621   25.631
OBS:  56210.156  i NULL   1.505e+00   7.027e+00   0.21   27.056  100.944   25.351
OBS:  56216.164  g NULL   5.491e+00   2.703e+00   2.03   25.651    0.736   25.870
OBS:  56216.176  r NULL   1.360e+01   2.068e+00   6.58   24.666    0.179   24.535
OBS:  56216.191  z NULL   2.659e+01   4.079e+00   6.52   23.938    0.180   24.252
OBS:  56219.211  i NULL   2.657e+01   3.046e+00   8.72   23.939    0.132   23.974
OBS:  56221.148  g NULL   1.938e+01   1.593e+01   1.22   24.282    1.872   25.830
OBS:  56221.160  r NULL   1.892e+01   6.077e+00   3.11   24.308    0.421   24.107
OBS:  56221.176  z NULL   4.648e+01   1.542e+01   3.01   23.332    0.437   23.879
OBS:  56222.105  i NULL   3.314e+01   9.221e+00   3.59   23.699    0.354   23.810
OBS:  56222.312  g NULL  -1.741e+00   4.114e+00  -0.42  128.000    0.000   25.857
OBS:  56222.324  r NULL   1.646e+01   1.519e+01   1.08   24.459    2.783   24.049
OBS:  56222.340  z NULL   3.627e+00   4.086e+01   0.09   26.101  101.899   23.820
OBS:  56228.297  g NULL   2.163e+01   1.504e+01   1.44   24.162    1.289   25.997
OBS:  56228.305  r NULL   2.658e+01   5.526e+00   4.81   23.939    0.253   24.001
OBS:  56228.312  i NULL   3.597e+01   9.443e+00   3.81   23.610    0.330   23.682
OBS:  56228.320  z NULL   3.703e+01   5.846e+00   6.33   23.579    0.186   23.656
OBS:  56229.320  g NULL  -1.271e+01   1.406e+01  -0.90  128.000    0.000   26.048
OBS:  56229.332  r NULL   3.429e+01   7.288e+00   4.70   23.662    0.259   24.021
OBS:  56229.348  i NULL   4.219e+01   1.298e+01   3.25   23.437    0.399   23.683
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56230.070  z NULL   1.885e+01   7.147e+00   2.64   24.312    0.519   23.641
OBS:  56230.316  g NULL   1.684e+01   1.369e+01   1.23   24.434    1.818   26.112
OBS:  56230.328  r NULL   2.654e+01   6.699e+00   3.96   23.940    0.316   24.048
OBS:  56230.344  i NULL   1.985e+01   1.240e+01   1.60   24.255    1.065   23.689
OBS:  56231.301  g NULL   1.387e+01   1.166e+01   1.19   24.645    1.995   26.185
OBS:  56231.316  r NULL   1.532e+01   6.035e+00   2.54   24.537    0.545   24.081
OBS:  56231.328  i NULL   4.823e+01   1.051e+01   4.59   23.292    0.266   23.700
OBS:  56231.344  z NULL   2.978e+01   5.822e+00   5.12   23.815    0.237   23.637
OBS:  56235.297  g NULL   7.852e+00   9.640e+00   0.81   25.263  102.737   26.534
OBS:  56235.312  r NULL   2.300e+01   4.690e+00   4.90   24.096    0.247   24.253
OBS:  56235.324  i NULL   3.600e+01   6.684e+00   5.39   23.609    0.223   23.782
OBS:  56235.340  z NULL   1.971e+01   6.764e+00   2.91   24.263    0.458   23.666
OBS:  56236.312  g NULL  -6.805e+00   7.813e+00  -0.87  128.000    0.000   26.628
OBS:  56236.324  r NULL   1.847e+01   3.756e+00   4.92   24.334    0.247   24.305
OBS:  56236.340  i NULL   2.756e+01   6.112e+00   4.51   23.899    0.272   23.811
OBS:  56237.074  z NULL   3.439e+01   7.044e+00   4.88   23.659    0.249   23.698
OBS:  56237.340  g NULL   2.347e+01   1.183e+01   1.98   24.074    0.760   26.726
OBS:  56238.051  r NULL   2.060e+01   4.338e+00   4.75   24.216    0.256   24.401
OBS:  56238.059  i NULL   3.303e+01   5.512e+00   5.99   23.703    0.198   23.869
OBS:  56238.340  g NULL  -1.225e+00   1.063e+01  -0.12  128.000    0.000   26.820
OBS:  56243.047  z NULL   2.719e+01   8.345e+00   3.26   23.914    0.398   23.877
OBS:  56243.320  g NULL  -3.450e-01   4.202e+00  -0.08  128.000    0.000   27.204
OBS:  56243.336  r NULL   1.429e+01   3.318e+00   4.31   24.612    0.287   24.751
OBS:  56244.039  i NULL   1.888e+01   7.048e+00   2.68   24.310    0.508   24.127
OBS:  56244.309  g NULL   5.613e+00   4.127e+00   1.36   25.627    1.442   27.251
OBS:  56244.320  r NULL   1.506e+01   3.245e+00   4.64   24.555    0.263   24.828
OBS:  56245.047  z NULL   2.646e+01   5.039e+00   5.25   23.943    0.229   23.963
OBS:  56245.320  g NULL   2.097e-01   4.232e+00   0.05   29.196   98.804   27.278
OBS:  56246.055  r NULL   9.564e+00   2.400e+00   3.99   25.048    0.314   24.976
OBS:  56246.070  i NULL   1.541e+01   3.906e+00   3.94   24.531    0.318   24.239
OBS:  56247.223  g NULL   2.521e+00   2.984e+00   0.85   26.496  101.504   27.329
OBS:  56247.230  z NULL   2.348e+01   4.412e+00   5.32   24.073    0.226   24.067
OBS:  56248.305  r NULL   1.019e+01   2.390e+00   4.26   24.980    0.290   25.178
OBS:  56248.316  i NULL   1.283e+01   4.243e+00   3.02   24.730    0.437   24.373
OBS:  56258.152  g NULL  -6.706e+00   1.264e+01  -0.53  128.000    0.000   28.293
OBS:  56258.168  z NULL   2.147e+01   5.998e+00   3.58   24.170    0.355   24.466
OBS:  56258.273  r NULL  -4.675e+00   7.779e+00  -0.60  128.000    0.000   26.079
OBS:  56258.281  i NULL   7.398e+00   1.262e+01   0.59   25.327  102.673   25.074
OBS:  56261.266  g NULL   4.413e+00   1.009e+01   0.44   25.888  102.112   28.250
OBS:  56261.273  r NULL   9.830e-01   4.186e+00   0.23   27.519  100.481   26.263
OBS:  56261.281  i NULL  -1.397e+00   7.031e+00  -0.20  128.000    0.000   25.285
OBS:  56261.289  z NULL   1.460e+01   4.902e+00   2.98   24.589    0.444   24.595
OBS:  56275.152  g NULL  -3.754e+00   3.311e+00  -1.13  128.000    0.000   29.176
OBS:  56275.172  r NULL   4.924e+00   2.243e+00   2.20   25.769    0.659   27.142
OBS:  56275.191  i NULL   3.103e+00   4.494e+00   0.69   26.270  101.730   26.050
OBS:  56275.203  z NULL   1.031e+01   5.330e+00   1.93   24.967    0.790   25.114
OBS:  56283.203  g NULL  -5.399e-01   6.285e+00  -0.09   99.000    5.000   98.671
OBS:  56283.211  r NULL   4.527e-01   3.326e+00   0.14   28.360   99.640   27.351
OBS:  56283.215  i NULL  -2.134e+00   5.818e+00  -0.37  128.000    0.000   26.310
OBS:  56283.223  z NULL   6.612e+00   5.045e+00   1.31   25.449    1.563   25.403
OBS:  56288.199  g NULL  -8.641e+00   1.179e+01  -0.73   99.000    5.000   98.671
OBS:  56288.215  r NULL  -4.179e-01   6.181e+00  -0.07  128.000    0.000   27.469
OBS:  56289.109  i NULL   4.107e+00   7.081e+00   0.58   25.966  102.034   26.397
OBS:  56289.125  z NULL  -3.290e+00   5.424e+00  -0.61  128.000    0.000   25.571
OBS:  56292.098  g NULL   7.098e+00   1.165e+01   0.61   99.000    5.000   98.671
OBS:  56292.102  r NULL   2.497e+00   4.827e+00   0.52   26.507  101.493   27.509
OBS:  56292.191  i NULL   8.691e+00   5.603e+00   1.55   25.152    1.123   26.469
OBS:  56292.199  z NULL   1.654e+00   5.159e+00   0.32   26.954  101.046   25.656
OBS:  56304.051  g NULL  -2.252e-01   2.479e+00  -0.09   99.000    5.000   98.671
OBS:  56304.055  r NULL  -1.855e-01   1.658e+00  -0.11  128.000    0.000   27.419
OBS:  56304.070  i NULL   4.684e+00   2.509e+00   1.87   25.824    0.832   26.808
OBS:  56304.086  z NULL   9.471e+00   3.939e+00   2.40   25.059    0.583   25.965
OBS:  56312.055  g NULL   8.641e+00   7.569e+00   1.14   25.159    2.264   31.489
OBS:  56312.066  r NULL  -1.327e+00   2.963e+00  -0.45  128.000    0.000   27.284
OBS:  56312.090  i NULL   2.221e+00   5.021e+00   0.44   26.634  101.366   26.937
OBS:  56312.113  z NULL   3.421e+00   5.429e+00   0.63   26.164  101.836   26.133
OBS:  56320.043  g NULL   3.979e+00   6.169e+00   0.65   26.000  102.000   30.879
OBS:  56320.051  r NULL   3.346e+00   2.491e+00   1.34   26.189    1.480   27.268
OBS:  56320.059  i NULL   6.380e-01   3.653e+00   0.17   27.988  100.012   26.948
OBS:  56320.070  z NULL   9.764e+00   4.398e+00   2.22   25.026    0.649   26.151
OBS:  56328.047  g NULL  -1.099e+00   3.351e+00  -0.33  128.000    0.000   30.879
OBS:  56328.055  r NULL  -3.978e-01   2.404e+00  -0.17  128.000    0.000   27.268
OBS:  56328.070  i NULL   2.896e+00   4.046e+00   0.72   26.346  101.654   26.948
OBS:  56328.086  z NULL   2.924e+00   6.782e+00   0.43   26.335  101.665   26.151
OBS:  56336.062  g NULL   5.847e-01   3.700e+00   0.16   28.083   99.917   30.879
OBS:  56336.082  r NULL  -1.622e-01   3.008e+00  -0.05  128.000    0.000   27.268
OBS:  56337.062  i NULL   1.412e+00   2.928e+00   0.48   27.126  100.874   26.948
OBS:  56337.078  z NULL   8.103e+00   3.750e+00   2.16   25.228    0.674   26.151
OBS:  56345.039  g NULL   8.865e+00   7.141e+00   1.24   25.131    1.777   30.879
OBS:  56345.055  r NULL   2.448e+00   3.771e+00   0.65   26.528  101.472   27.268
OBS:  56346.055  i NULL   2.682e+00   5.987e+00   0.45   26.429  101.571   26.948
OBS:  56348.027  z NULL   1.096e+01   5.024e+00   2.18   24.901    0.665   26.151
END: 
