SURVEY: DES   
SNID:   267517   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.39197 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.39197 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.39197 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12167 
HOST_GALAXY_PHOTO-Z:   0.3308  +- 0.0392  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.3809  
SIM_HOSTLIB_TRUEZ:  0.3800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12167  
SIM_DLMU:      41.559402  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0327   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.104  mag  (host extinction at 5510 A)
SIM_RV:         2.264   (CCM89 extinction parameter) 
SIM_PEAKMAG:   22.95  22.21  22.18  22.41  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56208.203125  days 
SIM_DELTA:      0.504  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.496  
SIM_MAGDIM:    0.528  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -21.74   days 
SIM_TRESTMAX:    69.40   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56207.719  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 100 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL  -1.530e+01   9.409e+00  -1.63   99.000    5.000   99.000
OBS:  56178.195  r NULL  -5.641e+00   7.173e+00  -0.79   99.000    5.000   99.000
OBS:  56178.203  i NULL   6.349e+00   6.834e+00   0.93   99.000    5.000   99.000
OBS:  56178.211  z NULL   7.543e+00   7.920e+00   0.95   99.000    5.000   99.000
OBS:  56180.172  g NULL  -5.114e+00   4.013e+00  -1.27   99.000    5.000   99.000
OBS:  56180.188  r NULL  -3.557e+00   3.175e+00  -1.12   99.000    5.000   99.000
OBS:  56180.195  i NULL   6.630e+00   4.397e+00   1.51   99.000    5.000   99.000
OBS:  56180.203  z NULL  -6.590e-01   4.963e+00  -0.13   99.000    5.000   99.000
OBS:  56188.148  g NULL   2.589e-01   1.796e+01   0.01   28.967   99.033   26.611
OBS:  56188.289  r NULL   3.500e+00   3.997e+00   0.88   26.140  101.860   26.496
OBS:  56188.297  i NULL  -3.148e+00   8.135e+00  -0.39  128.000    0.000   25.751
OBS:  56188.312  z NULL   1.743e+01   5.404e+00   3.23   24.397    0.402   25.581
OBS:  56194.145  g NULL   7.814e+00   4.709e+00   1.66   25.268    1.003   24.764
OBS:  56194.156  r NULL   2.691e+01   2.825e+00   9.53   23.925    0.120   23.925
OBS:  56194.172  i NULL   2.523e+01   4.671e+00   5.40   23.995    0.223   23.801
OBS:  56194.188  z NULL   2.911e+01   4.503e+00   6.46   23.840    0.183   23.770
OBS:  56207.188  g NULL   6.841e+01   4.687e+00  14.59   22.912    0.077   22.917
OBS:  56207.195  r NULL   1.260e+02   4.241e+00  29.72   22.249    0.037   22.226
OBS:  56207.203  i NULL   1.303e+02   6.742e+00  19.33   22.213    0.058   22.205
OBS:  56207.219  z NULL   1.042e+02   6.276e+00  16.61   22.455    0.068   22.430
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56215.195  g NULL   3.191e+01   2.868e+00  11.12   23.740    0.103   23.585
OBS:  56215.203  r NULL   1.135e+02   3.112e+00  36.49   22.362    0.030   22.405
OBS:  56215.211  i NULL   1.276e+02   3.617e+00  35.29   22.235    0.031   22.254
OBS:  56215.227  z NULL   9.280e+01   3.858e+00  24.05   22.581    0.046   22.592
OBS:  56221.090  g NULL   2.734e+01   6.325e+00   4.32   23.908    0.285   24.215
OBS:  56221.105  r NULL   8.024e+01   5.343e+00  15.02   22.739    0.074   22.819
