SURVEY: DES   
SNID:   272740   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.76732 +- 0.02090  (Helio, z_best) 
REDSHIFT_FINAL:   0.76732 +- 0.02090  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10033 
HOST_GALAXY_PHOTO-Z:   0.7673  +- 0.0209  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      22   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = SDSS-014475  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.7888  
SIM_HOSTLIB_TRUEZ:  0.7900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10033  
SIM_DLMU:      43.465008  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0072   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   99.09  26.41  25.03  24.53  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56353.589844  days 
SIM_SALT2x0:   4.111e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.62   days 
SIM_TRESTMAX:    -1.39   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56354.199  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56288.086  g NULL   3.294e+00   4.849e+00   0.68   99.000    5.000   99.090
OBS:  56288.094  r NULL   7.691e-01   2.113e+00   0.36   99.000    5.000   99.048
OBS:  56288.109  i NULL  -4.029e+00   3.059e+00  -1.32   99.000    5.000   98.936
OBS:  56288.141  z NULL   2.288e-01   2.584e+00   0.09   99.000    5.000   98.958
OBS:  56289.227  g NULL  -6.868e+00   6.492e+00  -1.06   99.000    5.000   99.090
OBS:  56289.242  r NULL   5.099e-01   2.701e+00   0.19   99.000    5.000   99.048
OBS:  56289.258  i NULL   1.032e+00   5.084e+00   0.20   99.000    5.000   98.936
OBS:  56292.035  z NULL  -3.002e+00   2.062e+00  -1.46   99.000    5.000   98.958
OBS:  56292.141  g NULL  -3.447e+00   3.054e+00  -1.13   99.000    5.000   99.090
OBS:  56292.156  r NULL  -1.021e+00   1.735e+00  -0.59   99.000    5.000   99.048
OBS:  56292.172  i NULL   7.777e-01   2.653e+00   0.29   99.000    5.000   98.936
OBS:  56303.039  g NULL  -1.225e+00   1.371e+00  -0.89   99.000    5.000   99.090
OBS:  56303.051  r NULL  -9.282e-01   8.996e-01  -1.03  128.000    0.000   57.485
OBS:  56303.070  i NULL  -1.318e+00   1.413e+00  -0.93  128.000    0.000   57.221
OBS:  56303.094  z NULL   2.752e+00   2.209e+00   1.25   26.401    1.762   57.341
OBS:  56311.043  g NULL   4.098e+00   2.671e+00   1.53   99.000    5.000   99.090
OBS:  56311.055  r NULL  -2.526e+00   1.496e+00  -1.69  128.000    0.000   43.703
OBS:  56311.074  i NULL   1.101e+00   2.388e+00   0.46   27.395  100.605   43.326
OBS:  56311.098  z NULL   3.513e+00   2.435e+00   1.44   26.136    1.282   42.991
OBS:  56317.125  g NULL  -1.038e+00   4.216e+00  -0.25   99.000    5.000   99.090
OBS:  56317.141  r NULL   3.665e+00   1.861e+00   1.97   26.090    0.769   36.545
OBS:  56318.109  i NULL   1.572e+00   2.780e+00   0.57   27.009  100.991   35.492
OBS:  56318.141  z NULL   5.463e+00   2.977e+00   1.84   25.657    0.854   35.140
OBS:  56321.090  g NULL  -4.016e-01   6.627e+00  -0.06   99.000    5.000   99.090
OBS:  56321.098  r NULL  -7.549e-01   2.887e+00  -0.26  128.000    0.000   33.495
