SURVEY: DES   
SNID:   274502   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.60796 +- 0.04530  (Helio, z_best) 
REDSHIFT_FINAL:   0.60796 +- 0.04530  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10728 
HOST_GALAXY_PHOTO-Z:   0.6080  +- 0.0453  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.6262  
SIM_HOSTLIB_TRUEZ:  0.6300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10728  
SIM_DLMU:      42.851593  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0770   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.017  mag  (host extinction at 5510 A)
SIM_RV:         2.461   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.98  23.27  23.17  23.13  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56333.042969  days 
SIM_DELTA:      0.711  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.289  
SIM_MAGDIM:    0.482  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -35.60   days 
SIM_TRESTMAX:    11.06   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56333.234  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 44 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56275.152  g NULL  -2.083e-02   3.310e+00  -0.01   99.000    5.000   99.000
OBS:  56275.172  r NULL   1.452e+00   2.239e+00   0.65   99.000    5.000   99.000
OBS:  56275.191  i NULL  -4.185e+00   4.492e+00  -0.93   99.000    5.000   99.000
OBS:  56275.203  z NULL   1.020e+01   5.328e+00   1.91   99.000    5.000   99.000
OBS:  56283.203  g NULL   6.852e+00   6.286e+00   1.09   99.000    5.000   99.000
OBS:  56283.211  r NULL   5.747e-01   3.325e+00   0.17   99.000    5.000   99.000
OBS:  56283.215  i NULL  -2.165e+00   5.816e+00  -0.37   99.000    5.000   99.000
OBS:  56283.223  z NULL  -3.465e+00   5.043e+00  -0.69   99.000    5.000   99.000
OBS:  56288.199  g NULL   6.634e+00   1.179e+01   0.56   99.000    5.000   99.000
OBS:  56288.215  r NULL   1.606e+00   6.180e+00   0.26   99.000    5.000   99.000
OBS:  56289.109  i NULL   1.076e+00   7.080e+00   0.15   99.000    5.000   99.000
OBS:  56289.125  z NULL   2.365e-01   5.422e+00   0.04   99.000    5.000   99.000
OBS:  56292.098  g NULL   2.212e+01   1.166e+01   1.90   99.000    5.000   99.000
OBS:  56292.102  r NULL   1.415e+00   4.826e+00   0.29   99.000    5.000   99.000
OBS:  56292.191  i NULL   1.155e+01   5.603e+00   2.06   99.000    5.000   99.000
OBS:  56292.199  z NULL  -8.603e-01   5.158e+00  -0.17   99.000    5.000   99.000
OBS:  56304.051  g NULL  -3.934e+00   2.481e+00  -1.59  128.000    0.000   29.392
OBS:  56304.055  r NULL  -3.690e+00   1.658e+00  -2.23  128.000    0.000   30.209
OBS:  56304.070  i NULL   5.852e-01   2.506e+00   0.23   28.082   99.918   30.353
OBS:  56304.086  z NULL  -3.092e+00   3.934e+00  -0.79  128.000    0.000   29.273
OBS:  56312.055  g NULL   8.431e+00   7.571e+00   1.11   25.185    2.476   27.412
OBS:  56312.066  r NULL  -2.592e+00   2.963e+00  -0.87  128.000    0.000   27.297
OBS:  56312.090  i NULL   4.092e+00   5.021e+00   0.81   25.970  102.030   27.223
OBS:  56312.113  z NULL   1.301e+01   5.434e+00   2.39   24.714    0.586   26.431
OBS:  56320.043  g NULL   1.455e+00   6.173e+00   0.24   27.093  100.907   26.322
