SURVEY: DES   
SNID:   279255   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  32 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.27421 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.27421 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.27421 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19939 
HOST_GALAXY_PHOTO-Z:   0.3121  +- 0.0306  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      7   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2004gv  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.2696  
SIM_HOSTLIB_TRUEZ:  0.2700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19939  
SIM_DLMU:      40.689411  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0248   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.82  23.20  22.88  22.81  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56242.453125  days 
SIM_SALT2x0:   5.300e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.05   days 
SIM_TRESTMAX:    67.41   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56243.891  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 100 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56194.145  g NULL  -3.976e+00   4.679e+00  -0.85   99.000    5.000   99.029
OBS:  56194.156  r NULL  -2.350e-01   2.751e+00  -0.09   99.000    5.000   99.099
OBS:  56194.172  i NULL   2.436e+00   4.628e+00   0.53   99.000    5.000   99.067
OBS:  56194.188  z NULL   2.077e+00   4.463e+00   0.47   99.000    5.000   99.023
OBS:  56207.188  g NULL  -2.613e-01   4.365e+00  -0.06  128.000    0.000   42.921
OBS:  56207.195  r NULL  -4.915e+00   3.460e+00  -1.42  128.000    0.000   43.171
OBS:  56207.203  i NULL  -4.483e+00   6.247e+00  -0.72  128.000    0.000   43.017
OBS:  56207.219  z NULL   5.554e+00   5.953e+00   0.93   25.639  102.361   43.132
OBS:  56215.195  g NULL  -5.461e+00   2.684e+00  -2.03  128.000    0.000   28.669
OBS:  56215.203  r NULL   2.146e+00   2.172e+00   0.99   26.671  101.329   28.668
OBS:  56215.211  i NULL  -1.890e+00   2.633e+00  -0.72  128.000    0.000   28.450
OBS:  56215.227  z NULL   1.659e+00   3.426e+00   0.48   26.950  101.050   28.536
OBS:  56221.090  g NULL   1.261e+01   6.277e+00   2.01   24.748    0.747   26.316
OBS:  56221.105  r NULL   1.269e+01   5.088e+00   2.49   24.741    0.556   25.468
OBS:  56221.113  i NULL   1.569e+01   5.587e+00   2.81   24.511    0.477   25.220
OBS:  56221.117  z NULL   1.013e+01   7.708e+00   1.31   24.986    1.552   25.244
OBS:  56222.270  g NULL  -3.037e+00   7.740e+00  -0.39  128.000    0.000   25.957
OBS:  56222.273  r NULL   5.757e+00   5.703e+00   1.01   25.600    5.117   25.045
OBS:  56222.281  i NULL   4.683e+01   1.701e+01   2.75   23.324    0.489   24.829
OBS:  56222.289  z NULL   3.815e-01   8.067e+00   0.05   28.546   99.454   24.848
OBS:  56228.234  g NULL   1.371e+01   1.236e+01   1.11   24.658    2.523   24.334
OBS:  56228.242  r NULL   2.687e+01   5.608e+00   4.79   23.927    0.255   23.721
OBS:  56228.258  i NULL   3.868e+01   1.205e+01   3.21   23.531    0.405   23.609
OBS:  56228.270  z NULL   2.507e+01   6.671e+00   3.76   24.002    0.337   23.630
OBS:  56229.258  g NULL   2.423e+01   1.723e+01   1.41   24.039    1.348   24.163
OBS:  56229.270  r NULL   4.399e+01   8.119e+00   5.42   23.392    0.221   23.603
OBS:  56229.285  i NULL   5.332e+01   1.510e+01   3.53   23.183    0.361   23.491
OBS:  56229.297  z NULL   3.419e+01   8.928e+00   3.83   23.665    0.329   23.514
OBS:  56230.273  g NULL   4.586e+01   1.387e+01   3.31   23.346    0.390   24.027
OBS:  56230.277  r NULL   3.725e+01   6.458e+00   5.77   23.572    0.207   23.507
OBS:  56230.285  i NULL   4.170e+01   1.123e+01   3.71   23.450    0.341   23.394
OBS:  56230.293  z NULL   4.066e+01   6.210e+00   6.55   23.477    0.180   23.417
OBS:  56231.242  g NULL   3.266e+01   9.824e+00   3.32   23.715    0.388   23.915
OBS:  56231.258  r NULL   4.811e+01   5.045e+00   9.54   23.294    0.120   23.429
OBS:  56231.273  i NULL   4.573e+01   9.705e+00   4.71   23.350    0.259   23.310
OBS:  56231.277  z NULL   4.754e+01   5.386e+00   8.83   23.307    0.130   23.329
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56235.242  g NULL   3.168e+01   6.945e+00   4.56   23.748    0.269   23.588
OBS:  56235.258  r NULL   4.939e+01   4.048e+00  12.20   23.266    0.093   23.227
OBS:  56235.270  i NULL   6.674e+01   7.371e+00   9.05   22.939    0.127   23.046
OBS:  56235.277  z NULL   7.142e+01   7.114e+00  10.04   22.866    0.113   23.030
OBS:  56236.258  g NULL   3.951e+01   6.634e+00   5.96   23.508    0.199   23.550
OBS:  56236.270  r NULL   4.857e+01   4.379e+00  11.09   23.284    0.103   23.202
OBS:  56236.277  i NULL   5.778e+01   6.113e+00   9.45   23.096    0.122   23.001
OBS:  56236.285  z NULL   5.747e+01   7.885e+00   7.29   23.101    0.161   22.974
OBS:  56237.289  g NULL   3.281e+01   2.682e+01   1.22   23.710    1.847   23.535
OBS:  56237.297  r NULL   4.016e+01   4.072e+01   0.99   23.490  104.510   23.183
OBS:  56237.301  i NULL   4.520e+01   4.386e+01   1.03   23.362    3.826   22.962
OBS:  56237.316  z NULL   4.769e+01   2.569e+01   1.86   23.304    0.841   22.926
OBS:  56238.301  g NULL   6.205e+01   4.143e+01   1.50   23.018    1.196   23.545
OBS:  56238.316  r NULL   5.667e+01   1.376e+01   4.12   23.117    0.302   23.172
OBS:  56238.328  i NULL   7.278e+01   8.073e+00   9.02   22.845    0.127   22.931
OBS:  56243.027  z NULL   6.767e+01   7.930e+00   8.53   22.924    0.136   22.810
OBS:  56243.309  g NULL   2.518e+01   4.580e+00   5.50   23.997    0.218   23.915
OBS:  56244.027  r NULL   5.202e+01   4.247e+00  12.25   23.210    0.092   23.229
OBS:  56244.031  i NULL   7.537e+01   6.785e+00  11.11   22.807    0.102   22.897
OBS:  56244.273  g NULL   2.034e+01   4.138e+00   4.92   24.229    0.247   24.030
OBS:  56244.277  z NULL   7.243e+01   6.213e+00  11.66   22.850    0.098   22.810
OBS:  56245.293  g NULL   4.245e+01   1.388e+01   3.06   23.430    0.429   24.164
OBS:  56245.309  r NULL   3.973e+01   1.018e+01   3.90   23.502    0.322   23.267
OBS:  56246.027  i NULL   6.585e+01   3.929e+00  16.76   22.954    0.067   22.930
OBS:  56246.035  z NULL   6.857e+01   4.493e+00  15.26   22.910    0.074   22.822
OBS:  56247.207  g NULL   1.605e+01   3.057e+00   5.25   24.486    0.229   24.437
OBS:  56247.215  r NULL   4.592e+01   2.483e+00  18.49   23.345    0.060   23.344
OBS:  56254.160  i NULL   5.542e+01   5.045e+00  10.99   23.141    0.103   23.237
OBS:  56254.172  z NULL   6.423e+01   4.203e+00  15.28   22.981    0.073   23.006
OBS:  56258.125  g NULL   1.311e+01   1.063e+01   1.23   24.706    1.806   25.883
OBS:  56258.141  r NULL   2.977e+01   5.098e+00   5.84   23.816    0.204   23.954
OBS:  56261.035  i NULL   3.887e+01   6.144e+00   6.33   23.526    0.187   23.503
OBS:  56261.043  z NULL   5.153e+01   4.724e+00  10.91   23.220    0.104   23.232
OBS:  56261.242  g NULL   2.423e-01   7.743e+00   0.03   29.039   98.961   26.100
OBS:  56261.258  r NULL   2.702e+01   3.966e+00   6.81   23.921    0.172   24.115
OBS:  56274.188  g NULL   6.645e-01   3.595e+00   0.18   27.944  100.056   26.307
OBS:  56274.195  r NULL   1.640e+01   2.760e+00   5.94   24.463    0.200   24.624
OBS:  56274.203  i NULL   1.861e+01   4.288e+00   4.34   24.326    0.286   23.920
OBS:  56274.219  z NULL   3.581e+01   5.062e+00   7.07   23.615    0.165   23.620
OBS:  56282.203  g NULL   8.630e+00   6.358e+00   1.36   25.160    1.448   26.449
OBS:  56283.156  r NULL   1.507e+01   3.152e+00   4.78   24.554    0.254   24.768
OBS:  56283.168  i NULL   1.947e+01   5.060e+00   3.85   24.277    0.327   24.127
OBS:  56283.184  z NULL   2.513e+01   4.137e+00   6.08   23.999    0.196   23.891
OBS:  56288.191  g NULL   7.605e+00   1.255e+01   0.61   25.297  102.703   26.572
OBS:  56289.066  r NULL   1.114e+01   5.055e+00   2.20   24.883    0.657   24.865
OBS:  56289.078  i NULL   3.864e+01   8.767e+00   4.41   23.532    0.279   24.217
OBS:  56289.086  z NULL   3.204e+01   5.657e+00   5.66   23.736    0.210   24.064
OBS:  56292.090  g NULL  -1.270e+01   1.142e+01  -1.11  128.000    0.000   26.676
OBS:  56298.039  r NULL   9.388e+00   2.428e+00   3.87   25.069    0.325   24.976
OBS:  56298.047  i NULL   1.692e+01   3.576e+00   4.73   24.429    0.258   24.334
OBS:  56298.055  z NULL   2.207e+01   3.984e+00   5.54   24.140    0.216   24.350
OBS:  56304.043  g NULL   3.567e-01   2.552e+00   0.14   28.619   99.381   27.117
OBS:  56306.102  r NULL   1.251e+01   3.223e+00   3.88   24.757    0.323   25.098
OBS:  56306.113  i NULL   1.420e+01   4.320e+00   3.29   24.619    0.394   24.408
OBS:  56306.121  z NULL   1.604e+01   5.400e+00   2.97   24.487    0.445   24.605
OBS:  56312.047  g NULL  -2.214e+00   9.603e+00  -0.23  128.000    0.000   27.433
OBS:  56318.066  r NULL   7.950e+00   4.575e+00   1.74   25.249    0.930   25.336
OBS:  56318.078  i NULL   2.802e+01   7.990e+00   3.51   23.881    0.364   24.508
OBS:  56318.086  z NULL   2.145e+01   6.381e+00   3.36   24.171    0.383   24.989
OBS:  56320.035  g NULL   8.128e+00   1.145e+01   0.71   25.225  102.775   27.812
OBS:  56327.039  r NULL   5.029e+00   2.803e+00   1.79   25.746    0.885   25.537
OBS:  56327.047  i NULL   9.851e+00   4.183e+00   2.35   25.016    0.601   24.582
OBS:  56327.055  z NULL   6.943e+00   4.753e+00   1.46   25.396    1.253   25.272
OBS:  56328.039  g NULL  -8.279e-01   3.702e+00  -0.22  128.000    0.000   28.257
END: 
