SURVEY: DES   
SNID:   280981   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.62270 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.62270 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.62270 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10474 
HOST_GALAXY_PHOTO-Z:   0.6048  +- 0.0229  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.6151  
SIM_HOSTLIB_TRUEZ:  0.6200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10474  
SIM_DLMU:      42.804741  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0057   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.20  23.34  23.18  23.13  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56363.332031  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.345e-06   
SIM_SALT2x1:    0.1586   
SIM_SALT2c:     0.1228   
SIM_SALT2mB:   23.8152   
SIM_STRETCH:    1.159  
SIM_MAGDIM:    1.493  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.33   days 
SIM_TRESTMAX:    -7.57   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56363.898  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56303.039  g NULL  -1.727e-01   1.371e+00  -0.13   99.000    5.000   99.033
OBS:  56303.051  r NULL  -1.698e+00   9.000e-01  -1.89   99.000    5.000   98.954
OBS:  56303.070  i NULL   1.917e+00   1.413e+00   1.36   99.000    5.000   98.999
OBS:  56303.094  z NULL  -2.491e+00   2.209e+00  -1.13   99.000    5.000   98.995
OBS:  56311.043  g NULL   2.630e+00   2.670e+00   0.98   99.000    5.000   99.033
OBS:  56311.055  r NULL   9.416e-01   1.496e+00   0.63   99.000    5.000   98.954
OBS:  56311.074  i NULL   4.294e+00   2.389e+00   1.80   99.000    5.000   98.999
OBS:  56311.098  z NULL  -1.273e-01   2.434e+00  -0.05   99.000    5.000   98.995
OBS:  56317.125  g NULL   2.332e+00   4.216e+00   0.55   99.000    5.000   99.033
OBS:  56317.141  r NULL   4.144e+00   1.861e+00   2.23   99.000    5.000   98.954
OBS:  56318.109  i NULL  -5.726e-01   2.780e+00  -0.21   99.000    5.000   98.999
OBS:  56318.141  z NULL   1.098e+00   2.975e+00   0.37   99.000    5.000   98.995
OBS:  56321.090  g NULL  -3.160e+00   6.627e+00  -0.48   99.000    5.000   99.033
OBS:  56321.098  r NULL  -1.527e+00   2.887e+00  -0.53   99.000    5.000   98.954
OBS:  56321.109  i NULL  -7.212e+00   3.404e+00  -2.12   99.000    5.000   98.999
OBS:  56321.141  z NULL   1.526e+00   2.957e+00   0.52   99.000    5.000   98.995
OBS:  56332.039  g NULL   2.560e+00   1.459e+00   1.75   26.479    0.916   31.462
OBS:  56332.051  r NULL  -9.068e-01   9.740e-01  -0.93  128.000    0.000   29.905
OBS:  56332.070  i NULL  -6.648e-01   1.581e+00  -0.42  128.000    0.000   29.709
OBS:  56332.094  z NULL  -3.720e+00   2.577e+00  -1.44  128.000    0.000   29.623
OBS:  56340.043  g NULL   3.308e+00   2.751e+00   1.20   26.201    1.934   27.126
OBS:  56340.055  r NULL   4.668e+00   1.652e+00   2.83   25.827    0.475   25.579
OBS:  56340.074  i NULL   4.396e+00   2.723e+00   1.61   25.892    1.050   25.403
OBS:  56340.098  z NULL   1.692e-01   2.981e+00   0.06   29.429   98.571   25.338
OBS:  56348.055  g NULL   1.590e+00   3.256e+00   0.49   26.996  101.004   25.535
