SURVEY: DES   
SNID:   281144   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.26708 +- 0.03630  (Helio, z_best) 
REDSHIFT_FINAL:   0.26708 +- 0.03630  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19667 
HOST_GALAXY_PHOTO-Z:   0.2671  +- 0.0363  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      6   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = CSP-2004gq  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.2160  
SIM_HOSTLIB_TRUEZ:  0.2200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19667  
SIM_DLMU:      40.143223  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0344   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.22  23.47  23.14  23.09  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56171.464844  days 
SIM_SALT2x0:   8.764e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     4.69   days 
SIM_TRESTMAX:    63.15   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56172.969  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 88 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   6.321e+00   4.796e+00   1.32   25.498    1.545   24.917
OBS:  56177.188  r NULL   3.762e+01   5.385e+00   6.99   23.562    0.167   23.725
OBS:  56177.203  i NULL   4.695e+01   5.512e+00   8.52   23.321    0.136   23.252
OBS:  56177.234  z NULL   5.676e+01   4.812e+00  11.80   23.115    0.096   23.146
OBS:  56179.172  g NULL   1.055e+01   2.258e+00   4.67   24.942    0.261   25.206
OBS:  56179.312  r NULL   2.823e+01   3.084e+00   9.15   23.873    0.126   23.857
OBS:  56179.328  i NULL   4.774e+01   4.301e+00  11.10   23.303    0.102   23.343
OBS:  56179.359  z NULL   4.702e+01   3.629e+00  12.96   23.319    0.088   23.197
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56187.156  g NULL   4.740e+00   1.711e+00   2.77   25.811    0.486   26.191
OBS:  56187.172  r NULL   1.728e+01   1.303e+00  13.26   24.406    0.085   24.370
OBS:  56187.188  i NULL   3.467e+01   2.015e+00  17.20   23.650    0.065   23.710
OBS:  56187.211  z NULL   4.116e+01   2.311e+00  17.81   23.464    0.062   23.516
OBS:  56189.148  g NULL   1.466e+01   9.766e+00   1.50   24.584    1.190   26.337
OBS:  56189.160  r NULL   1.433e+01   3.892e+00   3.68   24.609    0.344   24.499
OBS:  56189.176  i NULL   1.768e+01   8.085e+00   2.19   24.381    0.665   23.780
OBS:  56189.203  z NULL   3.961e+01   4.752e+00   8.33   23.506    0.138   23.607
OBS:  56194.121  g NULL   5.365e-01   3.773e+00   0.14   28.176   99.824   26.548
OBS:  56194.129  r NULL   7.303e+00   2.359e+00   3.10   25.341    0.425   24.804
OBS:  56200.156  i NULL   1.979e+01   8.076e+00   2.45   24.259    0.569   24.192
OBS:  56200.180  z NULL   2.628e+01   5.658e+00   4.65   23.951    0.263   23.995
OBS:  56207.156  g NULL   3.896e+00   2.283e+00   1.71   26.023    0.957   26.809
OBS:  56207.172  r NULL   8.895e+00   1.615e+00   5.51   25.127    0.217   25.219
