SURVEY: DES   
SNID:   282023   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.65831 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.65831 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.65831 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14292 
HOST_GALAXY_PHOTO-Z:   0.6556  +- 0.0130  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.6580  
SIM_HOSTLIB_TRUEZ:  0.6600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14292  
SIM_DLMU:      42.982910  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0112   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.003  mag  (host extinction at 5510 A)
SIM_RV:         2.300   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.73  23.01  22.89  22.98  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56265.902344  days 
SIM_DELTA:     -0.332  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.332  
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.44   days 
SIM_TRESTMAX:    51.38   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56263.988  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 137 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56202.160  g NULL   4.076e+00   4.791e+00   0.85   99.000    5.000   99.000
OBS:  56202.176  r NULL  -2.711e+00   2.323e+00  -1.17   99.000    5.000   99.000
OBS:  56202.191  i NULL   7.656e+00   4.165e+00   1.84   99.000    5.000   99.000
OBS:  56202.215  z NULL   1.502e+00   2.711e+00   0.55   99.000    5.000   99.000
OBS:  56210.172  g NULL  -3.273e+00   3.691e+00  -0.89   99.000    5.000   99.000
OBS:  56210.188  r NULL   1.113e+00   3.215e+00   0.35   99.000    5.000   99.000
OBS:  56210.203  i NULL   2.988e+00   3.208e+00   0.93   99.000    5.000   99.000
OBS:  56210.234  z NULL  -8.496e-01   3.845e+00  -0.22   99.000    5.000   99.000
OBS:  56218.172  g NULL   2.442e-01   1.249e+00   0.20   99.000    5.000   99.000
OBS:  56218.191  r NULL   1.020e+00   9.561e-01   1.07   99.000    5.000   99.000
OBS:  56218.211  i NULL   9.217e-01   1.499e+00   0.61   99.000    5.000   99.000
OBS:  56219.156  z NULL  -1.313e+00   1.933e+00  -0.68   99.000    5.000   99.000
OBS:  56221.273  g NULL   5.798e-01   3.910e+00   0.15   99.000    5.000   99.000
OBS:  56221.281  r NULL   1.735e+01   5.590e+00   3.10   99.000    5.000   99.000
OBS:  56221.297  i NULL   1.903e+00   4.482e+00   0.42   99.000    5.000   99.000
OBS:  56221.324  z NULL   3.185e+01   1.441e+01   2.21   99.000    5.000   99.000
OBS:  56222.074  g NULL  -8.016e+00   5.910e+00  -1.36   99.000    5.000   99.000
OBS:  56222.090  r NULL   1.499e+00   2.626e+00   0.57   99.000    5.000   99.000
OBS:  56222.113  i NULL   3.054e+00   3.323e+00   0.92   99.000    5.000   99.000
OBS:  56222.133  z NULL   1.120e+01   5.059e+00   2.21   99.000    5.000   99.000
OBS:  56228.059  g NULL  -1.496e+00   7.693e+00  -0.19   99.000    5.000   99.000
OBS:  56228.066  r NULL   4.201e-01   2.390e+00   0.18   99.000    5.000   99.000
OBS:  56228.086  i NULL   5.887e-01   5.108e+00   0.12   99.000    5.000   99.000
OBS:  56228.109  z NULL  -1.196e+01   4.139e+00  -2.89   99.000    5.000   99.000
OBS:  56229.047  g NULL   2.361e+01   2.392e+01   0.99   99.000    5.000   99.000
OBS:  56229.059  r NULL   6.539e+00   3.852e+00   1.70   99.000    5.000   99.000
OBS:  56229.074  i NULL  -5.626e+00   5.424e+00  -1.04   99.000    5.000   99.000
OBS:  56229.102  z NULL   3.424e+00   4.848e+00   0.71   99.000    5.000   99.000
OBS:  56230.059  g NULL  -2.253e+00   6.571e+00  -0.34   99.000    5.000   99.000
OBS:  56230.102  r NULL  -3.752e+00   2.917e+00  -1.29   99.000    5.000   99.000
OBS:  56230.113  i NULL   6.064e+00   5.176e+00   1.17   99.000    5.000   99.000
OBS:  56230.145  z NULL  -6.150e+00   2.667e+00  -2.31   99.000    5.000   99.000
