SURVEY: DES   
SNID:   282350   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.93114 +- 0.02040  (Helio, z_best) 
REDSHIFT_FINAL:   0.93114 +- 0.02040  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19485 
HOST_GALAXY_PHOTO-Z:   0.9311  +- 0.0204  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.9554  
SIM_HOSTLIB_TRUEZ:  0.9600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19485  
SIM_DLMU:      43.977921  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0170   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   29.68  25.51  24.29  24.30  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56183.082031  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.152e-06   
SIM_SALT2x1:   -1.2022   
SIM_SALT2c:     0.0180   
SIM_SALT2mB:   24.8027   
SIM_MAGDIM:    1.308  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -3.02   days 
SIM_TRESTMAX:    68.52   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56181.945  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL  -1.204e+00   4.787e+00  -0.25  128.000    0.000   29.546
OBS:  56177.188  r NULL   4.175e+00   5.336e+00   0.78   25.948  102.052   25.371
OBS:  56177.203  i NULL   1.963e+01   5.450e+00   3.60   24.268    0.353   24.343
OBS:  56177.234  z NULL   2.178e+01   4.709e+00   4.62   24.155    0.264   24.370
OBS:  56179.172  g NULL  -4.427e-01   2.238e+00  -0.20  128.000    0.000   29.599
OBS:  56179.312  r NULL   8.537e-01   3.032e+00   0.28   27.672  100.328   25.390
OBS:  56179.328  i NULL   2.948e+01   4.239e+00   6.95   23.826    0.168   24.304
OBS:  56179.359  z NULL   2.399e+01   3.547e+00   6.76   24.050    0.173   24.328
OBS:  56187.156  g NULL   3.599e+00   1.704e+00   2.11   26.109    0.695   29.547
OBS:  56187.172  r NULL   5.372e+00   1.258e+00   4.27   25.675    0.290   25.788
OBS:  56187.188  i NULL   2.208e+01   1.948e+00  11.34   24.140    0.100   24.344
OBS:  56187.211  z NULL   1.915e+01   2.207e+00   8.68   24.294    0.133   24.340
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.148  g NULL   2.486e+00   9.760e+00   0.25   26.511  101.489   29.569
OBS:  56189.160  r NULL   1.766e+00   3.878e+00   0.46   26.883  101.117   25.931
OBS:  56189.176  i NULL  -3.271e+00   8.075e+00  -0.41  128.000    0.000   24.397
OBS:  56189.203  z NULL   1.810e+01   4.705e+00   3.85   24.356    0.327   24.373
OBS:  56194.121  g NULL  -5.004e+00   3.772e+00  -1.33  128.000    0.000   30.071
OBS:  56194.129  r NULL   2.704e+00   2.351e+00   1.15   26.420    2.210   26.228
OBS:  56200.156  i NULL   1.324e+01   8.070e+00   1.64   24.695    1.021   24.935
OBS:  56200.180  z NULL   7.452e+00   5.638e+00   1.32   25.319    1.536   24.685
OBS:  56207.156  g NULL   1.499e+00   2.280e+00   0.66   27.061  100.939   30.932
OBS:  56207.172  r NULL   1.826e+00   1.604e+00   1.14   26.846    2.287   27.142
OBS:  56209.191  i NULL   2.860e+00   2.142e+00   1.34   26.359    1.505   25.544
OBS:  56209.215  z NULL   1.092e+01   2.211e+00   4.94   24.905    0.245   25.120
OBS:  56215.164  g NULL   1.714e+00   1.596e+00   1.07   26.915    2.895   31.257
OBS:  56215.180  r NULL  -7.506e-01   1.097e+00  -0.68  128.000    0.000   27.797
OBS:  56217.152  i NULL   4.858e+00   1.400e+00   3.47   25.784    0.369   26.180
OBS:  56217.191  z NULL   6.032e+00   1.821e+00   3.31   25.549    0.390   25.559
OBS:  56221.062  g NULL   8.550e+00   4.491e+00   1.90   25.170    0.808   29.621
OBS:  56221.074  r NULL   3.270e+00   3.581e+00   0.91   26.214  101.786   28.015
OBS:  56221.195  i NULL  -1.484e+00   1.346e+01  -0.11  128.000    0.000   26.431
OBS:  56221.227  z NULL   3.735e+00   4.014e+00   0.93   26.069  101.931   25.779
OBS:  56222.047  g NULL  -6.426e-02   6.419e+00  -0.01  128.000    0.000   29.583
OBS:  56222.062  r NULL  -2.912e+00   3.126e+00  -0.93  128.000    0.000   28.057
OBS:  56222.191  i NULL   1.038e+01   9.793e+00   1.06   24.959    3.109   26.493
OBS:  56222.211  z NULL   4.844e+00   4.836e+00   1.00   25.787    6.996   25.831
OBS:  56228.031  g NULL  -3.909e+01   2.613e+01  -1.50  128.000    0.000   32.365
OBS:  56228.047  r NULL   1.369e+00   1.164e+01   0.12   27.159  100.841   28.549
OBS:  56228.156  i NULL   2.807e+00   5.179e+00   0.54   26.379  101.621   26.850
OBS:  56228.188  z NULL   2.596e+00   2.843e+00   0.91   26.464  101.536   26.080
OBS:  56229.031  g NULL  -5.098e+01   3.076e+01  -1.66   99.000    5.000   99.836
OBS:  56229.156  r NULL   8.463e-01   3.595e+00   0.24   27.681  100.319   28.631
OBS:  56229.172  i NULL  -7.521e+00   7.054e+00  -1.07  128.000    0.000   26.900
OBS:  56229.199  z NULL   6.421e+00   2.928e+00   2.19   25.481    0.661   26.124
OBS:  56230.035  g NULL  -2.726e+01   9.328e+00  -2.92   99.000    5.000   99.836
OBS:  56230.043  r NULL   1.076e+00   3.864e+00   0.28   27.420  100.580   28.699
OBS:  56230.191  i NULL   1.032e+01   6.321e+00   1.63   24.965    1.028   26.950
OBS:  56230.215  z NULL   4.442e+00   2.923e+00   1.52   25.881    1.164   26.170
OBS:  56231.035  g NULL   1.208e-01   7.694e+00   0.02   99.000    5.000   99.836
OBS:  56231.156  r NULL  -6.283e+00   2.656e+00  -2.37  128.000    0.000   28.754
OBS:  56231.172  i NULL   4.470e+00   4.791e+00   0.93   25.874  102.126   26.990
OBS:  56231.191  z NULL   2.066e+00   3.018e+00   0.68   26.712  101.288   26.217
OBS:  56235.145  g NULL   1.877e+00   3.787e+00   0.50   99.000    5.000   99.836
OBS:  56235.160  r NULL  -2.428e+00   1.757e+00  -1.38  128.000    0.000   28.858
OBS:  56235.172  i NULL   3.256e+00   3.201e+00   1.02   26.218    4.417   27.122
OBS:  56235.195  z NULL   1.015e+01   2.942e+00   3.45   24.984    0.371   26.426
OBS:  56236.160  g NULL  -2.693e-01   2.000e+00  -0.13   99.000    5.000   99.836
OBS:  56236.172  r NULL  -9.659e-01   1.875e+00  -0.52  128.000    0.000   28.876
OBS:  56236.188  i NULL   2.015e+00   2.784e+00   0.72   26.739  101.261   27.151
OBS:  56236.207  z NULL   1.855e+00   3.190e+00   0.58   26.829  101.171   26.478
OBS:  56237.176  g NULL   2.493e+00   3.439e+00   0.72   99.000    5.000   99.836
OBS:  56237.188  r NULL  -7.964e-01   2.252e+00  -0.35  128.000    0.000   28.906
OBS:  56237.207  i NULL   1.163e-01   2.862e+00   0.04   29.836   98.164   27.182
OBS:  56237.238  z NULL  -2.229e+00   3.868e+00  -0.58  128.000    0.000   26.524
OBS:  56238.188  g NULL   3.263e+00   2.971e+00   1.10   99.000    5.000   99.836
OBS:  56238.199  r NULL  -1.583e+00   2.023e+00  -0.78  128.000    0.000   28.941
OBS:  56238.219  i NULL  -4.910e+00   3.236e+00  -1.52  128.000    0.000   27.213
OBS:  56238.250  z NULL   5.207e+00   4.862e+00   1.07   25.709    2.947   26.567
OBS:  56243.203  g NULL   3.511e+00   1.690e+00   2.08   26.136    0.712   32.687
OBS:  56243.211  r NULL   7.452e-01   1.224e+00   0.61   27.819  100.181   29.254
OBS:  56243.223  i NULL   4.784e-01   1.849e+00   0.26   28.300   99.700   27.388
OBS:  56243.250  z NULL   5.025e+00   2.418e+00   2.08   25.747    0.712   26.706
OBS:  56244.180  g NULL   2.757e+00   1.782e+00   1.55   26.399    1.128   31.040
OBS:  56244.188  r NULL   1.544e+00   1.373e+00   1.12   27.029    2.393   29.345
OBS:  56244.203  i NULL  -2.712e-02   1.987e+00  -0.01  128.000    0.000   27.426
OBS:  56244.223  z NULL   2.896e+00   2.231e+00   1.30   26.345    1.597   26.720
OBS:  56245.191  g NULL  -1.104e+00   4.785e+00  -0.23  128.000    0.000   30.356
OBS:  56245.199  r NULL  -1.530e-01   1.174e+00  -0.13  128.000    0.000   29.455
OBS:  56245.219  i NULL   6.565e-01   2.077e+00   0.32   27.957  100.043   27.467
OBS:  56245.246  z NULL   1.437e+00   5.918e+00   0.24   27.106  100.894   26.732
OBS:  56246.234  g NULL   8.595e-01   2.000e+00   0.43   27.664  100.336   29.965
OBS:  56246.246  r NULL  -1.544e+00   3.167e+00  -0.49  128.000    0.000   29.552
OBS:  56246.262  i NULL   2.403e+00   5.640e+00   0.43   26.548  101.452   27.507
OBS:  56246.285  z NULL   3.118e+00   1.277e+01   0.24   26.265  101.735   26.743
OBS:  56248.207  g NULL   1.889e+00   1.752e+00   1.08   26.809    2.847   29.549
OBS:  56248.215  r NULL  -1.429e+00   1.325e+00  -1.08  128.000    0.000   29.671
OBS:  56248.230  i NULL   1.235e+00   2.207e+00   0.56   27.271  100.729   27.575
OBS:  56248.250  z NULL   4.702e+00   3.031e+00   1.55   25.819    1.122   26.768
OBS:  56258.242  g NULL  -4.286e+00   8.081e+00  -0.53  128.000    0.000   29.490
OBS:  56258.258  r NULL  -1.754e+00   4.418e+00  -0.40  128.000    0.000   28.877
OBS:  56259.160  i NULL   3.943e+00   4.541e+00   0.87   26.010  101.990   27.718
OBS:  56259.180  z NULL  -2.998e-01   3.059e+00  -0.10  128.000    0.000   27.013
OBS:  56261.215  g NULL   2.296e+00   3.958e+00   0.58   26.598  101.402   29.876
OBS:  56261.230  r NULL   3.500e-01   1.853e+00   0.19   28.640   99.360   28.598
OBS:  56267.156  i NULL  -2.251e+00   2.211e+00  -1.02  128.000    0.000   27.760
OBS:  56267.180  z NULL  -1.391e+00   3.049e+00  -0.46  128.000    0.000   27.226
OBS:  56274.160  g NULL   1.657e+00   2.033e+00   0.82   26.952  101.048   32.652
OBS:  56274.176  r NULL  -8.166e-01   1.444e+00  -0.57  128.000    0.000   28.970
OBS:  56275.223  i NULL   5.635e-01   3.008e+00   0.19   28.123   99.877   27.948
OBS:  56276.191  z NULL   1.402e+00   3.402e+00   0.41   27.133  100.867   27.359
OBS:  56282.160  g NULL   2.881e-01   3.403e+00   0.08   28.851   99.149   33.551
OBS:  56282.184  r NULL   3.447e+00   2.179e+00   1.58   26.156    1.085   29.949
OBS:  56287.160  i NULL  -5.070e+00   4.986e+00  -1.02  128.000    0.000   28.072
OBS:  56287.191  z NULL   2.247e+00   3.894e+00   0.58   26.621  101.379   27.382
OBS:  56289.035  g NULL   4.012e-01   1.189e+01   0.03   28.492   99.508   33.551
OBS:  56289.043  r NULL  -6.474e+00   4.185e+00  -1.55  128.000    0.000   29.949
OBS:  56289.152  i NULL  -4.544e+00   4.328e+00  -1.05  128.000    0.000   28.072
OBS:  56289.176  z NULL   3.625e+00   4.464e+00   0.81   26.102  101.898   27.382
OBS:  56297.039  g NULL   2.066e-01   1.580e+00   0.13   29.212   98.788   33.551
OBS:  56297.047  r NULL   1.895e+00   1.219e+00   1.55   26.806    1.119   29.949
OBS:  56297.062  i NULL  -2.787e-01   1.862e+00  -0.15  128.000    0.000   28.072
OBS:  56297.090  z NULL   3.069e+00   2.120e+00   1.45   26.283    1.274   27.382
OBS:  56305.094  g NULL   1.320e+00   1.644e+00   0.80   27.198  100.802   33.551
