SURVEY: DES   
SNID:   285057   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.52997 +- 0.02650  (Helio, z_best) 
REDSHIFT_FINAL:   0.52997 +- 0.02650  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10967 
HOST_GALAXY_PHOTO-Z:   0.5300  +- 0.0265  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      18   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = SDSS-013195  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.4832  
SIM_HOSTLIB_TRUEZ:  0.4800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10967  
SIM_DLMU:      42.172112  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0115   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.65  24.62  24.52  24.15  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56171.867188  days 
SIM_SALT2x0:   1.353e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     2.92   days 
SIM_TRESTMAX:    68.33   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56172.012  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 110 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL  -5.298e+00   4.766e+00  -1.11  128.000    0.000   27.078
OBS:  56176.199  r NULL   9.067e+00   2.140e+00   4.24   25.106    0.293   24.860
OBS:  56176.215  i NULL   1.250e+01   3.157e+00   3.96   24.758    0.317   24.593
OBS:  56176.238  z NULL   2.031e+01   2.514e+00   8.08   24.231    0.144   24.203
OBS:  56179.188  g NULL   7.599e-01   2.585e+00   0.29   27.798  100.202   27.385
OBS:  56179.195  r NULL   8.364e+00   1.720e+00   4.86   25.194    0.250   25.045
OBS:  56179.234  i NULL   1.543e+01   2.009e+00   7.68   24.529    0.151   24.676
OBS:  56179.266  z NULL   2.041e+01   3.750e+00   5.44   24.226    0.220   24.260
OBS:  56180.266  g NULL   1.234e+00   2.551e+00   0.48   27.271  100.729   27.496
OBS:  56180.281  r NULL   9.761e+00   1.319e+00   7.40   25.026    0.157   25.116
OBS:  56180.297  i NULL   8.837e+00   3.689e+00   2.40   25.134    0.588   24.709
OBS:  56180.328  z NULL   2.067e+01   4.504e+00   4.59   24.212    0.267   24.281
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.160  g NULL   3.710e+00   5.684e+00   0.65   26.077  101.923   28.289
OBS:  56188.176  r NULL   1.837e+01   5.582e+00   3.29   24.340    0.392   25.710
OBS:  56188.211  i NULL   1.291e+01   4.528e+00   2.85   24.722    0.469   24.941
OBS:  56188.238  z NULL   1.514e+01   3.412e+00   4.44   24.549    0.277   24.467
OBS:  56189.254  g NULL  -8.599e+00   2.290e+00  -3.76  128.000    0.000   28.400
OBS:  56189.270  r NULL   2.207e+00   3.270e+00   0.67   26.641  101.359   25.795
OBS:  56189.281  i NULL   2.410e+01   9.059e+00   2.66   24.045    0.511   24.971
OBS:  56189.312  z NULL   1.801e+01   2.985e+00   6.03   24.361    0.196   24.494
OBS:  56194.258  g NULL   9.886e-01   2.636e+00   0.38   27.512  100.488   28.879
OBS:  56194.270  r NULL  -1.570e-01   1.488e+00  -0.11  128.000    0.000   26.135
OBS:  56194.285  i NULL   7.579e+00   2.299e+00   3.30   25.301    0.393   25.139
OBS:  56194.305  z NULL   1.655e+01   2.406e+00   6.88   24.453    0.170   24.600
OBS:  56202.160  g NULL  -4.962e+00   4.791e+00  -1.04  128.000    0.000   29.490
OBS:  56202.176  r NULL   2.209e+00   2.323e+00   0.95   26.640  101.360   26.466
OBS:  56202.191  i NULL   5.286e+00   4.165e+00   1.27   25.692    1.684   25.505
OBS:  56202.215  z NULL   8.975e+00   2.717e+00   3.30   25.117    0.392   24.760
OBS:  56210.172  g NULL  -1.668e+00   3.690e+00  -0.45  128.000    0.000   29.696
OBS:  56210.188  r NULL   3.449e+00   3.216e+00   1.07   26.156    2.924   26.719
OBS:  56210.203  i NULL   2.520e+00   3.209e+00   0.79   26.496  101.504   25.799
OBS:  56210.234  z NULL   1.800e+01   3.860e+00   4.66   24.362    0.261   24.940
OBS:  56218.172  g NULL   4.243e-01   1.250e+00   0.34   28.431   99.569   29.646
OBS:  56218.191  r NULL   1.702e+00   9.580e-01   1.78   26.923    0.899   26.884
OBS:  56218.211  i NULL   3.486e+00   1.502e+00   2.32   26.144    0.612   25.991
OBS:  56219.156  z NULL   6.613e+00   1.938e+00   3.41   25.449    0.377   25.125
OBS:  56221.273  g NULL  -9.001e-01   3.910e+00  -0.23  128.000    0.000   29.597
