SURVEY: DES   
SNID:   285180   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.87488 +- 0.01610  (Helio, z_best) 
REDSHIFT_FINAL:   0.87488 +- 0.01610  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11173 
HOST_GALAXY_PHOTO-Z:   0.8749  +- 0.0161  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.8523  
SIM_HOSTLIB_TRUEZ:  0.8500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11173  
SIM_DLMU:      43.671791  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0243   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.60  24.65  23.70  23.86  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56358.437500  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.539e-06   
SIM_SALT2x1:   -1.5891   
SIM_SALT2c:     0.0442   
SIM_SALT2mB:   24.6232   
SIM_MAGDIM:    1.434  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.48   days 
SIM_TRESTMAX:    -4.02   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56358.668  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 33 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56287.160  i NULL  -2.232e+00   4.985e+00  -0.45   99.000    5.000   98.857
OBS:  56287.191  z NULL   2.588e-02   3.894e+00   0.01   99.000    5.000   98.853
OBS:  56289.035  g NULL  -5.647e+00   1.189e+01  -0.47   99.000    5.000   98.901
OBS:  56289.043  r NULL   7.005e+00   4.185e+00   1.67   99.000    5.000   98.832
OBS:  56289.152  i NULL  -6.467e+00   4.329e+00  -1.49   99.000    5.000   98.857
OBS:  56289.176  z NULL  -1.913e+00   4.464e+00  -0.43   99.000    5.000   98.853
OBS:  56297.039  g NULL   1.153e+00   1.580e+00   0.73   99.000    5.000   98.901
OBS:  56297.047  r NULL  -1.071e+00   1.219e+00  -0.88   99.000    5.000   98.832
OBS:  56297.062  i NULL  -2.234e+00   1.862e+00  -1.20   99.000    5.000   98.857
OBS:  56297.090  z NULL   8.388e-02   2.119e+00   0.04   99.000    5.000   98.853
OBS:  56305.094  g NULL  -2.624e+00   1.644e+00  -1.60   99.000    5.000   98.901
OBS:  56305.102  r NULL   5.337e-01   1.300e+00   0.41   99.000    5.000   98.832
OBS:  56305.113  i NULL  -6.798e-01   2.190e+00  -0.31   99.000    5.000   98.857
OBS:  56306.043  z NULL  -3.383e+00   2.711e+00  -1.25   99.000    5.000   98.853
OBS:  56313.047  g NULL  -1.926e+00   5.960e+00  -0.32   99.000    5.000   98.901
OBS:  56313.055  r NULL  -1.416e+00   2.524e+00  -0.56   99.000    5.000   98.832
OBS:  56313.090  i NULL   1.709e+00   3.078e+00   0.56   99.000    5.000   98.857
OBS:  56317.066  z NULL  -1.153e+00   4.249e+00  -0.27   99.000    5.000   98.853
OBS:  56321.035  g NULL   1.657e-01   2.913e+00   0.06   99.000    5.000   98.901
OBS:  56321.043  r NULL  -1.412e+00   1.365e+00  -1.03   99.000    5.000   98.832
OBS:  56321.066  i NULL  -1.530e+00   3.215e+00  -0.48   99.000    5.000   98.857
OBS:  56326.039  z NULL   3.561e+00   2.607e+00   1.37   26.121    1.429   29.347
OBS:  56333.043  g NULL  -4.700e-01   1.816e+00  -0.26  128.000    0.000   30.187
OBS:  56333.051  r NULL  -3.002e+00   1.384e+00  -2.17   99.000    5.000   98.832
OBS:  56334.043  i NULL   1.543e+00   2.177e+00   0.71   27.029  100.971   26.534
OBS:  56335.043  z NULL  -7.170e-01   3.380e+00  -0.21  128.000    0.000   26.396
OBS:  56344.992  g NULL  -1.389e+00   4.327e+00  -0.32  128.000    0.000   27.849
OBS:  56345.000  r NULL   8.596e+00   1.872e+00   4.59   25.164    0.267   25.030
OBS:  56345.016  i NULL   2.435e+01   3.484e+00   6.99   24.034    0.167   24.225
OBS:  56345.992  z NULL   2.126e+01   3.721e+00   5.71   24.181    0.209   24.289
OBS:  56349.996  g NULL   3.724e+00   3.965e+00   0.94   26.073  101.927   27.438
OBS:  56350.004  r NULL   1.213e+01   2.075e+00   5.85   24.790    0.204   24.704
OBS:  56350.996  i NULL   3.088e+01   3.081e+00  10.02   23.776    0.114   23.811
END: 
