SURVEY: DES   
SNID:   294808   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.88235 +- 0.01080  (Helio, z_best) 
REDSHIFT_FINAL:   0.88235 +- 0.01080  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19471 
HOST_GALAXY_PHOTO-Z:   0.8824  +- 0.0108  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.8617  
SIM_HOSTLIB_TRUEZ:  0.8600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19471  
SIM_DLMU:      43.701054  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0083   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.51  25.09  24.15  24.04  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56175.179688  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.040e-06   
SIM_SALT2x1:    0.6621   
SIM_SALT2c:     0.1868   
SIM_SALT2mB:   24.8609   
SIM_STRETCH:    1.662  
SIM_MAGDIM:    1.643  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     0.54   days 
SIM_TRESTMAX:    68.71   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56174.715  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 129 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL  -6.158e+00   4.766e+00  -1.29  128.000    0.000   27.542
OBS:  56176.199  r NULL   1.031e+01   2.141e+00   4.82   24.967    0.252   25.128
OBS:  56176.215  i NULL   2.254e+01   3.178e+00   7.09   24.118    0.165   24.159
OBS:  56176.238  z NULL   2.063e+01   2.515e+00   8.20   24.214    0.142   24.046
OBS:  56179.188  g NULL   1.898e+00   2.585e+00   0.73   26.804  101.196   27.654
OBS:  56179.195  r NULL   7.162e+00   1.718e+00   4.17   25.362    0.298   25.242
OBS:  56179.234  i NULL   2.098e+01   2.029e+00  10.34   24.196    0.110   24.200
OBS:  56179.266  z NULL   2.117e+01   3.752e+00   5.64   24.186    0.212   24.069
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   1.434e+00   2.551e+00   0.56   27.109  100.891   27.708
OBS:  56180.281  r NULL   7.193e+00   1.312e+00   5.48   25.358    0.219   25.287
OBS:  56180.297  i NULL   1.637e+01   3.700e+00   4.43   24.465    0.279   24.221
OBS:  56180.328  z NULL   2.063e+01   4.504e+00   4.58   24.214    0.268   24.081
OBS:  56188.160  g NULL   1.429e+01   5.690e+00   2.51   24.612    0.550   28.399
OBS:  56188.176  r NULL  -3.113e+00   5.572e+00  -0.56  128.000    0.000   25.672
OBS:  56188.211  i NULL   2.124e+01   4.541e+00   4.68   24.182    0.261   24.481
OBS:  56188.238  z NULL   2.152e+01   3.425e+00   6.28   24.168    0.188   24.203
OBS:  56189.254  g NULL   7.949e-01   2.284e+00   0.35   27.749  100.251   28.524
OBS:  56189.270  r NULL   9.449e+00   3.275e+00   2.89   25.062    0.461   25.736
OBS:  56189.281  i NULL  -1.380e+00   9.049e+00  -0.15  128.000    0.000   24.525
OBS:  56189.312  z NULL   2.129e+01   2.993e+00   7.11   24.179    0.164   24.230
OBS:  56194.258  g NULL  -1.732e+00   2.636e+00  -0.66  128.000    0.000   29.217
OBS:  56194.270  r NULL   3.201e+00   1.489e+00   2.15   26.237    0.680   26.096
OBS:  56194.285  i NULL   1.258e+01   2.308e+00   5.45   24.751    0.220   24.757
OBS:  56194.305  z NULL   1.539e+01   2.404e+00   6.40   24.532    0.185   24.390
OBS:  56202.160  g NULL  -5.185e+00   4.791e+00  -1.08  128.000    0.000   30.985
OBS:  56202.176  r NULL  -8.987e-01   2.323e+00  -0.39  128.000    0.000   26.703
OBS:  56202.191  i NULL   1.187e+01   4.170e+00   2.85   24.814    0.469   25.191
OBS:  56202.215  z NULL   9.484e+00   2.718e+00   3.49   25.058    0.368   24.692
OBS:  56210.172  g NULL   2.312e+00   3.690e+00   0.63   26.590  101.410   32.469
OBS:  56210.188  r NULL   8.471e+00   3.219e+00   2.63   25.180    0.518   27.188
OBS:  56210.203  i NULL  -2.951e-01   3.209e+00  -0.09  128.000    0.000   25.751
OBS:  56210.234  z NULL   1.289e+01   3.853e+00   3.34   24.725    0.385   24.976
OBS:  56218.172  g NULL   1.177e+00   1.250e+00   0.94   27.323  100.677   29.143
OBS:  56218.191  r NULL   1.514e+00   9.570e-01   1.58   27.050    1.085   27.891
OBS:  56218.211  i NULL   3.184e+00   1.502e+00   2.12   26.243    0.693   26.168
OBS:  56219.156  z NULL   5.298e+00   1.936e+00   2.74   25.690    0.495   25.336
OBS:  56221.273  g NULL  -7.052e+00   3.912e+00  -1.80  128.000    0.000   29.356
OBS:  56221.281  r NULL   4.320e+00   5.581e+00   0.77   25.911  102.089   28.143
OBS:  56221.297  i NULL   9.699e+00   4.486e+00   2.16   25.033    0.674   26.317
OBS:  56221.324  z NULL  -1.776e+01   1.440e+01  -1.23  128.000    0.000   25.439
OBS:  56222.074  g NULL  -5.190e+00   5.909e+00  -0.88  128.000    0.000   29.528
OBS:  56222.090  r NULL  -9.384e-02   2.626e+00  -0.04  128.000    0.000   28.193
OBS:  56222.113  i NULL   6.129e+00   3.325e+00   1.84   25.531    0.848   26.362
OBS:  56222.133  z NULL   6.605e+00   5.057e+00   1.31   25.450    1.575   25.479
OBS:  56228.059  g NULL   2.999e-01   7.693e+00   0.04   99.000    5.000   98.556
OBS:  56228.066  r NULL   3.755e+00   2.391e+00   1.57   26.063    1.099   28.446
OBS:  56228.086  i NULL  -6.311e+00   5.109e+00  -1.24  128.000    0.000   26.704
OBS:  56228.109  z NULL  -1.567e+00   4.134e+00  -0.38  128.000    0.000   25.766
OBS:  56229.047  g NULL   1.464e+01   2.392e+01   0.61   99.000    5.000   98.556
OBS:  56229.059  r NULL   7.277e-01   3.850e+00   0.19   27.845  100.155   28.499
OBS:  56229.074  i NULL   8.536e+00   5.426e+00   1.57   25.172    1.096   26.754
OBS:  56229.102  z NULL   1.020e+00   4.848e+00   0.21   27.478  100.522   25.809
OBS:  56230.059  g NULL  -1.841e+00   6.571e+00  -0.28   99.000    5.000   98.556
OBS:  56230.102  r NULL   1.813e+00   2.916e+00   0.62   26.854  101.146   28.561
OBS:  56230.113  i NULL  -6.673e+00   5.176e+00  -1.29  128.000    0.000   26.798
OBS:  56230.145  z NULL   4.121e+00   2.666e+00   1.55   25.963    1.131   25.850
OBS:  56231.043  g NULL   2.706e+00   6.045e+00   0.45   99.000    5.000   98.556
OBS:  56231.059  r NULL  -7.733e-01   2.550e+00  -0.30  128.000    0.000   28.623
OBS:  56231.070  i NULL   7.491e+00   4.242e+00   1.77   25.314    0.906   26.840
OBS:  56231.102  z NULL  -4.444e-02   3.278e+00  -0.01  128.000    0.000   25.887
OBS:  56235.039  g NULL  -5.732e+00   5.185e+00  -1.11   99.000    5.000   98.556
OBS:  56235.047  r NULL   4.541e+00   3.706e+00   1.23   25.857    1.837   28.950
OBS:  56235.062  i NULL   1.456e+00   4.192e+00   0.35   27.092  100.908   26.966
OBS:  56235.090  z NULL   5.466e+00   8.232e+00   0.66   25.656  102.344   26.018
OBS:  56236.047  g NULL   4.173e+00   4.873e+00   0.86   99.000    5.000   98.556
OBS:  56236.062  r NULL   2.473e+00   2.660e+00   0.93   26.517  101.483   29.034
OBS:  56236.074  i NULL   2.725e+00   5.222e+00   0.52   26.412  101.588   26.992
OBS:  56236.105  z NULL   1.754e+00   5.320e+00   0.33   26.890  101.110   26.048
OBS:  56237.039  g NULL   1.357e+00   3.164e+00   0.43   99.000    5.000   98.556
OBS:  56237.051  r NULL   2.104e+00   2.212e+00   0.95   26.692  101.308   29.110
OBS:  56237.094  i NULL   3.943e+00   2.492e+00   1.58   26.011    1.085   27.017
OBS:  56237.125  z NULL   4.228e+00   3.696e+00   1.14   25.935    2.251   26.077
OBS:  56238.074  g NULL  -1.006e+00   2.522e+00  -0.40   99.000    5.000   98.556
OBS:  56238.094  r NULL   1.790e+00   1.588e+00   1.13   26.868    2.367   29.179
OBS:  56238.109  i NULL   2.706e+00   2.723e+00   0.99   26.419  101.581   27.042
OBS:  56238.129  z NULL   5.426e+00   3.108e+00   1.75   25.664    0.923   26.105
OBS:  56243.098  g NULL  -5.784e-01   2.167e+00  -0.27   99.000    5.000   98.556
OBS:  56243.109  r NULL   2.659e+00   1.654e+00   1.61   26.438    1.056   29.312
OBS:  56243.125  i NULL   1.102e+00   2.564e+00   0.43   27.395  100.605   27.148
OBS:  56243.152  z NULL   7.032e+00   2.553e+00   2.75   25.382    0.489   26.231
OBS:  56244.082  g NULL  -4.554e-01   2.190e+00  -0.21   99.000    5.000   98.556
OBS:  56244.098  r NULL  -1.304e+00   1.634e+00  -0.80  128.000    0.000   29.304
OBS:  56244.109  i NULL  -1.778e-01   2.589e+00  -0.07  128.000    0.000   27.166
OBS:  56244.133  z NULL   3.271e+00   2.983e+00   1.10   26.213    2.636   26.254
OBS:  56245.070  g NULL  -2.577e-01   1.718e+00  -0.15   99.000    5.000   98.556
OBS:  56245.082  r NULL   2.119e+00   1.353e+00   1.57   26.685    1.104   29.276
OBS:  56245.109  i NULL  -5.203e-01   3.211e+00  -0.16  128.000    0.000   27.183
OBS:  56245.137  z NULL   3.239e+00   2.837e+00   1.14   26.224    2.266   26.276
OBS:  56246.117  g NULL   8.987e-01   6.561e+00   0.14   99.000    5.000   98.556
OBS:  56246.125  r NULL   4.077e+00   2.811e+00   1.45   25.974    1.269   29.243
OBS:  56246.152  i NULL   4.333e+00   1.961e+00   2.21   25.908    0.653   27.201
OBS:  56246.180  z NULL   4.068e+00   1.935e+00   2.10   25.977    0.701   26.299
OBS:  56247.281  g NULL   2.460e-01   1.489e+00   0.17   99.000    5.000   98.556
OBS:  56247.297  r NULL  -2.581e-01   1.132e+00  -0.23  128.000    0.000   29.190
OBS:  56247.316  i NULL  -3.936e-02   1.974e+00  -0.02  128.000    0.000   27.219
OBS:  56247.340  z NULL  -1.744e+00   2.490e+00  -0.70  128.000    0.000   26.322
OBS:  56248.324  g NULL   1.462e+00   1.702e+00   0.86   99.000    5.000   98.556
OBS:  56248.340  r NULL  -4.297e-01   1.335e+00  -0.32  128.000    0.000   29.143
OBS:  56258.035  i NULL   1.394e+01   9.888e+00   1.41   24.639    1.340   27.377
OBS:  56258.066  z NULL   3.107e+00   3.968e+00   0.78   26.269  101.731   26.435
OBS:  56258.215  g NULL   3.403e-01   4.947e+00   0.07   28.670   99.330   31.287
OBS:  56258.227  r NULL   1.022e+00   2.381e+00   0.43   27.477  100.523   28.950
OBS:  56261.098  g NULL  -5.361e+00   8.828e+00  -0.61   99.000    5.000   98.556
OBS:  56261.102  r NULL  -5.130e+00   3.395e+00  -1.51  128.000    0.000   28.963
OBS:  56261.125  i NULL   1.753e+00   3.854e+00   0.46   26.890  101.110   27.421
OBS:  56261.156  z NULL   5.508e-01   3.086e+00   0.18   28.147   99.853   26.435
OBS:  56273.160  g NULL  -9.534e-01   1.752e+00  -0.54   99.000    5.000   98.556
OBS:  56273.176  r NULL   1.734e+00   1.214e+00   1.43   26.902    1.306   29.033
OBS:  56273.188  i NULL   6.564e-02   2.024e+00   0.03   30.457   97.543   27.495
OBS:  56273.219  z NULL   4.365e+00   2.252e+00   1.94   25.900    0.788   26.414
OBS:  56281.160  g NULL   1.336e+00   2.074e+00   0.64   99.000    5.000   98.556
OBS:  56281.184  r NULL  -8.999e-01   1.273e+00  -0.71  128.000    0.000   29.033
OBS:  56281.203  i NULL   1.502e+00   1.799e+00   0.83   27.059  100.941   27.495
OBS:  56281.227  z NULL   5.775e+00   2.293e+00   2.52   25.596    0.549   26.414
OBS:  56288.086  g NULL   1.145e+01   4.854e+00   2.36   99.000    5.000   98.556
OBS:  56288.094  r NULL  -9.452e-01   2.114e+00  -0.45  128.000    0.000   29.033
OBS:  56288.109  i NULL  -1.855e+00   3.059e+00  -0.61  128.000    0.000   27.495
OBS:  56288.141  z NULL   4.086e-01   2.584e+00   0.16   28.472   99.528   26.414
OBS:  56289.227  g NULL   2.330e+00   6.491e+00   0.36   99.000    5.000   98.556
OBS:  56289.242  r NULL   7.406e+00   2.704e+00   2.74   25.326    0.493   29.033
OBS:  56289.258  i NULL   9.659e+00   5.088e+00   1.90   25.038    0.811   27.495
OBS:  56292.035  z NULL   6.393e-01   2.062e+00   0.31   27.986  100.014   26.414
OBS:  56292.141  g NULL  -2.286e-01   3.053e+00  -0.07   99.000    5.000   98.556
OBS:  56292.156  r NULL  -2.742e+00   1.735e+00  -1.58  128.000    0.000   29.033
OBS:  56292.172  i NULL   2.022e-01   2.653e+00   0.08   29.235   98.765   27.495
OBS:  56303.039  g NULL  -1.129e-01   1.371e+00  -0.08   99.000    5.000   98.556
OBS:  56303.051  r NULL   5.012e-01   8.997e-01   0.56   28.250   99.750   29.033
OBS:  56303.070  i NULL   2.341e+00   1.414e+00   1.66   26.576    1.005   27.495
OBS:  56303.094  z NULL  -1.441e-01   2.209e+00  -0.07  128.000    0.000   26.414
END: 
