SURVEY: DES   
SNID:   295324   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  33 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.37872 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.37872 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.37872 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16885 
HOST_GALAXY_PHOTO-Z:   0.3711  +- 0.0302  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      22   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = SDSS-014475  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.3806  
SIM_HOSTLIB_TRUEZ:  0.3800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16885  
SIM_DLMU:      41.557022  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0860   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.15  23.67  22.89  22.86  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56253.121094  days 
SIM_SALT2x0:   2.383e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.31   days 
SIM_TRESTMAX:    68.74   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56252.891  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 105 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56200.234  i NULL  -7.827e+00   1.198e+01  -0.65   99.000    5.000   98.997
OBS:  56208.160  g NULL   1.633e+00   2.972e+00   0.55   99.000    5.000   98.905
OBS:  56208.176  r NULL   4.847e+00   2.430e+00   1.99   99.000    5.000   99.060
OBS:  56208.191  z NULL   9.359e+00   4.941e+00   1.89   99.000    5.000   98.995
OBS:  56210.156  i NULL  -4.058e+00   7.025e+00  -0.58   99.000    5.000   98.997
OBS:  56216.164  g NULL  -3.155e+00   2.686e+00  -1.17  128.000    0.000   55.364
OBS:  56216.176  r NULL  -2.325e+00   2.036e+00  -1.14  128.000    0.000   54.985
OBS:  56216.191  z NULL  -3.527e+00   4.045e+00  -0.87  128.000    0.000   53.826
OBS:  56219.211  i NULL   1.011e+00   2.987e+00   0.34   27.488  100.512   53.715
OBS:  56221.148  g NULL  -1.652e+00   1.591e+01  -0.10  128.000    0.000   40.343
OBS:  56221.160  r NULL  -4.792e+00   6.048e+00  -0.79  128.000    0.000   40.058
OBS:  56221.176  z NULL   3.060e+00   1.539e+01   0.20   26.286  101.714   40.094
OBS:  56222.105  i NULL   1.458e+00   9.190e+00   0.16   27.091  100.909   38.805
OBS:  56222.312  g NULL   3.503e+00   4.101e+00   0.85   26.139  101.861   39.066
OBS:  56222.324  r NULL  -1.831e+01   1.517e+01  -1.21  128.000    0.000   38.784
OBS:  56222.340  z NULL   2.936e+01   4.086e+01   0.72   23.831  104.169   38.824
OBS:  56228.297  g NULL   2.742e+01   1.504e+01   1.82   23.905    0.862   31.952
OBS:  56228.305  r NULL  -8.450e-01   5.492e+00  -0.15  128.000    0.000   31.387
OBS:  56228.312  i NULL   1.599e+01   9.416e+00   1.70   24.491    0.965   31.086
OBS:  56228.320  z NULL  -1.483e+00   5.800e+00  -0.26  128.000    0.000   31.269
OBS:  56229.320  g NULL  -1.405e+01   1.406e+01  -1.00  128.000    0.000   31.122
OBS:  56229.332  r NULL   2.694e+00   7.252e+00   0.37   26.424  101.576   30.502
OBS:  56229.348  i NULL   1.717e+01   1.295e+01   1.33   24.413    1.522   30.180
OBS:  56230.070  z NULL  -1.858e+00   7.133e+00  -0.26  128.000    0.000   29.749
OBS:  56230.316  g NULL  -7.776e+00   1.368e+01  -0.57  128.000    0.000   30.377
OBS:  56230.328  r NULL   4.958e+00   6.673e+00   0.74   25.762  102.238   29.646
OBS:  56230.344  i NULL  -1.486e+01   1.239e+01  -1.20  128.000    0.000   29.295
OBS:  56231.301  g NULL   1.743e+00   1.166e+01   0.15   26.897  101.103   29.769
OBS:  56231.316  r NULL   8.964e-01   6.018e+00   0.15   27.619  100.381   28.959
OBS:  56231.328  i NULL   1.164e+01   1.047e+01   1.11   24.835    2.489   28.597
OBS:  56231.344  z NULL  -7.513e+00   5.791e+00  -1.30  128.000    0.000   28.769
OBS:  56235.297  g NULL   6.962e-01   9.637e+00   0.07   27.893  100.107   27.917
OBS:  56235.312  r NULL   2.429e+00   4.661e+00   0.52   26.536  101.464   26.643
OBS:  56235.324  i NULL   3.302e+00   6.642e+00   0.50   26.203  101.797   26.258
OBS:  56235.340  z NULL   8.437e+00   6.751e+00   1.25   25.185    1.747   26.455
OBS:  56236.312  g NULL   3.844e+00   7.811e+00   0.49   26.038  101.962   27.565
OBS:  56236.324  r NULL  -2.489e+00   3.731e+00  -0.67  128.000    0.000   26.111
OBS:  56236.340  i NULL   1.516e+00   6.082e+00   0.25   27.048  100.952   25.755
OBS:  56237.074  z NULL   4.224e+00   7.012e+00   0.60   25.936  102.064   25.685
OBS:  56237.340  g NULL  -4.521e+00   1.182e+01  -0.38  128.000    0.000   27.192
OBS:  56238.051  r NULL   1.402e+00   4.315e+00   0.32   27.133  100.867   25.406
