SURVEY: DES   
SNID:   298718   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.51960 +- 0.02330  (Helio, z_best) 
REDSHIFT_FINAL:   0.51960 +- 0.02330  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13369 
HOST_GALAXY_PHOTO-Z:   0.5196  +- 0.0233  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.5134  
SIM_HOSTLIB_TRUEZ:  0.5100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13369  
SIM_DLMU:      42.330166  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0265   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.969  mag  (host extinction at 5510 A)
SIM_RV:         3.008   (CCM89 extinction parameter) 
SIM_PEAKMAG:   25.42  23.85  23.72  23.50  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56163.781250  days 
SIM_DELTA:      0.315  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.685  
SIM_MAGDIM:    1.332  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     9.52   days 
SIM_TRESTMAX:    64.41   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56162.789  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 83 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   1.426e+01   9.410e+00   1.52   24.615    1.170   26.983
OBS:  56178.195  r NULL   3.956e+00   7.178e+00   0.55   26.007  101.993   24.585
OBS:  56178.203  i NULL   2.609e+01   6.857e+00   3.81   23.959    0.331   24.105
OBS:  56178.211  z NULL   1.808e+01   7.929e+00   2.28   24.357    0.628   23.936
OBS:  56180.172  g NULL   5.666e+00   4.017e+00   1.41   25.617    1.339   27.196
OBS:  56180.188  r NULL   1.686e+01   3.199e+00   5.27   24.433    0.228   24.752
OBS:  56180.195  i NULL   1.720e+01   4.416e+00   3.89   24.411    0.323   24.216
OBS:  56180.203  z NULL   2.688e+01   4.992e+00   5.38   23.926    0.223   24.025
OBS:  56188.148  g NULL   1.282e+01   1.796e+01   0.71   24.730  103.270   28.133
OBS:  56188.289  r NULL   1.293e+01   4.007e+00   3.23   24.721    0.402   25.537
OBS:  56188.297  i NULL   1.447e+01   8.144e+00   1.78   24.599    0.899   24.580
OBS:  56188.312  z NULL   1.908e+01   5.409e+00   3.53   24.299    0.362   24.185
OBS:  56194.145  g NULL   8.662e+00   4.682e+00   1.85   25.156    0.844   28.578
OBS:  56194.156  r NULL   5.346e+00   2.757e+00   1.94   25.680    0.787   26.008
OBS:  56194.172  i NULL   1.757e+01   4.646e+00   3.78   24.388    0.333   24.890
OBS:  56194.188  z NULL   1.881e+01   4.481e+00   4.20   24.314    0.295   24.314
OBS:  56207.188  g NULL  -9.405e-01   4.366e+00  -0.22  128.000    0.000   29.093
OBS:  56207.195  r NULL   2.707e+00   3.460e+00   0.78   26.419  101.581   26.788
OBS:  56207.203  i NULL  -5.296e+00   6.249e+00  -0.85  128.000    0.000   25.553
OBS:  56207.219  z NULL   8.802e+00   5.956e+00   1.48   25.139    1.226   24.896
OBS:  56215.195  g NULL   6.199e-01   2.682e+00   0.23   28.019   99.981   28.634
OBS:  56215.203  r NULL   2.548e+00   2.173e+00   1.17   26.484    2.080   26.941
OBS:  56215.211  i NULL   6.250e+00   2.639e+00   2.37   25.510    0.595   25.871
OBS:  56215.227  z NULL   3.152e-01   3.428e+00   0.09   28.753   99.247   25.349
OBS:  56221.090  g NULL  -3.784e-03   6.268e+00  -0.00  128.000    0.000   28.677
OBS:  56221.105  r NULL   6.489e+00   5.080e+00   1.28   25.470    1.658   27.052
OBS:  56221.113  i NULL  -1.124e-01   5.578e+00  -0.02  128.000    0.000   26.056
OBS:  56221.117  z NULL   1.070e+01   7.708e+00   1.39   24.927    1.383   25.517
OBS:  56222.270  g NULL  -7.172e+00   7.731e+00  -0.93  128.000    0.000   28.697
OBS:  56222.273  r NULL   3.507e-01   5.696e+00   0.06   28.638   99.362   27.075
OBS:  56222.281  i NULL  -1.099e+01   1.699e+01  -0.65  128.000    0.000   26.091
OBS:  56222.289  z NULL  -4.333e+00   8.066e+00  -0.54  128.000    0.000   25.537
OBS:  56228.234  g NULL   2.346e+00   1.234e+01   0.19   26.574  101.426   28.834
OBS:  56228.242  r NULL   4.426e+00   5.569e+00   0.79   25.885  102.115   27.165
OBS:  56228.258  i NULL   1.864e+01   1.203e+01   1.55   24.324    1.125   26.209
OBS:  56228.270  z NULL  -8.737e-01   6.649e+00  -0.13  128.000    0.000   25.649
OBS:  56229.258  g NULL   1.248e+01   1.721e+01   0.73   24.760  103.240   28.925
OBS:  56229.270  r NULL  -4.005e+00   8.064e+00  -0.50  128.000    0.000   27.178
OBS:  56229.285  i NULL   3.937e+01   1.508e+01   2.61   23.512    0.524   26.222
OBS:  56229.297  z NULL   8.315e+00   8.901e+00   0.93   25.200  102.800   25.672
OBS:  56230.273  g NULL   4.585e+00   1.383e+01   0.33   25.847  102.153   29.032
OBS:  56230.277  r NULL  -6.830e+00   6.406e+00  -1.07  128.000    0.000   27.190
OBS:  56230.285  i NULL   9.913e+00   1.120e+01   0.89   25.009  102.991   26.233
OBS:  56230.293  z NULL   1.807e+01   6.166e+00   2.93   24.358    0.453   25.695
OBS:  56231.242  g NULL   7.938e+00   9.778e+00   0.81   25.251  102.749   29.124
OBS:  56231.258  r NULL   2.248e+00   4.945e+00   0.45   26.621  101.379   27.210
OBS:  56231.273  i NULL  -4.653e+00   9.657e+00  -0.48  128.000    0.000   26.251
OBS:  56231.277  z NULL   1.327e+01   5.311e+00   2.50   24.693    0.554   25.718
OBS:  56235.242  g NULL   9.492e+00   6.868e+00   1.38   25.057    1.395   29.131
OBS:  56235.258  r NULL  -9.689e-01   3.910e+00  -0.25  128.000    0.000   27.384
OBS:  56235.270  i NULL   4.472e+00   7.248e+00   0.62   25.874  102.126   26.382
OBS:  56235.277  z NULL  -3.168e+00   6.981e+00  -0.45  128.000    0.000   25.837
OBS:  56236.258  g NULL  -4.497e+00   6.535e+00  -0.69  128.000    0.000   28.984
OBS:  56236.270  r NULL  -3.745e+00   4.254e+00  -0.88  128.000    0.000   27.462
OBS:  56236.277  i NULL   3.834e+00   5.996e+00   0.64   26.041  101.959   26.436
OBS:  56236.285  z NULL   6.784e+00   7.806e+00   0.87   25.421  102.579   25.876
OBS:  56237.289  g NULL  -2.046e+01   2.675e+01  -0.76  128.000    0.000   28.862
OBS:  56237.297  r NULL  -7.515e-01   4.068e+01  -0.02  128.000    0.000   27.565
