SURVEY: DES   
SNID:   303694   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.70558 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.70558 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.70558 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10506 
HOST_GALAXY_PHOTO-Z:   0.6807  +- 0.0274  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.7057  
SIM_HOSTLIB_TRUEZ:  0.7100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10506  
SIM_DLMU:      43.168434  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0262   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.02  23.40  23.21  23.19  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56342.726562  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.836e-06   
SIM_SALT2x1:   -2.2288   
SIM_SALT2c:    -0.0390   
SIM_SALT2mB:   23.9239   
SIM_MAGDIM:    1.238  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -35.48   days 
SIM_TRESTMAX:     3.68   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56342.039  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 33 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56282.203  g NULL  -1.746e+00   6.352e+00  -0.27   99.000    5.000   98.931
OBS:  56283.156  r NULL  -9.476e-01   3.129e+00  -0.30   99.000    5.000   98.832
OBS:  56283.168  i NULL   6.993e+00   5.039e+00   1.39   99.000    5.000   98.865
OBS:  56283.184  z NULL   1.372e+00   4.103e+00   0.33   99.000    5.000   98.818
OBS:  56288.191  g NULL   8.854e+00   1.255e+01   0.71   99.000    5.000   98.931
OBS:  56289.066  r NULL  -2.804e+00   5.047e+00  -0.56   99.000    5.000   98.832
OBS:  56289.078  i NULL  -5.373e+00   8.734e+00  -0.62   99.000    5.000   98.865
OBS:  56289.086  z NULL   1.268e+00   5.621e+00   0.23   99.000    5.000   98.818
OBS:  56292.090  g NULL   5.767e+00   1.142e+01   0.51   99.000    5.000   98.931
OBS:  56298.039  r NULL   3.084e+00   2.412e+00   1.28   99.000    5.000   98.832
OBS:  56298.047  i NULL  -1.746e+00   3.550e+00  -0.49   99.000    5.000   98.865
OBS:  56298.055  z NULL   6.707e+00   3.960e+00   1.69   99.000    5.000   98.818
OBS:  56304.043  g NULL  -4.457e+00   2.547e+00  -1.75   99.000    5.000   98.931
OBS:  56306.102  r NULL  -4.782e+00   3.209e+00  -1.49   99.000    5.000   98.832
OBS:  56306.113  i NULL  -6.990e+00   4.305e+00  -1.62   99.000    5.000   98.865
OBS:  56306.121  z NULL  -7.730e-01   5.389e+00  -0.14   99.000    5.000   98.818
OBS:  56312.047  g NULL  -7.840e-01   9.602e+00  -0.08   99.000    5.000   98.931
OBS:  56318.066  r NULL   1.430e+00   4.571e+00   0.31   27.111  100.889   27.439
OBS:  56318.078  i NULL  -3.930e+00   7.971e+00  -0.49   99.000    5.000   98.865
OBS:  56318.086  z NULL  -5.556e+00   6.368e+00  -0.87  128.000    0.000   27.307
OBS:  56320.035  g NULL  -4.982e+00   1.145e+01  -0.44   99.000    5.000   98.931
OBS:  56327.039  r NULL   1.357e+01   2.820e+00   4.81   24.669    0.253   24.607
OBS:  56327.047  i NULL   2.295e+01   4.203e+00   5.46   24.098    0.219   24.369
OBS:  56327.055  z NULL   1.844e+01   4.766e+00   3.87   24.335    0.325   24.351
OBS:  56328.039  g NULL   4.094e+00   3.711e+00   1.10   25.970    2.573   26.100
OBS:  56336.043  r NULL   4.296e+01   3.214e+00  13.37   23.417    0.084   23.467
OBS:  56336.055  i NULL   4.817e+01   5.107e+00   9.43   23.293    0.122   23.345
OBS:  56337.043  z NULL   4.530e+01   4.136e+00  10.95   23.360    0.104   23.355
OBS:  56338.043  g NULL   9.745e+00   3.568e+00   2.73   25.028    0.494   25.951
OBS:  56347.996  r NULL   3.609e+01   2.609e+00  13.83   23.607    0.081   23.601
OBS:  56348.004  i NULL   4.500e+01   4.962e+00   9.07   23.367    0.127   23.293
OBS:  56348.008  z NULL   6.338e+01   6.675e+00   9.50   22.995    0.120   23.196
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56348.996  g NULL   4.037e+00   5.509e+00   0.73   25.985  102.015   26.637
END: 
