SURVEY: DES   
SNID:   304328   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.69339 +- 0.02120  (Helio, z_best) 
REDSHIFT_FINAL:   0.69339 +- 0.02120  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10294 
HOST_GALAXY_PHOTO-Z:   0.6934  +- 0.0212  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      30   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-017564  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.7111  
SIM_HOSTLIB_TRUEZ:  0.7100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10294  
SIM_DLMU:      43.188660  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0842   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.11  23.63  23.70  23.54  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56179.621094  days 
SIM_SALT2x0:   5.303e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -0.81   days 
SIM_TRESTMAX:    65.79   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56178.785  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 95 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.398e+01   1.050e+01   1.33   24.636    1.513   24.093
OBS:  56178.250  r NULL   2.935e+01   7.872e+00   3.73   23.831    0.340   23.639
OBS:  56178.266  i NULL   4.226e+01   9.352e+00   4.52   23.435    0.271   23.730
OBS:  56179.211  z NULL   2.938e+01   5.362e+00   5.48   23.830    0.220   23.548
OBS:  56180.219  g NULL   2.360e+01   3.298e+00   7.16   24.068    0.163   24.119
OBS:  56180.234  r NULL   3.430e+01   2.540e+00  13.50   23.662    0.084   23.620
OBS:  56180.250  i NULL   4.450e+01   4.405e+00  10.10   23.379    0.112   23.693
OBS:  56188.191  z NULL   7.151e+00   2.733e+01   0.26   25.364  102.636   23.404
OBS:  56188.340  g NULL   3.655e+01   2.565e+01   1.43   23.593    1.313   24.225
OBS:  56188.355  r NULL   3.114e+01   4.225e+00   7.37   23.767    0.159   23.603
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.195  i NULL   2.644e+01   3.097e+01   0.85   23.944  104.056   23.561
OBS:  56194.215  g NULL   1.780e+01   4.819e+00   3.69   24.374    0.343   24.306
OBS:  56194.223  r NULL   4.521e+01   5.502e+00   8.22   23.362    0.140   23.624
OBS:  56194.227  z NULL   3.595e+01   6.585e+00   5.46   23.611    0.220   23.340
OBS:  56200.234  i NULL   3.201e+01   1.201e+01   2.67   23.737    0.511   23.477
OBS:  56208.160  g NULL   1.876e+01   3.040e+00   6.17   24.317    0.191   24.512
OBS:  56208.176  r NULL   3.334e+01   2.537e+00  13.14   23.693    0.086   23.717
OBS:  56208.191  z NULL   4.811e+01   5.028e+00   9.57   23.294    0.120   23.261
OBS:  56210.156  i NULL   4.124e+01   7.079e+00   5.83   23.462    0.204   23.464
OBS:  56216.164  g NULL   1.073e+01   2.740e+00   3.92   24.923    0.321   24.632
OBS:  56216.176  r NULL   2.817e+01   2.134e+00  13.20   23.875    0.086   23.778
OBS:  56216.191  z NULL   4.105e+01   4.127e+00   9.95   23.467    0.116   23.253
OBS:  56219.211  i NULL   4.195e+01   3.115e+00  13.47   23.443    0.084   23.492
OBS:  56221.148  g NULL   6.018e+00   1.594e+01   0.38   25.551  102.449   24.705
OBS:  56221.160  r NULL   1.469e+01   6.078e+00   2.42   24.582    0.582   23.815
OBS:  56221.176  z NULL   9.499e+01   1.550e+01   6.13   22.556    0.192   23.258
OBS:  56222.105  i NULL   3.709e+01   9.230e+00   4.02   23.577    0.311   23.506
OBS:  56222.312  g NULL   1.710e+01   4.152e+00   4.12   24.418    0.302   24.722
OBS:  56222.324  r NULL   4.809e+01   1.522e+01   3.16   23.295    0.412   23.823
OBS:  56222.340  z NULL   2.642e+01   4.087e+01   0.65   23.945  104.055   23.260
OBS:  56228.297  g NULL   9.870e+00   1.504e+01   0.66   25.014  102.986   24.810
OBS:  56228.305  r NULL   2.488e+01   5.525e+00   4.50   24.010    0.273   23.867
OBS:  56228.312  i NULL   2.696e+01   9.433e+00   2.86   23.923    0.468   23.543
OBS:  56228.320  z NULL   4.490e+01   5.868e+00   7.65   23.369    0.152   23.275
OBS:  56229.320  g NULL   1.444e+01   1.407e+01   1.03   24.601    3.972   24.824
OBS:  56229.332  r NULL   3.908e+01   7.297e+00   5.36   23.520    0.224   23.875
OBS:  56229.348  i NULL   2.922e+01   1.296e+01   2.25   23.836    0.637   23.549
OBS:  56230.070  z NULL   5.534e+01   7.214e+00   7.67   23.142    0.151   23.281
OBS:  56230.316  g NULL   4.138e+00   1.369e+01   0.30   25.958  102.042   24.839
OBS:  56230.328  r NULL   2.756e+01   6.702e+00   4.11   23.899    0.303   23.882
OBS:  56230.344  i NULL   4.013e+01   1.242e+01   3.23   23.491    0.402   23.556
OBS:  56231.301  g NULL   2.633e-01   1.167e+01   0.02   28.949   99.051   24.853
OBS:  56231.316  r NULL   2.612e+01   6.049e+00   4.32   23.957    0.286   23.889
OBS:  56231.328  i NULL   3.598e+01   1.050e+01   3.43   23.610    0.375   23.562
OBS:  56231.344  z NULL   5.481e+01   5.887e+00   9.31   23.153    0.123   23.286
OBS:  56235.297  g NULL   4.314e+00   9.649e+00   0.45   25.913  102.087   24.911
OBS:  56235.312  r NULL   3.201e+01   4.713e+00   6.79   23.737    0.172   23.919
OBS:  56235.324  i NULL   3.258e+01   6.680e+00   4.88   23.718    0.249   23.588
OBS:  56235.340  z NULL   5.621e+01   6.836e+00   8.22   23.125    0.140   23.300
