SURVEY: DES   
SNID:   309131   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   1.00503 +- 0.01930  (Helio, z_best) 
REDSHIFT_FINAL:   1.00503 +- 0.01930  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19617 
HOST_GALAXY_PHOTO-Z:   1.0050  +- 0.0193  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  1.0013  
SIM_HOSTLIB_TRUEZ:  1.0000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19617  
SIM_DLMU:      44.103817  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0201   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.80  24.02  23.50  23.38  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56329.328125  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.382e-06   
SIM_SALT2x1:    1.5931   
SIM_SALT2c:    -0.0786   
SIM_SALT2mB:   24.3119   
SIM_STRETCH:    2.593  
SIM_MAGDIM:    0.691  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -35.52   days 
SIM_TRESTMAX:    10.83   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56331.477  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.242  g NULL   5.941e-01   8.080e+00   0.07   99.000    5.000   98.657
OBS:  56258.258  r NULL  -8.359e+00   4.421e+00  -1.89   99.000    5.000   98.778
OBS:  56259.160  i NULL  -2.472e+00   4.540e+00  -0.54   99.000    5.000   98.897
OBS:  56259.180  z NULL   2.781e+00   3.059e+00   0.91   99.000    5.000   98.846
OBS:  56261.215  g NULL   1.940e+00   3.958e+00   0.49   99.000    5.000   98.657
OBS:  56261.230  r NULL  -1.348e+00   1.853e+00  -0.73   99.000    5.000   98.778
OBS:  56267.156  i NULL  -3.867e-01   2.211e+00  -0.17   99.000    5.000   98.897
OBS:  56267.180  z NULL  -3.904e+00   3.050e+00  -1.28   99.000    5.000   98.846
OBS:  56274.160  g NULL   2.529e-01   2.033e+00   0.12   99.000    5.000   98.657
OBS:  56274.176  r NULL  -4.794e-01   1.444e+00  -0.33   99.000    5.000   98.778
OBS:  56275.223  i NULL  -2.219e+00   3.008e+00  -0.74   99.000    5.000   98.897
OBS:  56276.191  z NULL  -1.305e+00   3.402e+00  -0.38   99.000    5.000   98.846
OBS:  56282.160  g NULL   3.003e-01   3.403e+00   0.09   99.000    5.000   98.657
OBS:  56282.184  r NULL  -6.883e-01   2.178e+00  -0.32   99.000    5.000   98.778
OBS:  56287.160  i NULL   4.253e+00   4.986e+00   0.85   99.000    5.000   98.897
OBS:  56287.191  z NULL   1.382e+00   3.894e+00   0.35   99.000    5.000   98.846
OBS:  56289.035  g NULL   9.101e+00   1.189e+01   0.77   99.000    5.000   98.657
OBS:  56289.043  r NULL   7.457e-01   4.183e+00   0.18   99.000    5.000   98.778
OBS:  56289.152  i NULL  -7.437e-01   4.327e+00  -0.17   99.000    5.000   98.897
OBS:  56289.176  z NULL  -3.790e+00   4.464e+00  -0.85   99.000    5.000   98.846
OBS:  56297.039  g NULL   1.004e+00   1.582e+00   0.63   27.496  100.504   27.560
OBS:  56297.047  r NULL   3.673e+00   1.223e+00   3.00   26.088    0.439   26.262
OBS:  56297.062  i NULL   1.572e+00   1.864e+00   0.84   27.009  100.991   26.032
OBS:  56297.090  z NULL   5.082e+00   2.122e+00   2.40   25.735    0.587   25.886
OBS:  56305.094  g NULL   3.732e+00   1.651e+00   2.26   26.070    0.634   26.394
