SURVEY: DES   
SNID:   310490   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.48371 +- 0.02380  (Helio, z_best) 
REDSHIFT_FINAL:   0.48371 +- 0.02380  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14498 
HOST_GALAXY_PHOTO-Z:   0.4837  +- 0.0238  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.4698  
SIM_HOSTLIB_TRUEZ:  0.4700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14498  
SIM_DLMU:      42.099270  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0764   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.82  22.63  22.72  22.71  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56352.738281  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.239e-05   
SIM_SALT2x1:    0.1000   
SIM_SALT2c:     0.0560   
SIM_SALT2mB:   22.9024   
SIM_STRETCH:    1.100  
SIM_MAGDIM:    1.286  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -33.13   days 
SIM_TRESTMAX:    -1.17   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56353.438  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 28 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56304.051  g NULL  -5.574e-01   2.479e+00  -0.22   99.000    5.000   99.113
OBS:  56304.055  r NULL  -5.271e-01   1.657e+00  -0.32   99.000    5.000   99.109
OBS:  56304.070  i NULL  -3.364e+00   2.507e+00  -1.34   99.000    5.000   99.127
OBS:  56304.086  z NULL   1.918e+00   3.934e+00   0.49   99.000    5.000   99.121
OBS:  56312.055  g NULL  -1.016e+01   7.570e+00  -1.34   99.000    5.000   99.113
OBS:  56312.066  r NULL   7.450e+00   2.965e+00   2.51   99.000    5.000   99.109
OBS:  56312.090  i NULL  -1.521e+00   5.020e+00  -0.30   99.000    5.000   99.127
OBS:  56312.113  z NULL  -1.373e+00   5.428e+00  -0.25   99.000    5.000   99.121
OBS:  56320.043  g NULL  -2.096e-01   6.168e+00  -0.03   99.000    5.000   99.113
OBS:  56320.051  r NULL  -1.567e+00   2.489e+00  -0.63   99.000    5.000   99.109
OBS:  56320.059  i NULL   2.168e+00   3.653e+00   0.59   99.000    5.000   99.127
OBS:  56320.070  z NULL   3.775e+00   4.394e+00   0.86   99.000    5.000   99.121
OBS:  56328.047  g NULL  -3.331e+00   3.354e+00  -0.99  128.000    0.000   27.540
OBS:  56328.055  r NULL   3.497e+00   2.407e+00   1.45   26.141    1.266   26.102
OBS:  56328.070  i NULL   1.247e+01   4.054e+00   3.08   24.760    0.426   26.139
OBS:  56328.086  z NULL   1.467e+00   6.782e+00   0.22   27.084  100.916   26.085
OBS:  56336.062  g NULL   1.395e+01   3.738e+00   3.73   24.639    0.338   24.967
OBS:  56336.082  r NULL   2.826e+01   3.077e+00   9.18   23.872    0.125   23.843
OBS:  56337.062  i NULL   3.190e+01   3.009e+00  10.60   23.741    0.108   23.749
OBS:  56337.078  z NULL   3.761e+01   3.819e+00   9.85   23.562    0.116   23.705
OBS:  56345.039  g NULL   4.281e+01   7.226e+00   5.93   23.421    0.200   23.763
OBS:  56345.055  r NULL   8.089e+01   4.106e+00  19.70   22.730    0.056   22.798
OBS:  56346.055  i NULL   6.572e+01   6.136e+00  10.71   22.956    0.107   22.878
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56348.027  z NULL   6.926e+01   5.198e+00  13.32   22.899    0.085   22.800
OBS:  56350.023  g NULL   4.062e+01   6.919e+00   5.87   23.478    0.202   23.734
OBS:  56350.027  r NULL   8.520e+01   4.299e+00  19.82   22.674    0.057   22.636
OBS:  56350.035  i NULL   6.965e+01   6.834e+00  10.19   22.893    0.113   22.753
OBS:  56351.023  z NULL   7.274e+01   6.258e+00  11.62   22.846    0.098   22.731
END: 
