SURVEY: DES   
SNID:   313740   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.52835 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.52835 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.52835 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16628 
HOST_GALAXY_PHOTO-Z:   0.4864  +- 0.0369  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.5283  
SIM_HOSTLIB_TRUEZ:  0.5300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16628  
SIM_DLMU:      42.404892  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0261   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.044  mag  (host extinction at 5510 A)
SIM_RV:         2.424   (CCM89 extinction parameter) 
SIM_PEAKMAG:   23.63  22.32  22.50  22.55  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56323.246094  days 
SIM_DELTA:     -0.279  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.279  
SIM_MAGDIM:    0.060  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.70   days 
SIM_TRESTMAX:    18.16   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56321.031  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 41 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56267.156  i NULL   6.228e-01   2.211e+00   0.28   99.000    5.000   99.000
OBS:  56267.180  z NULL   1.698e+00   3.049e+00   0.56   99.000    5.000   99.000
OBS:  56274.160  g NULL  -6.941e-01   2.033e+00  -0.34   99.000    5.000   99.000
OBS:  56274.176  r NULL  -1.454e+00   1.444e+00  -1.01   99.000    5.000   99.000
OBS:  56275.223  i NULL   2.252e-01   3.008e+00   0.07   99.000    5.000   99.000
OBS:  56276.191  z NULL   5.030e+00   3.403e+00   1.48   99.000    5.000   99.000
OBS:  56282.160  g NULL  -1.237e+00   3.403e+00  -0.36   99.000    5.000   99.000
OBS:  56282.184  r NULL  -1.283e+00   2.178e+00  -0.59   99.000    5.000   99.000
OBS:  56287.160  i NULL  -8.595e+00   4.988e+00  -1.72   99.000    5.000   99.000
OBS:  56287.191  z NULL  -3.745e+00   3.894e+00  -0.96   99.000    5.000   99.000
OBS:  56289.035  g NULL   1.440e+00   1.189e+01   0.12   99.000    5.000   99.000
OBS:  56289.043  r NULL  -5.533e+00   4.184e+00  -1.32   99.000    5.000   99.000
OBS:  56289.152  i NULL  -2.371e+00   4.327e+00  -0.55   99.000    5.000   99.000
OBS:  56289.176  z NULL   4.479e+00   4.464e+00   1.00   99.000    5.000   99.000
OBS:  56297.039  g NULL   3.218e+00   1.583e+00   2.03   26.231    0.735   27.338
OBS:  56297.047  r NULL   3.552e+00   1.225e+00   2.90   26.124    0.460   25.610
OBS:  56297.062  i NULL   5.967e+00   1.867e+00   3.20   25.561    0.407   25.872
OBS:  56297.090  z NULL   5.712e+00   2.122e+00   2.69   25.608    0.504   25.894
OBS:  56305.094  g NULL   1.136e+01   1.683e+00   6.75   24.862    0.175   24.710
OBS:  56305.102  r NULL   4.296e+01   1.549e+00  27.72   23.417    0.040   23.418
OBS:  56305.113  i NULL   3.989e+01   2.325e+00  17.16   23.498    0.064   23.626
OBS:  56306.043  z NULL   3.848e+01   2.808e+00  13.71   23.537    0.082   23.555
OBS:  56313.047  g NULL   4.782e+01   6.050e+00   7.90   23.301    0.146   23.489
OBS:  56313.055  r NULL   1.015e+02   3.177e+00  31.94   22.484    0.034   22.526
OBS:  56313.090  i NULL   7.728e+01   3.414e+00  22.64   22.780    0.049   22.773
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56317.066  z NULL   7.817e+01   4.495e+00  17.39   22.767    0.065   22.686
OBS:  56321.035  g NULL   4.206e+01   3.062e+00  13.73   23.440    0.082   23.491
OBS:  56321.043  r NULL   1.208e+02   2.666e+00  45.32   22.295    0.024   22.308
OBS:  56321.066  i NULL   1.059e+02   3.801e+00  27.85   22.438    0.039   22.517
OBS:  56326.039  z NULL   9.428e+01   3.151e+00  29.92   22.564    0.037   22.546
OBS:  56333.043  g NULL   1.740e+01   1.879e+00   9.26   24.399    0.124   24.331
OBS:  56333.051  r NULL   9.338e+01   2.255e+00  41.40   22.574    0.026   22.581
OBS:  56334.043  i NULL   9.051e+01   2.776e+00  32.61   22.608    0.034   22.635
OBS:  56335.043  z NULL   8.075e+01   3.706e+00  21.79   22.732    0.051   22.680
OBS:  56344.992  g NULL   1.395e+01   4.339e+00   3.22   24.638    0.404   25.500
OBS:  56345.000  r NULL   4.740e+01   2.078e+00  22.81   23.311    0.049   23.284
