SURVEY: DES   
SNID:   314123   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.83961 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.83961 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.83961 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16996 
HOST_GALAXY_PHOTO-Z:   0.8391  +- 0.0173  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.8361  
SIM_HOSTLIB_TRUEZ:  0.8400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16996  
SIM_DLMU:      43.620407  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0608   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.56  24.09  23.36  23.59  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56164.089844  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.774e-06   
SIM_SALT2x1:    0.5087   
SIM_SALT2c:    -0.0818   
SIM_SALT2mB:   23.9377   
SIM_STRETCH:    1.509  
SIM_MAGDIM:    0.800  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     7.70   days 
SIM_TRESTMAX:    69.77   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56164.785  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 95 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   6.596e+00   1.048e+01   0.63   25.452  102.548   27.606
OBS:  56178.250  r NULL   1.523e+01   7.850e+00   1.94   24.543    0.786   24.761
OBS:  56178.266  i NULL   3.001e+01   9.335e+00   3.22   23.807    0.405   23.726
OBS:  56179.211  z NULL   3.479e+01   5.372e+00   6.48   23.646    0.182   23.800
OBS:  56180.219  g NULL  -1.503e+00   3.207e+00  -0.47  128.000    0.000   27.757
OBS:  56180.234  r NULL   1.404e+01   2.450e+00   5.73   24.632    0.208   24.894
OBS:  56180.250  i NULL   3.649e+01   4.378e+00   8.33   23.595    0.138   23.813
OBS:  56188.191  z NULL   3.581e+01   2.734e+01   1.31   23.615    1.565   24.121
OBS:  56188.340  g NULL   2.772e+01   2.558e+01   1.08   23.893    2.776   28.382
OBS:  56188.355  r NULL   1.249e+01   4.164e+00   3.00   24.759    0.440   25.537
OBS:  56189.195  i NULL   6.944e+00   3.096e+01   0.22   25.396  102.604   24.284
OBS:  56194.215  g NULL  -2.296e+00   4.764e+00  -0.48  128.000    0.000   30.163
OBS:  56194.223  r NULL   7.385e+00   5.406e+00   1.37   25.329    1.429   25.958
OBS:  56194.227  z NULL   1.345e+01   6.550e+00   2.05   24.678    0.725   24.344
OBS:  56200.234  i NULL   2.359e+01   1.199e+01   1.97   24.068    0.770   25.041
OBS:  56208.160  g NULL  -1.803e+00   2.974e+00  -0.61  128.000    0.000   28.383
OBS:  56208.176  r NULL   1.193e+00   2.430e+00   0.49   27.308  100.692   26.993
OBS:  56208.191  z NULL   1.575e+01   4.949e+00   3.18   24.507    0.409   24.879
OBS:  56210.156  i NULL   2.259e+00   7.026e+00   0.32   26.615  101.385   25.517
OBS:  56216.164  g NULL  -9.627e+00   2.691e+00  -3.58   99.000    5.000   99.287
OBS:  56216.176  r NULL   2.379e+00   2.037e+00   1.17   26.559    2.104   27.627
OBS:  56216.191  z NULL   1.317e+01   4.054e+00   3.25   24.701    0.399   25.268
OBS:  56219.211  i NULL  -7.606e-02   2.990e+00  -0.03  128.000    0.000   25.986
OBS:  56221.148  g NULL   2.186e+01   1.592e+01   1.37   99.000    5.000   99.287
OBS:  56221.160  r NULL  -1.023e+01   6.051e+00  -1.69  128.000    0.000   28.033
