SURVEY: DES   
SNID:   315321   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.78498 +- 0.01820  (Helio, z_best) 
REDSHIFT_FINAL:   0.78498 +- 0.01820  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12246 
HOST_GALAXY_PHOTO-Z:   0.7850  +- 0.0182  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.7754  
SIM_HOSTLIB_TRUEZ:  0.7800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12246  
SIM_DLMU:      43.419136  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0566   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.334  mag  (host extinction at 5510 A)
SIM_RV:         2.014   (CCM89 extinction parameter) 
SIM_PEAKMAG:   26.70  24.39  23.64  23.76  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56190.363281  days 
SIM_DELTA:     -0.218  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.218  
SIM_MAGDIM:    0.397  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -6.83   days 
SIM_TRESTMAX:    68.58   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56191.328  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 103 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.823e+00   1.048e+01   0.17   26.848  101.152   26.613
OBS:  56178.250  r NULL   8.206e+00   7.848e+00   1.05   25.215    3.413   24.482
OBS:  56178.266  i NULL   3.223e+01   9.337e+00   3.45   23.729    0.371   23.952
OBS:  56179.211  z NULL   2.094e+01   5.346e+00   3.92   24.198    0.320   24.015
OBS:  56180.219  g NULL  -2.000e-01   3.212e+00  -0.06  128.000    0.000   26.431
OBS:  56180.234  r NULL   1.683e+01   2.462e+00   6.84   24.435    0.172   24.377
OBS:  56180.250  i NULL   2.999e+01   4.360e+00   6.88   23.808    0.171   23.831
OBS:  56188.191  z NULL  -1.063e+01   2.733e+01  -0.39  128.000    0.000   23.773
OBS:  56188.340  g NULL   1.085e+01   2.558e+01   0.42   24.911  103.089   26.577
OBS:  56188.355  r NULL   1.611e+01   4.179e+00   3.85   24.482    0.326   24.344
OBS:  56189.195  i NULL   4.033e+01   3.098e+01   1.30   23.486    1.587   23.642
OBS:  56194.215  g NULL   2.969e+00   4.768e+00   0.62   26.319  101.681   26.809
OBS:  56194.223  r NULL   1.762e+01   5.426e+00   3.25   24.385    0.400   24.510
OBS:  56194.227  z NULL   4.378e+01   6.598e+00   6.64   23.397    0.177   23.761
OBS:  56200.234  i NULL   1.556e+01   1.199e+01   1.30   24.520    1.603   23.833
OBS:  56208.160  g NULL   6.935e+00   2.977e+00   2.33   25.397    0.608   27.913
OBS:  56208.176  r NULL   1.193e+01   2.446e+00   4.88   24.808    0.248   25.228
OBS:  56208.191  z NULL   2.003e+01   4.957e+00   4.04   24.246    0.309   24.023
OBS:  56210.156  i NULL   1.248e+01   7.034e+00   1.77   24.760    0.902   24.263
OBS:  56216.164  g NULL  -3.167e+00   2.687e+00  -1.18  128.000    0.000   28.795
OBS:  56216.176  r NULL   1.412e+00   2.041e+00   0.69   27.125  100.875   25.829
OBS:  56216.191  z NULL   1.291e+01   4.056e+00   3.18   24.723    0.411   24.279
OBS:  56219.211  i NULL   7.606e+00   2.999e+00   2.54   25.297    0.546   24.760
OBS:  56221.148  g NULL  -7.783e+00   1.591e+01  -0.49  128.000    0.000   29.259
OBS:  56221.160  r NULL   5.999e+00   6.051e+00   0.99   25.555  102.445   26.222
OBS:  56221.176  z NULL   1.958e+01   1.540e+01   1.27   24.270    1.676   24.454
