SURVEY: DES   
SNID:   319525   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.50767 +- 0.03850  (Helio, z_best) 
REDSHIFT_FINAL:   0.50767 +- 0.03850  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14913 
HOST_GALAXY_PHOTO-Z:   0.5077  +- 0.0385  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5211  
SIM_HOSTLIB_TRUEZ:  0.5200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14913  
SIM_DLMU:      42.368862  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0469   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.11  22.71  22.84  22.78  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56170.718750  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.005e-05   
SIM_SALT2x1:   -0.7750   
SIM_SALT2c:     0.0127   
SIM_SALT2mB:   23.1296   
SIM_STRETCH:    0.225  
SIM_MAGDIM:    1.244  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     4.94   days 
SIM_TRESTMAX:    68.69   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56172.031  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 83 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.043e+01   1.049e+01   0.99   24.955  103.045   24.736
OBS:  56178.250  r NULL   6.438e+01   7.955e+00   8.09   22.978    0.143   22.919
OBS:  56178.266  i NULL   6.923e+01   9.415e+00   7.35   22.899    0.159   22.912
OBS:  56179.211  z NULL   6.642e+01   5.480e+00  12.12   22.944    0.094   22.895
OBS:  56180.219  g NULL   8.518e+00   3.240e+00   2.63   25.174    0.520   24.880
OBS:  56180.234  r NULL   6.185e+01   2.736e+00  22.60   23.022    0.049   23.027
OBS:  56180.250  i NULL   6.454e+01   4.505e+00  14.33   22.975    0.079   22.957
OBS:  56188.191  z NULL   6.412e+01   2.736e+01   2.34   22.982    0.604   23.294
OBS:  56188.340  g NULL  -1.701e+01   2.559e+01  -0.66  128.000    0.000   25.626
OBS:  56188.355  r NULL   3.696e+01   4.242e+00   8.71   23.581    0.132   23.580
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.195  i NULL   2.607e+01   3.098e+01   0.84   23.960  104.040   23.289
OBS:  56194.215  g NULL   2.288e+00   4.771e+00   0.48   26.601  101.399   26.207
OBS:  56194.223  r NULL   3.793e+01   5.470e+00   6.93   23.552    0.168   24.074
OBS:  56194.227  z NULL   3.291e+01   6.579e+00   5.00   23.707    0.243   23.483
OBS:  56200.234  i NULL   2.705e+01   1.200e+01   2.25   23.920    0.637   23.814
OBS:  56208.160  g NULL   3.845e+00   2.977e+00   1.29   26.038    1.614   27.289
OBS:  56208.176  r NULL   1.396e+01   2.451e+00   5.70   24.638    0.209   25.094
OBS:  56208.191  z NULL   1.949e+01   4.957e+00   3.93   24.275    0.320   23.801
OBS:  56210.156  i NULL   1.679e+01   7.037e+00   2.39   24.438    0.590   24.321
OBS:  56216.164  g NULL   2.929e+00   2.688e+00   1.09   26.333    2.711   28.088
OBS:  56216.176  r NULL   3.305e+00   2.043e+00   1.62   26.202    1.048   25.526
OBS:  56216.191  z NULL   1.766e+01   4.063e+00   4.35   24.382    0.284   24.120
OBS:  56219.211  i NULL   1.850e+01   3.016e+00   6.13   24.332    0.193   24.710
OBS:  56221.148  g NULL   6.864e+00   1.591e+01   0.43   25.409  102.591   28.278
OBS:  56221.160  r NULL   1.049e+00   6.052e+00   0.17   27.449  100.551   25.698
OBS:  56221.176  z NULL   1.799e+01   1.540e+01   1.17   24.362    2.103   24.337
OBS:  56222.105  i NULL   6.309e+00   9.195e+00   0.69   25.500  102.500   24.801
OBS:  56222.312  g NULL   4.115e+00   4.103e+00   1.00   25.964    6.255   28.259
OBS:  56222.324  r NULL   2.080e+01   1.517e+01   1.37   24.205    1.418   25.730
OBS:  56222.340  z NULL  -1.096e+01   4.086e+01  -0.27  128.000    0.000   24.383
OBS:  56228.297  g NULL  -2.365e+01   1.503e+01  -1.57  128.000    0.000   27.889
OBS:  56228.305  r NULL  -1.090e+00   5.495e+00  -0.20  128.000    0.000   25.842
OBS:  56228.312  i NULL  -1.372e+00   9.414e+00  -0.15  128.000    0.000   24.974
OBS:  56228.320  z NULL   8.335e+00   5.804e+00   1.44   25.198    1.296   24.570
OBS:  56229.320  g NULL   5.578e+00   1.406e+01   0.40   25.634  102.366   27.805
OBS:  56229.332  r NULL  -2.039e+00   7.253e+00  -0.28  128.000    0.000   25.854
OBS:  56229.348  i NULL   4.807e+00   1.295e+01   0.37   25.795  102.205   24.999
OBS:  56230.070  z NULL   9.575e+00   7.137e+00   1.34   25.047    1.487   24.610
OBS:  56230.316  g NULL   1.949e+01   1.369e+01   1.42   24.276    1.315   27.730
OBS:  56230.328  r NULL   1.782e+01   6.682e+00   2.67   24.373    0.510   25.864
OBS:  56230.344  i NULL  -2.708e-02   1.239e+01  -0.00  128.000    0.000   25.024
OBS:  56231.301  g NULL   6.702e+00   1.166e+01   0.57   25.435  102.565   27.666
