SURVEY: DES   
SNID:   328794   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.60209 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.60209 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.60209 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18243 
HOST_GALAXY_PHOTO-Z:   0.5593  +- 0.0355  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5989  
SIM_HOSTLIB_TRUEZ:  0.6000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18243  
SIM_DLMU:      42.734264  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0671   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.119  mag  (host extinction at 5510 A)
SIM_RV:         2.023   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.74  22.99  22.87  22.94  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56300.933594  days 
SIM_DELTA:     -0.233  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.233  
SIM_MAGDIM:    0.170  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.94   days 
SIM_TRESTMAX:    31.33   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56301.527  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 71 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56237.074  z NULL   5.727e+00   7.011e+00   0.82   99.000    5.000   99.000
OBS:  56237.340  g NULL   8.710e+00   1.182e+01   0.74   99.000    5.000   99.000
OBS:  56238.051  r NULL  -2.527e+00   4.311e+00  -0.59   99.000    5.000   99.000
OBS:  56238.059  i NULL   8.774e+00   5.468e+00   1.60   99.000    5.000   99.000
OBS:  56238.340  g NULL  -4.448e+00   1.062e+01  -0.42   99.000    5.000   99.000
OBS:  56243.047  z NULL   9.700e+00   8.328e+00   1.16   99.000    5.000   99.000
OBS:  56243.320  g NULL   2.741e+00   4.200e+00   0.65   99.000    5.000   99.000
OBS:  56243.336  r NULL  -1.259e+00   3.298e+00  -0.38   99.000    5.000   99.000
OBS:  56244.039  i NULL   1.272e+01   7.036e+00   1.81   99.000    5.000   99.000
OBS:  56244.309  g NULL   2.104e+00   4.123e+00   0.51   99.000    5.000   99.000
OBS:  56244.320  r NULL   3.019e-01   3.224e+00   0.09   99.000    5.000   99.000
OBS:  56245.047  z NULL   3.157e+00   5.010e+00   0.63   99.000    5.000   99.000
OBS:  56245.320  g NULL  -2.453e+00   4.228e+00  -0.58   99.000    5.000   99.000
OBS:  56246.055  r NULL   1.101e+00   2.382e+00   0.46   99.000    5.000   99.000
OBS:  56246.070  i NULL  -5.331e+00   3.885e+00  -1.37   99.000    5.000   99.000
OBS:  56247.223  g NULL  -3.765e-01   2.979e+00  -0.13   99.000    5.000   99.000
OBS:  56247.230  z NULL   2.328e+00   4.385e+00   0.53   99.000    5.000   99.000
OBS:  56248.305  r NULL   1.602e+00   2.373e+00   0.67   99.000    5.000   99.000
OBS:  56248.316  i NULL  -3.365e+00   4.227e+00  -0.80   99.000    5.000   99.000
OBS:  56258.152  g NULL   2.828e+00   1.263e+01   0.22   99.000    5.000   99.000
OBS:  56258.168  z NULL  -6.460e+00   5.983e+00  -1.08   99.000    5.000   99.000
OBS:  56258.273  r NULL   6.872e+00   7.779e+00   0.88   99.000    5.000   99.000
OBS:  56258.281  i NULL  -1.216e+00   1.262e+01  -0.10   99.000    5.000   99.000
OBS:  56261.266  g NULL   9.041e+00   1.009e+01   0.90   99.000    5.000   99.000
OBS:  56261.273  r NULL  -5.759e+00   4.186e+00  -1.38   99.000    5.000   99.000
