SURVEY: DES   
SNID:   331677   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.99437 +- 0.05010  (Helio, z_best) 
REDSHIFT_FINAL:   0.99437 +- 0.05010  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12946 
HOST_GALAXY_PHOTO-Z:   0.9944  +- 0.0501  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  1.0025  
SIM_HOSTLIB_TRUEZ:  1.0000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12946  
SIM_DLMU:      44.106861  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0110   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.117  mag  (host extinction at 5510 A)
SIM_RV:         1.943   (CCM89 extinction parameter) 
SIM_PEAKMAG:   55.07  24.86  23.69  23.59  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56162.316406  days 
SIM_DELTA:     -0.392  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.392  
SIM_MAGDIM:    0.041  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     6.93   days 
SIM_TRESTMAX:    64.85   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56162.711  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   6.308e+00   4.765e+00   1.32   25.500    1.528   55.463
OBS:  56176.199  r NULL   6.292e+00   2.135e+00   2.95   25.503    0.450   25.576
OBS:  56176.215  i NULL   2.613e+01   3.188e+00   8.20   23.957    0.141   23.983
OBS:  56176.238  z NULL   2.621e+01   2.534e+00  10.35   23.954    0.111   23.783
OBS:  56179.188  g NULL   1.009e+00   2.584e+00   0.39   27.491  100.509   55.594
OBS:  56179.195  r NULL   7.042e+00   1.716e+00   4.10   25.381    0.303   25.741
OBS:  56179.234  i NULL   2.062e+01   2.028e+00  10.17   24.214    0.113   24.101
OBS:  56179.266  z NULL   3.176e+01   3.778e+00   8.41   23.745    0.137   23.861
OBS:  56180.266  g NULL   2.155e+00   2.550e+00   0.84   26.667  101.333   55.646
OBS:  56180.281  r NULL   3.944e+00   1.306e+00   3.02   26.010    0.437   25.790
OBS:  56180.297  i NULL   1.936e+01   3.705e+00   5.23   24.283    0.231   24.152
OBS:  56180.328  z NULL   3.153e+01   4.526e+00   6.97   23.753    0.168   23.889
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.160  g NULL   3.552e+00   5.684e+00   0.63   26.124  101.876   56.094
OBS:  56188.176  r NULL   6.919e-01   5.570e+00   0.12   27.900  100.100   26.441
OBS:  56188.211  i NULL   9.084e+00   4.526e+00   2.01   25.104    0.750   24.544
OBS:  56188.238  z NULL   2.336e+01   3.429e+00   6.81   24.079    0.172   24.163
OBS:  56189.254  g NULL  -2.462e-01   2.284e+00  -0.11  128.000    0.000   56.166
OBS:  56189.270  r NULL   6.685e-01   3.268e+00   0.20   27.937  100.063   26.538
OBS:  56189.281  i NULL   3.348e+01   9.070e+00   3.69   23.688    0.342   24.616
OBS:  56189.312  z NULL   2.289e+01   2.997e+00   7.64   24.101    0.152   24.190
OBS:  56194.258  g NULL   2.795e+00   2.636e+00   1.06   26.384    3.113   56.516
OBS:  56194.270  r NULL   3.173e+00   1.488e+00   2.13   26.246    0.686   26.958
OBS:  56194.285  i NULL   9.847e+00   2.302e+00   4.28   25.017    0.289   24.951
OBS:  56194.305  z NULL   1.749e+01   2.409e+00   7.26   24.393    0.161   24.361
OBS:  56202.160  g NULL   3.545e+00   4.791e+00   0.74   26.126  101.874   56.918
