SURVEY: DES   
SNID:   332641   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.27737 +- 0.03240  (Helio, z_best) 
REDSHIFT_FINAL:   0.27737 +- 0.03240  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19296 
HOST_GALAXY_PHOTO-Z:   0.2774  +- 0.0324  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      9   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2007Y  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.2966  
SIM_HOSTLIB_TRUEZ:  0.3000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19296  
SIM_DLMU:      40.926704  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0322   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.21  24.79  24.56  24.56  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56248.015625  days 
SIM_SALT2x0:   4.259e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -31.49   days 
SIM_TRESTMAX:    69.43   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56246.930  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 100 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56207.188  g NULL  -6.633e+00   4.367e+00  -1.52   99.000    5.000   98.933
OBS:  56207.195  r NULL  -6.461e-01   3.459e+00  -0.19   99.000    5.000   99.055
OBS:  56207.203  i NULL  -5.867e+00   6.247e+00  -0.94   99.000    5.000   99.036
OBS:  56207.219  z NULL  -9.454e+00   5.954e+00  -1.59   99.000    5.000   99.085
OBS:  56215.195  g NULL   3.453e+00   2.682e+00   1.29   26.154    1.626   35.009
OBS:  56215.203  r NULL  -3.015e+00   2.172e+00  -1.39  128.000    0.000   35.224
OBS:  56215.211  i NULL  -3.984e-01   2.633e+00  -0.15  128.000    0.000   35.334
OBS:  56215.227  z NULL  -1.775e+00   3.426e+00  -0.52  128.000    0.000   35.287
OBS:  56221.090  g NULL   5.520e+00   6.269e+00   0.88   25.645  102.355   29.917
OBS:  56221.105  r NULL   2.285e+00   5.078e+00   0.45   26.603  101.397   29.710
OBS:  56221.113  i NULL   8.357e+00   5.578e+00   1.50   25.195    1.195   29.574
OBS:  56221.117  z NULL   9.652e-01   7.705e+00   0.13   27.538  100.462   29.528
OBS:  56222.270  g NULL   1.360e+00   7.730e+00   0.18   27.167  100.833   29.236
OBS:  56222.273  r NULL   3.106e+00   5.695e+00   0.55   26.269  101.731   28.887
OBS:  56222.281  i NULL   6.544e+00   1.698e+01   0.39   25.460  102.540   28.705
OBS:  56222.289  z NULL   5.095e-01   8.065e+00   0.06   28.232   99.768   28.651
OBS:  56228.234  g NULL  -6.620e+00   1.234e+01  -0.54  128.000    0.000   27.087
OBS:  56228.242  r NULL   5.243e+00   5.570e+00   0.94   25.701  102.299   26.418
OBS:  56228.258  i NULL   2.614e-01   1.202e+01   0.02   28.957   99.043   26.233
OBS:  56228.270  z NULL   4.001e+00   6.649e+00   0.60   25.995  102.005   26.208
OBS:  56229.258  g NULL   1.544e+01   1.721e+01   0.90   24.528  103.472   26.740
OBS:  56229.270  r NULL   2.792e+00   8.065e+00   0.35   26.385  101.615   26.141
OBS:  56229.285  i NULL  -1.332e+01   1.507e+01  -0.88  128.000    0.000   25.981
