SURVEY: DES   
SNID:   334819   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  23 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.18929 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.18929 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.18929 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18859 
HOST_GALAXY_PHOTO-Z:   0.2093  +- 0.0422  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      4   (non1a index) 
SIM_COMMENT:  SN Type = IIL , MODEL = NUGENT2L  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.1866  
SIM_HOSTLIB_TRUEZ:  0.1900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18859  
SIM_DLMU:      39.788609  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0340   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.19  22.74  22.49  22.66  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56241.660156  days 
SIM_SALT2x0:   1.215e-16   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -29.05   days 
SIM_TRESTMAX:    66.05   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56240.281  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 92 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56207.188  g NULL   2.080e+00   4.365e+00   0.48   99.000    5.000   98.277
OBS:  56207.195  r NULL  -3.524e+00   3.459e+00  -1.02   99.000    5.000   98.415
OBS:  56207.203  i NULL   5.235e+00   6.247e+00   0.84   99.000    5.000   98.378
OBS:  56207.219  z NULL   8.639e+00   5.954e+00   1.45   99.000    5.000   98.374
OBS:  56215.195  g NULL  -1.639e-01   2.681e+00  -0.06   99.000    5.000   98.277
OBS:  56215.203  r NULL   3.367e+00   2.172e+00   1.55   99.000    5.000   98.415
OBS:  56215.211  i NULL  -2.657e+00   2.633e+00  -1.01   99.000    5.000   98.378
OBS:  56215.227  z NULL   4.751e+00   3.427e+00   1.39   99.000    5.000   98.374
OBS:  56221.090  g NULL   4.158e+00   6.272e+00   0.66   25.953  102.047   26.566
OBS:  56221.105  r NULL   6.347e+00   5.081e+00   1.25   25.494    1.749   26.827
OBS:  56221.113  i NULL  -5.991e+00   5.578e+00  -1.07  128.000    0.000   26.784
OBS:  56221.117  z NULL  -6.806e-01   7.705e+00  -0.09  128.000    0.000   27.087
OBS:  56222.270  g NULL   5.008e+00   7.743e+00   0.65   25.751  102.249   25.688
OBS:  56222.273  r NULL   7.246e+00   5.700e+00   1.27   25.350    1.677   25.851
OBS:  56222.281  i NULL  -2.010e+01   1.699e+01  -1.18  128.000    0.000   25.714
OBS:  56222.289  z NULL   2.069e+01   8.075e+00   2.56   24.210    0.536   26.032
OBS:  56228.234  g NULL   5.345e+01   1.243e+01   4.30   23.180    0.287   23.312
OBS:  56228.242  r NULL   5.153e+01   5.677e+00   9.08   23.220    0.127   23.203
OBS:  56228.258  i NULL   5.282e+01   1.208e+01   4.37   23.193    0.282   22.983
OBS:  56228.270  z NULL   6.046e+01   6.751e+00   8.96   23.046    0.128   23.280
OBS:  56229.258  g NULL   1.687e+01   1.725e+01   0.98   24.432  103.568   23.014
OBS:  56229.270  r NULL   7.680e+01   8.216e+00   9.35   22.787    0.123   22.865
OBS:  56229.285  i NULL   7.707e+01   1.515e+01   5.09   22.783    0.238   22.648
