SURVEY: DES   
SNID:   335122   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.88439 +- 0.01640  (Helio, z_best) 
REDSHIFT_FINAL:   0.88439 +- 0.01640  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17586 
HOST_GALAXY_PHOTO-Z:   0.8844  +- 0.0164  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.8893  
SIM_HOSTLIB_TRUEZ:  0.8900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17586  
SIM_DLMU:      43.785576  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0567   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.22  24.63  23.79  23.87  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56252.789062  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.294e-06   
SIM_SALT2x1:   -1.8546   
SIM_SALT2c:    -0.0887   
SIM_SALT2mB:   24.3406   
SIM_MAGDIM:    1.038  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.46   days 
SIM_TRESTMAX:    52.00   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56252.098  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 123 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL  -2.362e+00   1.048e+01  -0.23   99.000    5.000   98.585
OBS:  56178.250  r NULL   5.349e+00   7.842e+00   0.68   99.000    5.000   99.091
OBS:  56178.266  i NULL   1.012e+01   9.313e+00   1.09   99.000    5.000   99.140
OBS:  56179.211  z NULL  -7.228e-01   5.328e+00  -0.14   99.000    5.000   99.097
OBS:  56180.219  g NULL   4.164e+00   3.206e+00   1.30   99.000    5.000   98.585
OBS:  56180.234  r NULL   3.415e+00   2.426e+00   1.41   99.000    5.000   99.091
OBS:  56180.250  i NULL  -8.976e+00   4.313e+00  -2.08   99.000    5.000   99.140
OBS:  56188.191  z NULL  -3.418e+00   2.732e+01  -0.13   99.000    5.000   99.097
OBS:  56188.340  g NULL  -1.523e+01   2.557e+01  -0.60   99.000    5.000   98.585
OBS:  56188.355  r NULL  -6.352e-01   4.152e+00  -0.15   99.000    5.000   99.091
OBS:  56189.195  i NULL   3.169e+01   3.096e+01   1.02   99.000    5.000   99.140
OBS:  56194.215  g NULL   4.946e+00   4.764e+00   1.04   99.000    5.000   98.585
OBS:  56194.223  r NULL  -4.586e+00   5.400e+00  -0.85   99.000    5.000   99.091
OBS:  56194.227  z NULL  -3.210e+00   6.541e+00  -0.49   99.000    5.000   99.097
OBS:  56200.234  i NULL   1.629e+00   1.198e+01   0.14   99.000    5.000   99.140
OBS:  56208.160  g NULL   4.229e+00   2.973e+00   1.42   99.000    5.000   98.585
OBS:  56208.176  r NULL  -4.523e+00   2.429e+00  -1.86   99.000    5.000   99.091
OBS:  56208.191  z NULL  -2.697e+00   4.938e+00  -0.55   99.000    5.000   99.097
OBS:  56210.156  i NULL   7.719e+00   7.026e+00   1.10   99.000    5.000   99.140
OBS:  56216.164  g NULL   2.527e+00   2.686e+00   0.94   99.000    5.000   98.585
OBS:  56216.176  r NULL  -3.937e-01   2.036e+00  -0.19   99.000    5.000   99.091
OBS:  56216.191  z NULL  -1.121e+00   4.045e+00  -0.28  128.000    0.000   33.094
OBS:  56219.211  i NULL  -8.875e-01   2.987e+00  -0.30  128.000    0.000   29.945
OBS:  56221.148  g NULL  -1.087e+01   1.591e+01  -0.68   99.000    5.000   98.585
OBS:  56221.160  r NULL  -3.170e+00   6.048e+00  -0.52   99.000    5.000   99.091
