SURVEY: DES   
SNID:   342574   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.26678 +- 0.03120  (Helio, z_best) 
REDSHIFT_FINAL:   0.26678 +- 0.03120  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14546 
HOST_GALAXY_PHOTO-Z:   0.2668  +- 0.0312  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.2488  
SIM_HOSTLIB_TRUEZ:  0.2500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14546  
SIM_DLMU:      40.490044  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0740   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.10  21.62  21.54  22.05  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56301.800781  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.726e-05   
SIM_SALT2x1:    0.3666   
SIM_SALT2c:     0.1944   
SIM_SALT2mB:   21.7069   
SIM_STRETCH:    1.367  
SIM_MAGDIM:    1.700  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -34.95   days 
SIM_TRESTMAX:    39.42   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56300.566  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 52 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.152  g NULL   2.257e+01   1.264e+01   1.79   99.000    5.000   99.129
OBS:  56258.168  z NULL   7.890e+00   5.984e+00   1.32   99.000    5.000   99.149
OBS:  56258.273  r NULL   3.493e+00   7.778e+00   0.45   99.000    5.000   99.127
OBS:  56258.281  i NULL  -2.531e+01   1.263e+01  -2.00   99.000    5.000   99.137
OBS:  56261.266  g NULL  -1.031e+01   1.009e+01  -1.02   99.000    5.000   99.129
OBS:  56261.273  r NULL  -1.298e+00   4.184e+00  -0.31   99.000    5.000   99.127
OBS:  56261.281  i NULL   4.434e+00   7.029e+00   0.63   99.000    5.000   99.137
OBS:  56261.289  z NULL  -1.354e+00   4.892e+00  -0.28   99.000    5.000   99.149
OBS:  56275.152  g NULL   1.142e+00   3.310e+00   0.35   99.000    5.000   99.129
OBS:  56275.172  r NULL   5.085e-01   2.239e+00   0.23   99.000    5.000   99.127
OBS:  56275.191  i NULL   1.835e+00   4.492e+00   0.41   99.000    5.000   99.137
OBS:  56275.203  z NULL   1.032e+01   5.328e+00   1.94   99.000    5.000   99.149
OBS:  56283.203  g NULL   9.714e+00   6.315e+00   1.54   25.032    1.142   24.409
OBS:  56283.211  r NULL   2.577e+01   3.380e+00   7.62   23.972    0.153   23.945
OBS:  56283.215  i NULL   3.174e+01   5.858e+00   5.42   23.746    0.221   23.787
OBS:  56283.223  z NULL   2.397e+01   5.068e+00   4.73   24.051    0.259   23.773
OBS:  56288.199  g NULL   6.476e+01   1.190e+01   5.44   22.972    0.220   23.058
OBS:  56288.215  r NULL   8.546e+01   6.415e+00  13.32   22.671    0.085   22.653
OBS:  56289.109  i NULL   1.200e+02   7.458e+00  16.09   22.302    0.069   22.377
OBS:  56289.125  z NULL   9.710e+01   5.733e+00  16.94   22.532    0.066   22.483
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56292.098  g NULL   1.163e+02   1.206e+01   9.64   22.336    0.119   22.414
OBS:  56292.102  r NULL   1.603e+02   5.816e+00  27.57   21.987    0.039   22.054
OBS:  56292.191  i NULL   1.707e+02   6.502e+00  26.26   21.919    0.042   21.958
OBS:  56292.199  z NULL   1.428e+02   5.826e+00  24.51   22.113    0.045   22.148
OBS:  56304.051  g NULL   1.338e+02   3.889e+00  34.41   22.184    0.032   22.167
OBS:  56304.055  r NULL   2.196e+02   4.538e+00  48.38   21.646    0.023   21.634
OBS:  56304.070  i NULL   2.416e+02   5.254e+00  45.98   21.542    0.024   21.526
OBS:  56304.086  z NULL   1.457e+02   4.807e+00  30.31   22.091    0.037   22.074
OBS:  56312.055  g NULL   8.810e+01   7.859e+00  11.21   22.638    0.102   22.617
OBS:  56312.066  r NULL   1.852e+02   4.646e+00  39.86   21.831    0.028   21.819
OBS:  56312.090  i NULL   2.085e+02   6.413e+00  32.51   21.702    0.034   21.736
OBS:  56312.113  z NULL   1.205e+02   5.892e+00  20.44   22.298    0.054   22.322
OBS:  56320.043  g NULL   3.713e+01   6.281e+00   5.91   23.576    0.202   23.324
