SURVEY: DES   
SNID:   348013   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.95675 +- 0.02200  (Helio, z_best) 
REDSHIFT_FINAL:   0.95675 +- 0.02200  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14016 
HOST_GALAXY_PHOTO-Z:   0.9568  +- 0.0220  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.9757  
SIM_HOSTLIB_TRUEZ:  0.9800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14016  
SIM_DLMU:      44.034073  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0220   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.56  25.72  24.26  24.27  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56301.578125  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.863e-06   
SIM_SALT2x1:   -2.1509   
SIM_SALT2c:     0.0168   
SIM_SALT2mB:   24.9594   
SIM_MAGDIM:    1.408  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.23   days 
SIM_TRESTMAX:    25.01   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56303.324  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 99 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56228.031  g NULL   1.082e-01   2.612e+01   0.00   99.000    5.000   98.210
OBS:  56228.047  r NULL   1.649e+01   1.164e+01   1.42   99.000    5.000   99.037
OBS:  56228.156  i NULL  -2.835e+00   5.178e+00  -0.55   99.000    5.000   99.042
OBS:  56228.188  z NULL   1.510e+00   2.842e+00   0.53   99.000    5.000   99.067
OBS:  56229.031  g NULL   3.913e+00   3.074e+01   0.13   99.000    5.000   98.210
OBS:  56229.156  r NULL  -1.609e+00   3.595e+00  -0.45   99.000    5.000   99.037
OBS:  56229.172  i NULL  -6.929e+00   7.054e+00  -0.98   99.000    5.000   99.042
OBS:  56229.199  z NULL  -2.140e+00   2.926e+00  -0.73   99.000    5.000   99.067
OBS:  56230.035  g NULL  -8.554e+00   9.316e+00  -0.92   99.000    5.000   98.210
OBS:  56230.043  r NULL  -2.495e+00   3.864e+00  -0.65   99.000    5.000   99.037
OBS:  56230.191  i NULL  -6.712e+00   6.319e+00  -1.06   99.000    5.000   99.042
OBS:  56230.215  z NULL   1.183e-01   2.921e+00   0.04   99.000    5.000   99.067
OBS:  56231.035  g NULL  -4.432e+00   7.695e+00  -0.58   99.000    5.000   98.210
OBS:  56231.156  r NULL  -7.343e-01   2.654e+00  -0.28   99.000    5.000   99.037
OBS:  56231.172  i NULL   2.193e+00   4.791e+00   0.46   99.000    5.000   99.042
OBS:  56231.191  z NULL  -1.299e+00   3.017e+00  -0.43   99.000    5.000   99.067
OBS:  56235.145  g NULL   2.028e+00   3.787e+00   0.54   99.000    5.000   98.210
OBS:  56235.160  r NULL   1.110e+00   1.756e+00   0.63   99.000    5.000   99.037
OBS:  56235.172  i NULL  -3.446e-01   3.200e+00  -0.11   99.000    5.000   99.042
OBS:  56235.195  z NULL  -1.922e+00   2.936e+00  -0.65   99.000    5.000   99.067
OBS:  56236.160  g NULL  -1.104e+00   2.000e+00  -0.55   99.000    5.000   98.210
OBS:  56236.172  r NULL  -1.415e-01   1.875e+00  -0.08   99.000    5.000   99.037
OBS:  56236.188  i NULL   5.840e+00   2.785e+00   2.10   99.000    5.000   99.042
OBS:  56236.207  z NULL  -1.163e+00   3.190e+00  -0.36   99.000    5.000   99.067
OBS:  56237.176  g NULL   1.862e+00   3.438e+00   0.54   99.000    5.000   98.210
