SURVEY: DES   
SNID:   348633   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.57089 +- 0.05610  (Helio, z_best) 
REDSHIFT_FINAL:   0.57089 +- 0.05610  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19244 
HOST_GALAXY_PHOTO-Z:   0.5709  +- 0.0561  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      27   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-015339  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5471  
SIM_HOSTLIB_TRUEZ:  0.5500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19244  
SIM_DLMU:      42.496365  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0581   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.00  23.66  23.60  23.83  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56248.480469  days 
SIM_SALT2x0:   1.003e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.97   days 
SIM_TRESTMAX:    66.28   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56247.254  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 116 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56188.191  z NULL  -1.353e+01   2.733e+01  -0.50   99.000    5.000   98.956
OBS:  56188.340  g NULL   1.298e+00   2.557e+01   0.05   99.000    5.000   98.931
OBS:  56188.355  r NULL  -7.296e+00   4.154e+00  -1.76   99.000    5.000   98.939
OBS:  56189.195  i NULL  -4.288e+01   3.096e+01  -1.38   99.000    5.000   98.906
OBS:  56194.215  g NULL   2.413e-01   4.763e+00   0.05   99.000    5.000   98.931
OBS:  56194.223  r NULL   4.484e+00   5.400e+00   0.83   99.000    5.000   98.939
OBS:  56194.227  z NULL  -8.919e-01   6.541e+00  -0.14   99.000    5.000   98.956
OBS:  56200.234  i NULL   6.429e+00   1.198e+01   0.54   99.000    5.000   98.906
OBS:  56208.160  g NULL   5.498e-01   2.972e+00   0.18   28.150   99.850   54.403
OBS:  56208.176  r NULL   7.277e-01   2.428e+00   0.30   27.845  100.155   55.889
OBS:  56208.191  z NULL   1.328e-01   4.938e+00   0.03   29.692   98.308   40.282
OBS:  56210.156  i NULL   1.954e+00   7.024e+00   0.28   26.773  101.227   53.876
OBS:  56216.164  g NULL  -1.545e+00   2.686e+00  -0.58  128.000    0.000   42.661
OBS:  56216.176  r NULL   2.334e+00   2.036e+00   1.15   26.580    2.232   44.802
OBS:  56216.191  z NULL   5.098e+00   4.046e+00   1.26   25.731    1.712   30.951
OBS:  56219.211  i NULL  -1.015e+00   2.987e+00  -0.34  128.000    0.000   42.012
OBS:  56221.148  g NULL  -4.381e+00   1.591e+01  -0.28  128.000    0.000   36.436
OBS:  56221.160  r NULL   5.769e+00   6.048e+00   0.95   25.597  102.403   38.845
OBS:  56221.176  z NULL   7.334e+00   1.539e+01   0.48   25.337  102.663   29.685
OBS:  56222.105  i NULL   3.354e+00   9.190e+00   0.36   26.186  101.814   37.746
OBS:  56222.312  g NULL  -8.607e+00   4.104e+00  -2.10  128.000    0.000   34.244
OBS:  56222.324  r NULL  -6.912e+00   1.517e+01  -0.46  128.000    0.000   36.874
OBS:  56222.340  z NULL   7.550e+01   4.088e+01   1.85   22.805    0.846   29.427
OBS:  56228.297  g NULL  -1.253e+01   1.503e+01  -0.83  128.000    0.000   26.155
OBS:  56228.305  r NULL  -5.279e-02   5.493e+00  -0.01  128.000    0.000   27.953
OBS:  56228.312  i NULL  -1.426e+01   9.416e+00  -1.51  128.000    0.000   28.162
OBS:  56228.320  z NULL   6.744e+00   5.801e+00   1.16   25.428    2.135   26.622
OBS:  56229.320  g NULL   2.573e+00   1.406e+01   0.18   26.474  101.526   25.670
OBS:  56229.332  r NULL   1.530e+01   7.258e+00   2.11   24.538    0.697   26.915
OBS:  56229.348  i NULL  -1.043e+01   1.295e+01  -0.81  128.000    0.000   27.477
OBS:  56230.070  z NULL   3.690e+00   7.134e+00   0.52   26.083  101.917   25.757
OBS:  56230.316  g NULL   4.113e+00   1.369e+01   0.30   25.965  102.035   25.259
OBS:  56230.328  r NULL   5.081e+00   6.674e+00   0.76   25.735  102.265   26.153
OBS:  56230.344  i NULL   1.159e+01   1.239e+01   0.94   24.840  103.160   26.915
OBS:  56231.301  g NULL  -1.476e+01   1.167e+01  -1.27  128.000    0.000   24.939
OBS:  56231.316  r NULL   9.040e+00   6.023e+00   1.50   25.110    1.191   25.407
OBS:  56231.328  i NULL   6.067e+00   1.047e+01   0.58   25.543  102.457   26.379
OBS:  56231.344  z NULL   8.452e+00   5.793e+00   1.46   25.183    1.255   25.348
OBS:  56235.297  g NULL  -4.142e+00   9.662e+00  -0.43  128.000    0.000   24.108
OBS:  56235.312  r NULL   2.779e+01   4.702e+00   5.91   23.890    0.201   23.999
OBS:  56235.324  i NULL   9.805e+00   6.646e+00   1.48   25.021    1.230   24.929
OBS:  56235.340  z NULL   2.044e+01   6.762e+00   3.02   24.224    0.436   24.625
OBS:  56236.312  g NULL   3.501e+01   7.870e+00   4.45   23.640    0.276   23.992
OBS:  56236.324  r NULL   2.798e+01   3.782e+00   7.40   23.883    0.158   23.887
OBS:  56236.340  i NULL   1.207e+01   6.089e+00   1.98   24.796    0.763   24.676
