SURVEY: DES   
SNID:   348957   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.40046 +- 0.02080  (Helio, z_best) 
REDSHIFT_FINAL:   0.40046 +- 0.02080  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18519 
HOST_GALAXY_PHOTO-Z:   0.4005  +- 0.0208  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      4   (non1a index) 
SIM_COMMENT:  SN Type = IIL , MODEL = NUGENT2L  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.4190  
SIM_HOSTLIB_TRUEZ:  0.4200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18519  
SIM_DLMU:      41.803375  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0739   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.98  24.50  24.23  23.84  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56194.832031  days 
SIM_SALT2x0:   1.900e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -11.70   days 
SIM_TRESTMAX:    68.62   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56195.879  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 95 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL  -1.316e+00   1.048e+01  -0.13  128.000    0.000   25.733
OBS:  56178.250  r NULL   1.342e+01   7.849e+00   1.71   24.681    0.955   24.895
OBS:  56178.266  i NULL   6.583e+00   9.315e+00   0.71   25.454  102.546   24.893
OBS:  56179.211  z NULL   2.009e+01   5.344e+00   3.76   24.243    0.336   24.211
OBS:  56180.219  g NULL   1.309e+01   3.234e+00   4.05   24.708    0.307   25.397
OBS:  56180.234  r NULL   1.548e+01   2.459e+00   6.29   24.526    0.188   24.371
OBS:  56180.250  i NULL   1.476e+01   4.328e+00   3.41   24.577    0.377   24.330
OBS:  56188.191  z NULL   2.626e+01   2.734e+01   0.96   23.952  104.048   23.337
OBS:  56188.340  g NULL  -1.645e+01   2.560e+01  -0.64  128.000    0.000   25.146
OBS:  56188.355  r NULL   2.415e+01   4.202e+00   5.75   24.043    0.208   23.870
OBS:  56189.195  i NULL   2.736e+01   3.097e+01   0.88   23.907  104.093   23.815
OBS:  56194.215  g NULL   2.220e+00   4.774e+00   0.47   26.634  101.366   25.903
OBS:  56194.223  r NULL   1.799e+01   5.427e+00   3.31   24.362    0.390   24.458
OBS:  56194.227  z NULL   4.146e+01   6.593e+00   6.29   23.456    0.187   23.805
OBS:  56200.234  i NULL   1.529e+01   1.199e+01   1.28   24.539    1.663   24.500
OBS:  56208.160  g NULL  -3.644e+00   2.975e+00  -1.23  128.000    0.000   28.071
OBS:  56208.176  r NULL   2.868e+00   2.435e+00   1.18   26.356    2.061   25.409
OBS:  56208.191  z NULL   2.013e+01   4.955e+00   4.06   24.240    0.306   24.504
OBS:  56210.156  i NULL   2.101e+00   7.028e+00   0.30   26.694  101.306   24.964
OBS:  56216.164  g NULL  -1.342e+00   2.687e+00  -0.50  128.000    0.000   28.291
OBS:  56216.176  r NULL   3.013e+00   2.042e+00   1.48   26.302    1.231   25.713
OBS:  56216.191  z NULL   1.436e+01   4.057e+00   3.54   24.607    0.360   24.716
OBS:  56219.211  i NULL   1.215e+01   3.002e+00   4.05   24.788    0.307   25.174
