SURVEY: DES   
SNID:   356233   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.43532 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.43532 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.43532 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15134 
HOST_GALAXY_PHOTO-Z:   0.4107  +- 0.0248  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.4331  
SIM_HOSTLIB_TRUEZ:  0.4300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15134  
SIM_DLMU:      41.888634  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0309   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.52  21.82  21.97  22.20  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56216.121094  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.556e-05   
SIM_SALT2x1:    0.5422   
SIM_SALT2c:    -0.1087   
SIM_SALT2mB:   22.1162   
SIM_STRETCH:    1.542  
SIM_MAGDIM:    0.711  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -26.47   days 
SIM_TRESTMAX:    66.94   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56215.652  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 104 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   3.379e+00   9.404e+00   0.36   99.000    5.000   99.068
OBS:  56178.195  r NULL   1.523e-02   7.172e+00   0.00   99.000    5.000   99.132
OBS:  56178.203  i NULL  -4.962e+00   6.834e+00  -0.73   99.000    5.000   99.106
OBS:  56178.211  z NULL   5.619e+00   7.920e+00   0.71   99.000    5.000   99.097
OBS:  56180.172  g NULL  -4.963e+00   4.013e+00  -1.24   99.000    5.000   99.068
OBS:  56180.188  r NULL   3.564e+00   3.175e+00   1.12   99.000    5.000   99.132
OBS:  56180.195  i NULL   4.270e+00   4.396e+00   0.97   99.000    5.000   99.106
OBS:  56180.203  z NULL   2.113e+00   4.963e+00   0.43   99.000    5.000   99.097
OBS:  56188.148  g NULL   7.017e+00   1.795e+01   0.39   25.385  102.615   29.290
OBS:  56188.289  r NULL   4.614e+00   3.996e+00   1.15   25.840    2.181   28.277
OBS:  56188.297  i NULL   7.562e+00   8.133e+00   0.93   25.303  102.697   28.384
OBS:  56188.312  z NULL  -1.458e+00   5.393e+00  -0.27  128.000    0.000   28.480
OBS:  56194.145  g NULL   2.593e+00   4.700e+00   0.55   26.466  101.534   25.076
OBS:  56194.156  r NULL   2.044e+01   2.799e+00   7.30   24.224    0.160   24.261
OBS:  56194.172  i NULL   1.463e+01   4.647e+00   3.15   24.587    0.415   24.373
OBS:  56194.188  z NULL   1.732e+01   4.478e+00   3.87   24.404    0.325   24.484
OBS:  56207.188  g NULL   1.008e+02   4.950e+00  20.36   22.492    0.055   22.480
OBS:  56207.195  r NULL   1.443e+02   4.447e+00  32.44   22.102    0.035   22.053
OBS:  56207.203  i NULL   1.193e+02   6.670e+00  17.88   22.309    0.063   22.240
OBS:  56207.219  z NULL   1.036e+02   6.273e+00  16.52   22.461    0.068   22.411
OBS:  56215.195  g NULL   1.033e+02   3.575e+00  28.90   22.465    0.038   22.480
OBS:  56215.203  r NULL   1.941e+02   4.315e+00  44.99   21.780    0.024   21.818
OBS:  56215.211  i NULL   1.648e+02   4.122e+00  39.98   21.958    0.027   21.978
OBS:  56215.227  z NULL   1.367e+02   4.295e+00  31.84   22.160    0.034   22.213
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56221.090  g NULL   7.081e+01   6.537e+00  10.83   22.875    0.106   22.796
