SURVEY: DES   
SNID:   357009   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.88703 +- 0.01440  (Helio, z_best) 
REDSHIFT_FINAL:   0.88703 +- 0.01440  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15506 
HOST_GALAXY_PHOTO-Z:   0.8870  +- 0.0144  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.8776  
SIM_HOSTLIB_TRUEZ:  0.8800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15506  
SIM_DLMU:      43.750217  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0134   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.016  mag  (host extinction at 5510 A)
SIM_RV:         1.766   (CCM89 extinction parameter) 
SIM_PEAKMAG:   27.16  24.64  23.89  23.95  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56289.136719  days 
SIM_DELTA:      0.377  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.623  
SIM_MAGDIM:    0.402  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.84   days 
SIM_TRESTMAX:    15.39   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56289.461  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 64 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56216.215  g NULL  -6.635e+00   2.469e+00  -2.69   99.000    5.000   99.000
OBS:  56216.223  r NULL   4.243e-01   1.881e+00   0.23   99.000    5.000   99.000
OBS:  56216.230  i NULL  -3.088e+00   3.015e+00  -1.02   99.000    5.000   99.000
OBS:  56218.152  z NULL   9.952e-02   2.671e+00   0.04   99.000    5.000   99.000
OBS:  56221.004  g NULL   3.674e+00   5.225e+00   0.70   99.000    5.000   99.000
OBS:  56221.016  r NULL   4.074e+00   3.578e+00   1.14   99.000    5.000   99.000
OBS:  56221.027  i NULL   5.968e+00   5.471e+00   1.09   99.000    5.000   99.000
OBS:  56221.035  z NULL   2.021e+00   5.403e+00   0.37   99.000    5.000   99.000
OBS:  56222.016  g NULL   7.358e+00   6.243e+00   1.18   99.000    5.000   99.000
OBS:  56222.027  r NULL  -5.717e+00   3.620e+00  -1.58   99.000    5.000   99.000
OBS:  56222.035  i NULL  -2.114e+00   4.921e+00  -0.43   99.000    5.000   99.000
OBS:  56228.012  z NULL   4.859e+00   5.545e+00   0.88   99.000    5.000   99.000
OBS:  56229.012  g NULL  -1.585e+01   9.822e+00  -1.61   99.000    5.000   99.000
OBS:  56229.016  r NULL   1.074e+00   4.316e+00   0.25   99.000    5.000   99.000
OBS:  56229.023  i NULL   4.145e+00   7.808e+00   0.53   99.000    5.000   99.000
OBS:  56230.012  z NULL  -7.675e+00   4.916e+00  -1.56   99.000    5.000   99.000
OBS:  56231.012  g NULL  -3.548e+00   6.915e+00  -0.51   99.000    5.000   99.000
OBS:  56231.020  r NULL  -6.606e-01   2.783e+00  -0.24   99.000    5.000   99.000
OBS:  56231.027  i NULL   3.497e+00   4.071e+00   0.86   99.000    5.000   99.000
OBS:  56235.020  z NULL   3.629e+00   5.689e+00   0.64   99.000    5.000   99.000
OBS:  56236.027  g NULL   2.396e+00   5.172e+00   0.46   99.000    5.000   99.000
OBS:  56236.035  r NULL  -9.166e+00   5.381e+00  -1.70   99.000    5.000   99.000
OBS:  56236.039  i NULL   2.249e+00   7.618e+00   0.30   99.000    5.000   99.000
OBS:  56237.023  z NULL   6.566e+00   5.125e+00   1.28   99.000    5.000   99.000
OBS:  56238.023  g NULL  -3.779e+00   3.613e+00  -1.05   99.000    5.000   99.000
OBS:  56238.031  r NULL  -3.408e-01   2.785e+00  -0.12   99.000    5.000   99.000
OBS:  56238.039  i NULL   7.655e-01   4.809e+00   0.16   99.000    5.000   99.000
OBS:  56243.070  z NULL  -7.055e+00   5.345e+00  -1.32   99.000    5.000   99.000
OBS:  56244.047  g NULL   7.383e-01   4.182e+00   0.18   99.000    5.000   99.000
OBS:  56244.055  r NULL  -4.918e+00   2.824e+00  -1.74   99.000    5.000   99.000
OBS:  56244.070  i NULL  -1.747e+00   4.407e+00  -0.40   99.000    5.000   99.000
OBS:  56245.027  z NULL  -2.277e+00   3.539e+00  -0.64   99.000    5.000   99.000
OBS:  56246.082  g NULL   4.283e-01   2.833e+00   0.15   99.000    5.000   99.000
OBS:  56246.098  r NULL   1.515e+00   2.463e+00   0.62   99.000    5.000   99.000
OBS:  56246.109  i NULL   7.934e-01   5.434e+00   0.15   99.000    5.000   99.000
OBS:  56247.250  z NULL  -9.436e+00   6.294e+00  -1.50   99.000    5.000   99.000
OBS:  56254.199  g NULL   1.144e+01   6.134e+00   1.86   24.854    0.834   35.405
OBS:  56254.211  r NULL   7.586e+00   3.377e+00   2.25   25.300    0.639   31.410
