SURVEY: DES   
SNID:   367392   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.52234 +- 0.04240  (Helio, z_best) 
REDSHIFT_FINAL:   0.52234 +- 0.04240  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10963 
HOST_GALAXY_PHOTO-Z:   0.5223  +- 0.0424  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.5593  
SIM_HOSTLIB_TRUEZ:  0.5600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10963  
SIM_DLMU:      42.554440  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0104   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.03  23.66  23.37  23.24  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56186.488281  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.316e-06   
SIM_SALT2x1:    0.3446   
SIM_SALT2c:     0.2799   
SIM_SALT2mB:   24.0474   
SIM_STRETCH:    1.345  
SIM_MAGDIM:    1.976  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -6.60   days 
SIM_TRESTMAX:    67.77   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56187.188  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   3.919e+00   4.771e+00   0.82   26.017  101.983   25.013
OBS:  56176.199  r NULL   2.875e+01   2.205e+00  13.04   23.854    0.087   23.880
OBS:  56176.215  i NULL   3.458e+01   3.218e+00  10.75   23.653    0.106   23.652
OBS:  56176.238  z NULL   3.834e+01   2.587e+00  14.82   23.541    0.076   23.609
OBS:  56179.188  g NULL   1.299e+01   2.608e+00   4.98   24.716    0.243   24.881
OBS:  56179.195  r NULL   2.835e+01   1.802e+00  15.73   23.869    0.072   23.736
OBS:  56179.234  i NULL   3.798e+01   2.118e+00  17.93   23.551    0.063   23.520
OBS:  56179.266  z NULL   4.032e+01   3.807e+00  10.59   23.486    0.108   23.451
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   1.326e+01   2.576e+00   5.15   24.693    0.234   24.859
OBS:  56180.281  r NULL   3.342e+01   1.460e+00  22.89   23.690    0.048   23.700
OBS:  56180.297  i NULL   4.278e+01   3.776e+00  11.33   23.422    0.100   23.484
OBS:  56180.328  z NULL   4.513e+01   4.567e+00   9.88   23.364    0.116   23.405
OBS:  56188.160  g NULL   1.374e+01   5.699e+00   2.41   24.655    0.581   25.153
OBS:  56188.176  r NULL   3.078e+01   5.613e+00   5.48   23.779    0.219   23.682
OBS:  56188.211  i NULL   4.223e+01   4.599e+00   9.18   23.436    0.125   23.375
OBS:  56188.238  z NULL   5.322e+01   3.545e+00  15.01   23.185    0.075   23.237
OBS:  56189.254  g NULL   6.149e+00   2.299e+00   2.67   25.528    0.509   25.245
OBS:  56189.270  r NULL   2.984e+01   3.331e+00   8.96   23.813    0.129   23.701
OBS:  56189.281  i NULL   4.538e+01   9.096e+00   4.99   23.358    0.243   23.383
OBS:  56189.312  z NULL   4.934e+01   3.109e+00  15.87   23.267    0.071   23.242
OBS:  56194.258  g NULL   1.831e+00   2.644e+00   0.69   26.843  101.157   25.642
OBS:  56194.270  r NULL   2.917e+01   1.601e+00  18.22   23.838    0.061   23.856
OBS:  56194.285  i NULL   4.196e+01   2.437e+00  17.22   23.443    0.065   23.446
OBS:  56194.305  z NULL   4.645e+01   2.542e+00  18.27   23.333    0.061   23.306
OBS:  56202.160  g NULL   7.694e+00   4.794e+00   1.60   25.285    1.059   26.291
OBS:  56202.176  r NULL   2.092e+01   2.361e+00   8.86   24.199    0.130   24.282
OBS:  56202.191  i NULL   3.405e+01   4.216e+00   8.08   23.670    0.144   23.664
OBS:  56202.215  z NULL   3.952e+01   2.812e+00  14.05   23.508    0.080   23.593
OBS:  56210.172  g NULL   3.758e+00   3.692e+00   1.02   26.063    4.383   27.065
OBS:  56210.188  r NULL   8.304e+00   3.221e+00   2.58   25.202    0.534   24.853
OBS:  56210.203  i NULL   2.745e+01   3.254e+00   8.44   23.903    0.137   24.016
OBS:  56210.234  z NULL   2.422e+01   3.873e+00   6.25   24.039    0.189   23.932
OBS:  56218.172  g NULL   1.345e+00   1.252e+00   1.07   27.178    2.894   27.734
OBS:  56218.191  r NULL   7.561e+00   9.717e-01   7.78   25.304    0.149   25.509
OBS:  56218.211  i NULL   1.493e+01   1.533e+00   9.74   24.565    0.119   24.372
OBS:  56219.156  z NULL   2.421e+01   1.988e+00  12.18   24.040    0.093   24.113
OBS:  56221.273  g NULL   4.683e+00   3.912e+00   1.20   25.824    1.957   27.810
OBS:  56221.281  r NULL   1.025e+01   5.586e+00   1.84   24.973    0.854   25.721
OBS:  56221.297  i NULL   2.244e+01   4.506e+00   4.98   24.122    0.243   24.526
OBS:  56221.324  z NULL   2.237e+01   1.440e+01   1.55   24.126    1.120   24.125
OBS:  56222.074  g NULL   4.862e+00   5.909e+00   0.82   25.783  102.217   27.825
OBS:  56222.090  r NULL   2.232e+00   2.628e+00   0.85   26.628  101.372   25.771
OBS:  56222.113  i NULL   1.595e+01   3.339e+00   4.78   24.493    0.255   24.570
OBS:  56222.133  z NULL   1.705e+01   5.067e+00   3.36   24.421    0.384   24.132
OBS:  56228.059  g NULL  -3.289e+00   7.693e+00  -0.43  128.000    0.000   28.201
OBS:  56228.066  r NULL   4.297e+00   2.393e+00   1.80   25.917    0.883   26.132
OBS:  56228.086  i NULL   5.448e+00   5.111e+00   1.07   25.659    3.031   24.910
OBS:  56228.109  z NULL   1.630e+01   4.146e+00   3.93   24.469    0.319   24.252
OBS:  56229.047  g NULL  -7.255e+00   2.392e+01  -0.30  128.000    0.000   28.289
OBS:  56229.059  r NULL   4.443e-01   3.851e+00   0.12   28.381   99.619   26.189
OBS:  56229.074  i NULL   1.074e+01   5.429e+00   1.98   24.922    0.764   24.965
OBS:  56229.102  z NULL   2.085e+01   4.865e+00   4.28   24.202    0.288   24.280
OBS:  56230.059  g NULL   9.374e+00   6.573e+00   1.43   25.070    1.311   28.375
OBS:  56230.102  r NULL  -1.944e+00   2.917e+00  -0.67  128.000    0.000   26.247
OBS:  56230.113  i NULL   1.214e+01   5.181e+00   2.34   24.789    0.604   25.022
OBS:  56230.145  z NULL   1.958e+01   2.692e+00   7.28   24.270    0.160   24.311
OBS:  56231.043  g NULL  -5.815e+00   6.046e+00  -0.96  128.000    0.000   28.448
OBS:  56231.059  r NULL   3.166e+00   2.552e+00   1.24   26.249    1.781   26.296
OBS:  56231.070  i NULL   4.570e+00   4.242e+00   1.08   25.850    2.871   25.067
OBS:  56231.102  z NULL   1.620e+01   3.293e+00   4.92   24.476    0.247   24.341
OBS:  56235.039  g NULL  -2.562e+00   5.184e+00  -0.49  128.000    0.000   28.687
OBS:  56235.047  r NULL   3.162e-01   3.706e+00   0.09   28.750   99.250   26.484
OBS:  56235.062  i NULL   1.404e+00   4.193e+00   0.33   27.131  100.869   25.235
OBS:  56235.090  z NULL   1.926e+01   8.240e+00   2.34   24.288    0.606   24.481
OBS:  56236.047  g NULL  -3.481e+00   4.873e+00  -0.71  128.000    0.000   28.726
OBS:  56236.062  r NULL   2.786e+00   2.661e+00   1.05   26.388    3.372   26.525
OBS:  56236.074  i NULL   8.135e+00   5.225e+00   1.56   25.224    1.116   25.269
OBS:  56236.105  z NULL   2.355e+01   5.338e+00   4.41   24.070    0.278   24.520
OBS:  56237.039  g NULL   5.098e+00   3.165e+00   1.61   25.731    1.052   28.761
OBS:  56237.051  r NULL   1.698e+00   2.213e+00   0.77   26.925  101.075   26.563
OBS:  56237.094  i NULL   7.763e+00   2.497e+00   3.11   25.275    0.421   25.302
OBS:  56237.125  z NULL   1.634e+01   3.709e+00   4.41   24.467    0.279   24.559
OBS:  56238.074  g NULL  -1.092e+00   2.522e+00  -0.43  128.000    0.000   28.797
OBS:  56238.094  r NULL   1.419e+00   1.589e+00   0.89   27.120  100.880   26.600
OBS:  56238.109  i NULL   1.035e+01   2.731e+00   3.79   24.963    0.332   25.334
OBS:  56238.129  z NULL   1.065e+01   3.114e+00   3.42   24.932    0.376   24.597
OBS:  56243.098  g NULL   9.167e-01   2.168e+00   0.42   27.594  100.406   28.949
OBS:  56243.109  r NULL   1.192e+00   1.655e+00   0.72   27.309  100.691   26.725
OBS:  56243.125  i NULL   1.018e+01   2.573e+00   3.96   24.981    0.316   25.492
