SURVEY: DES   
SNID:   369767   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.86872 +- 0.01600  (Helio, z_best) 
REDSHIFT_FINAL:   0.86872 +- 0.01600  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18507 
HOST_GALAXY_PHOTO-Z:   0.8687  +- 0.0160  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.8898  
SIM_HOSTLIB_TRUEZ:  0.8900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18507  
SIM_DLMU:      43.787170  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0273   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.73  24.43  24.45  24.43  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56188.570312  days 
SIM_SALT2x0:   3.056e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -6.03   days 
SIM_TRESTMAX:    67.99   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56188.273  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   2.280e+01   4.818e+00   4.73   24.105    0.257   24.387
OBS:  56177.188  r NULL   1.972e+01   5.350e+00   3.69   24.263    0.344   24.263
OBS:  56177.203  i NULL   1.158e+01   5.442e+00   2.13   24.841    0.690   24.369
OBS:  56177.234  z NULL   1.693e+01   4.703e+00   3.60   24.429    0.353   24.409
OBS:  56179.172  g NULL   1.961e+01   2.290e+00   8.56   24.269    0.134   24.440
OBS:  56179.312  r NULL   1.359e+01   3.046e+00   4.46   24.667    0.277   24.304
OBS:  56179.328  i NULL   1.333e+01   4.210e+00   3.17   24.688    0.413   24.401
OBS:  56179.359  z NULL   1.154e+01   3.525e+00   3.27   24.845    0.397   24.435
OBS:  56187.156  g NULL   1.437e+01   1.749e+00   8.22   24.606    0.141   24.668
OBS:  56187.172  r NULL   1.874e+01   1.310e+00  14.31   24.318    0.078   24.405
OBS:  56187.188  i NULL   1.482e+01   1.923e+00   7.70   24.573    0.151   24.436
OBS:  56187.211  z NULL   1.545e+01   2.197e+00   7.03   24.528    0.167   24.423
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.148  g NULL   9.514e+00   9.773e+00   0.97   25.054  102.946   24.757
OBS:  56189.160  r NULL   2.192e+01   3.904e+00   5.61   24.148    0.212   24.448
OBS:  56189.176  i NULL   1.059e+01   8.077e+00   1.31   24.938    1.564   24.456
OBS:  56189.203  z NULL   2.311e+01   4.713e+00   4.90   24.091    0.247   24.429
OBS:  56194.121  g NULL   1.148e+01   3.789e+00   3.03   24.850    0.435   24.940
OBS:  56194.129  r NULL   1.395e+01   2.370e+00   5.89   24.638    0.202   24.541
OBS:  56200.156  i NULL   2.396e+01   8.079e+00   2.97   24.051    0.446   24.585
OBS:  56200.180  z NULL   9.837e+00   5.639e+00   1.74   25.018    0.926   24.514
OBS:  56207.156  g NULL   5.357e+00   2.292e+00   2.34   25.678    0.607   25.249
OBS:  56207.172  r NULL   1.211e+01   1.625e+00   7.45   24.792    0.156   24.774
