SURVEY: DES   
SNID:   370797   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.52329 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.52329 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.52329 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14804 
HOST_GALAXY_PHOTO-Z:   0.5094  +- 0.0351  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.5136  
SIM_HOSTLIB_TRUEZ:  0.5100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14804  
SIM_DLMU:      42.331261  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0304   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.115  mag  (host extinction at 5510 A)
SIM_RV:         2.540   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.01  22.67  22.81  22.81  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56186.121094  days 
SIM_DELTA:      0.561  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.439  
SIM_MAGDIM:    0.554  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -5.91   days 
SIM_TRESTMAX:    68.08   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56187.020  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   1.044e+01   4.803e+00   2.17   24.953    0.670   24.413
OBS:  56177.188  r NULL   6.326e+01   5.472e+00  11.56   22.997    0.098   23.061
OBS:  56177.203  i NULL   5.136e+01   5.526e+00   9.29   23.223    0.124   23.217
OBS:  56177.234  z NULL   5.318e+01   4.798e+00  11.08   23.186    0.103   23.189
OBS:  56179.172  g NULL   2.254e+01   2.309e+00   9.76   24.118    0.117   24.079
OBS:  56179.312  r NULL   6.517e+01   3.285e+00  19.84   22.965    0.057   22.883
OBS:  56179.328  i NULL   5.899e+01   4.352e+00  13.56   23.073    0.083   23.042
OBS:  56179.359  z NULL   6.141e+01   3.704e+00  16.58   23.029    0.067   23.047
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56187.156  g NULL   2.369e+01   1.802e+00  13.15   24.064    0.086   24.064
OBS:  56187.172  r NULL   8.239e+01   2.014e+00  40.91   22.710    0.027   22.679
OBS:  56187.188  i NULL   7.691e+01   2.399e+00  32.06   22.785    0.034   22.796
OBS:  56187.211  z NULL   7.492e+01   2.592e+00  28.90   22.813    0.038   22.795
OBS:  56189.148  g NULL   2.268e+01   9.789e+00   2.32   24.111    0.613   24.221
OBS:  56189.160  r NULL   7.831e+01   4.173e+00  18.77   22.765    0.060   22.722
OBS:  56189.176  i NULL   7.468e+01   8.209e+00   9.10   22.817    0.127   22.797
OBS:  56189.203  z NULL   7.374e+01   4.894e+00  15.07   22.831    0.075   22.803
OBS:  56194.121  g NULL   1.177e+01   3.789e+00   3.11   24.823    0.422   24.962
OBS:  56194.129  r NULL   6.210e+01   2.644e+00  23.48   23.017    0.048   22.981
OBS:  56200.156  i NULL   6.064e+01   8.148e+00   7.44   23.043    0.156   23.205
OBS:  56200.180  z NULL   5.200e+01   5.720e+00   9.09   23.210    0.126   23.261
OBS:  56207.156  g NULL   1.827e+00   2.283e+00   0.80   26.845  101.155   26.499
OBS:  56207.172  r NULL   2.464e+01   1.677e+00  14.69   24.021    0.076   24.134
OBS:  56209.191  i NULL   3.370e+01   2.240e+00  15.04   23.681    0.075   23.665
OBS:  56209.215  z NULL   3.815e+01   2.317e+00  16.47   23.546    0.068   23.487
OBS:  56215.164  g NULL   1.686e+00   1.598e+00   1.06   26.933    3.202   27.317
