SURVEY: DES   
SNID:   374683   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.63962 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.63962 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.63962 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15466 
HOST_GALAXY_PHOTO-Z:   0.6329  +- 0.0144  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.6403  
SIM_HOSTLIB_TRUEZ:  0.6400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15466  
SIM_DLMU:      42.910648  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0173   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.03  23.21  23.22  23.20  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56286.484375  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   6.583e-06   
SIM_SALT2x1:   -1.1903   
SIM_SALT2c:    -0.0274   
SIM_SALT2mB:   23.5889   
SIM_MAGDIM:    1.161  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.88   days 
SIM_TRESTMAX:    39.33   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56285.508  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 107 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56221.062  g NULL  -2.306e+00   4.488e+00  -0.51   99.000    5.000   98.920
OBS:  56221.074  r NULL  -2.088e+00   3.581e+00  -0.58   99.000    5.000   99.119
OBS:  56221.195  i NULL  -1.548e+00   1.345e+01  -0.12   99.000    5.000   99.161
OBS:  56221.227  z NULL  -1.306e+01   4.021e+00  -3.25   99.000    5.000   99.128
OBS:  56222.047  g NULL  -2.405e+00   6.419e+00  -0.37   99.000    5.000   98.920
OBS:  56222.062  r NULL  -4.387e-02   3.125e+00  -0.01   99.000    5.000   99.119
OBS:  56222.191  i NULL   6.190e+00   9.791e+00   0.63   99.000    5.000   99.161
OBS:  56222.211  z NULL   1.496e+00   4.835e+00   0.31   99.000    5.000   99.128
OBS:  56228.031  g NULL  -8.942e+00   2.612e+01  -0.34   99.000    5.000   98.920
OBS:  56228.047  r NULL  -1.061e+01   1.164e+01  -0.91   99.000    5.000   99.119
OBS:  56228.156  i NULL   3.589e+00   5.179e+00   0.69   99.000    5.000   99.161
OBS:  56228.188  z NULL   2.853e+00   2.843e+00   1.00   99.000    5.000   99.128
OBS:  56229.031  g NULL  -3.248e+01   3.075e+01  -1.06   99.000    5.000   98.920
OBS:  56229.156  r NULL   3.632e+00   3.595e+00   1.01   99.000    5.000   99.119
OBS:  56229.172  i NULL   9.452e+00   7.055e+00   1.34   99.000    5.000   99.161
OBS:  56229.199  z NULL   1.367e+00   2.925e+00   0.47   99.000    5.000   99.128
OBS:  56230.035  g NULL  -8.748e+00   9.316e+00  -0.94   99.000    5.000   98.920
OBS:  56230.043  r NULL  -4.666e+00   3.864e+00  -1.21   99.000    5.000   99.119
OBS:  56230.191  i NULL   2.699e+00   6.318e+00   0.43   99.000    5.000   99.161
OBS:  56230.215  z NULL   1.946e-01   2.921e+00   0.07   99.000    5.000   99.128
OBS:  56231.035  g NULL   4.037e+00   7.695e+00   0.52   99.000    5.000   98.920
OBS:  56231.156  r NULL  -5.561e+00   2.656e+00  -2.09   99.000    5.000   99.119
OBS:  56231.172  i NULL   5.520e+00   4.792e+00   1.15   99.000    5.000   99.161
OBS:  56231.191  z NULL   2.579e+00   3.017e+00   0.85   99.000    5.000   99.128
OBS:  56235.145  g NULL  -3.553e+00   3.787e+00  -0.94   99.000    5.000   98.920
OBS:  56235.160  r NULL   9.531e-01   1.756e+00   0.54   99.000    5.000   99.119
OBS:  56235.172  i NULL  -5.283e+00   3.201e+00  -1.65   99.000    5.000   99.161
OBS:  56235.195  z NULL  -6.740e+00   2.939e+00  -2.29   99.000    5.000   99.128
OBS:  56236.160  g NULL   2.733e-01   2.000e+00   0.14   99.000    5.000   98.920
OBS:  56236.172  r NULL  -1.570e+00   1.875e+00  -0.84   99.000    5.000   99.119
OBS:  56236.188  i NULL  -2.173e+00   2.783e+00  -0.78   99.000    5.000   99.161
OBS:  56236.207  z NULL   2.100e+00   3.190e+00   0.66   99.000    5.000   99.128
OBS:  56237.176  g NULL   1.609e-01   3.438e+00   0.05   99.000    5.000   98.920
OBS:  56237.188  r NULL   4.133e+00   2.253e+00   1.83   99.000    5.000   99.119
OBS:  56237.207  i NULL   3.234e+00   2.862e+00   1.13   99.000    5.000   99.161
OBS:  56237.238  z NULL  -6.868e-01   3.867e+00  -0.18   99.000    5.000   99.128
OBS:  56238.188  g NULL   8.020e-01   2.970e+00   0.27   99.000    5.000   98.920
OBS:  56238.199  r NULL  -1.564e+00   2.023e+00  -0.77   99.000    5.000   99.119
OBS:  56238.219  i NULL   2.487e+00   3.235e+00   0.77   99.000    5.000   99.161
OBS:  56238.250  z NULL   4.590e+00   4.862e+00   0.94   99.000    5.000   99.128
OBS:  56243.203  g NULL   1.275e+00   1.689e+00   0.75   99.000    5.000   98.920
OBS:  56243.211  r NULL   7.617e-01   1.223e+00   0.62   99.000    5.000   99.119
OBS:  56243.223  i NULL   1.116e+00   1.848e+00   0.60   99.000    5.000   99.161
OBS:  56243.250  z NULL   4.876e-01   2.416e+00   0.20   99.000    5.000   99.128
OBS:  56244.180  g NULL  -2.243e-01   1.782e+00  -0.13   99.000    5.000   98.920
OBS:  56244.188  r NULL  -2.459e+00   1.374e+00  -1.79   99.000    5.000   99.119
OBS:  56244.203  i NULL  -2.245e-01   1.987e+00  -0.11   99.000    5.000   99.161
OBS:  56244.223  z NULL   1.257e+00   2.230e+00   0.56   99.000    5.000   99.128
OBS:  56245.191  g NULL  -1.034e+00   4.785e+00  -0.22   99.000    5.000   98.920
OBS:  56245.199  r NULL  -3.388e-01   1.174e+00  -0.29   99.000    5.000   99.119
OBS:  56245.219  i NULL  -9.968e-01   2.076e+00  -0.48   99.000    5.000   99.161
OBS:  56245.246  z NULL   6.205e+00   5.918e+00   1.05   99.000    5.000   99.128
OBS:  56246.234  g NULL  -3.139e+00   2.000e+00  -1.57   99.000    5.000   98.920
OBS:  56246.246  r NULL  -1.341e+00   3.167e+00  -0.42   99.000    5.000   99.119
OBS:  56246.262  i NULL   2.641e+00   5.640e+00   0.47   99.000    5.000   99.161
OBS:  56246.285  z NULL  -1.592e+01   1.277e+01  -1.25   99.000    5.000   99.128
OBS:  56248.207  g NULL   1.049e+00   1.752e+00   0.60   99.000    5.000   98.920
OBS:  56248.215  r NULL  -5.193e-01   1.325e+00  -0.39   99.000    5.000   99.119
OBS:  56248.230  i NULL   3.075e+00   2.207e+00   1.39   99.000    5.000   99.161
OBS:  56248.250  z NULL   1.844e+00   3.029e+00   0.61   99.000    5.000   99.128
OBS:  56258.242  g NULL  -3.883e+00   8.081e+00  -0.48   99.000    5.000   98.920
OBS:  56258.258  r NULL   5.571e-01   4.418e+00   0.13   28.135   99.865   27.979
OBS:  56259.160  i NULL  -8.083e+00   4.543e+00  -1.78  128.000    0.000   27.596
OBS:  56259.180  z NULL   1.086e+00   3.059e+00   0.35   27.411  100.589   27.315
OBS:  56261.215  g NULL   1.837e+00   3.958e+00   0.46   99.000    5.000   98.920
OBS:  56261.230  r NULL   2.361e+00   1.854e+00   1.27   26.567    1.670   26.872
OBS:  56267.156  i NULL   1.267e+01   2.226e+00   5.69   24.743    0.209   25.107
OBS:  56267.180  z NULL   1.581e+01   3.064e+00   5.16   24.503    0.233   25.030
OBS:  56274.160  g NULL   1.132e+01   2.062e+00   5.49   24.866    0.218   24.921
OBS:  56274.176  r NULL   3.157e+01   1.576e+00  20.03   23.752    0.056   23.739
OBS:  56275.223  i NULL   3.737e+01   3.095e+00  12.07   23.569    0.094   23.649
OBS:  56276.191  z NULL   3.533e+01   3.468e+00  10.19   23.630    0.112   23.625
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56282.160  g NULL   8.107e+00   3.417e+00   2.37   25.228    0.595   24.932
OBS:  56282.184  r NULL   4.741e+01   2.370e+00  20.01   23.310    0.056   23.236
OBS:  56287.160  i NULL   4.589e+01   5.066e+00   9.06   23.346    0.127   23.228
OBS:  56287.191  z NULL   5.395e+01   4.025e+00  13.40   23.170    0.084   23.193
OBS:  56289.035  g NULL   1.625e+01   1.190e+01   1.37   24.473    1.430   25.224
OBS:  56289.043  r NULL   4.880e+01   4.290e+00  11.38   23.279    0.100   23.266
OBS:  56289.152  i NULL   5.033e+01   4.435e+00  11.35   23.245    0.100   23.246
OBS:  56289.176  z NULL   4.759e+01   4.554e+00  10.45   23.306    0.110   23.185
OBS:  56297.039  g NULL   3.402e+00   1.590e+00   2.14   26.171    0.684   25.928
OBS:  56297.047  r NULL   3.251e+01   1.382e+00  23.52   23.720    0.048   23.667
OBS:  56297.062  i NULL   3.903e+01   2.015e+00  19.37   23.521    0.058   23.453
OBS:  56297.090  z NULL   4.577e+01   2.291e+00  19.98   23.349    0.056   23.332
OBS:  56305.094  g NULL   4.206e+00   1.652e+00   2.55   25.940    0.541   26.313
OBS:  56305.102  r NULL   1.915e+01   1.360e+00  14.08   24.294    0.080   24.262
OBS:  56305.113  i NULL   2.791e+01   2.261e+00  12.34   23.886    0.092   23.856
OBS:  56306.043  z NULL   3.127e+01   2.776e+00  11.26   23.762    0.101   23.671
OBS:  56313.047  g NULL   1.408e+01   5.967e+00   2.36   24.629    0.598   27.230
OBS:  56313.055  r NULL   1.221e+01   2.537e+00   4.81   24.783    0.253   25.016
OBS:  56313.090  i NULL   1.220e+01   3.091e+00   3.95   24.784    0.318   24.370
OBS:  56317.066  z NULL   1.966e+01   4.266e+00   4.61   24.266    0.266   23.961
OBS:  56321.035  g NULL   4.737e+00   2.915e+00   1.63   25.811    1.037   27.839
OBS:  56321.043  r NULL   5.075e+00   1.371e+00   3.70   25.736    0.342   25.640
OBS:  56321.066  i NULL   1.361e+01   3.229e+00   4.22   24.665    0.294   24.861
OBS:  56326.039  z NULL   2.066e+01   2.637e+00   7.84   24.212    0.148   24.272
OBS:  56333.043  g NULL  -1.693e+00   1.816e+00  -0.93  128.000    0.000   29.203
OBS:  56333.051  r NULL  -5.801e-01   1.385e+00  -0.42  128.000    0.000   26.249
OBS:  56334.043  i NULL   4.762e+00   2.180e+00   2.18   25.806    0.665   25.560
OBS:  56335.043  z NULL   2.499e+01   3.413e+00   7.32   24.006    0.158   24.606
OBS:  56344.992  g NULL   3.415e+00   4.327e+00   0.79   99.000    5.000   98.920
OBS:  56345.000  r NULL   3.355e-01   1.862e+00   0.18   28.686   99.314   26.836
OBS:  56345.016  i NULL   4.408e+00   3.452e+00   1.28   25.889    1.659   25.796
OBS:  56345.992  z NULL   7.589e+00   3.702e+00   2.05   25.299    0.727   24.962
OBS:  56349.996  g NULL   1.292e+00   3.963e+00   0.33   99.000    5.000   98.920
OBS:  56350.004  r NULL   1.688e+00   2.058e+00   0.82   26.932  101.068   26.974
OBS:  56350.996  i NULL   1.928e+00   3.021e+00   0.64   26.787  101.213   25.978
END: 
