SURVEY: DES   
SNID:   377176   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.29046 +- 0.03930  (Helio, z_best) 
REDSHIFT_FINAL:   0.29046 +- 0.03930  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17184 
HOST_GALAXY_PHOTO-Z:   0.2905  +- 0.0393  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.2450  
SIM_HOSTLIB_TRUEZ:  0.2400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17184  
SIM_DLMU:      40.451920  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0553   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.216  mag  (host extinction at 5510 A)
SIM_RV:         1.915   (CCM89 extinction parameter) 
SIM_PEAKMAG:   21.63  21.35  21.30  21.78  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56264.593750  days 
SIM_DELTA:      0.262  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.738  
SIM_MAGDIM:    0.558  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.90   days 
SIM_TRESTMAX:    69.42   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56264.844  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 104 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56216.164  g NULL  -1.324e+00   2.686e+00  -0.49   99.000    5.000   99.000
OBS:  56216.176  r NULL  -4.487e-01   2.036e+00  -0.22   99.000    5.000   99.000
OBS:  56216.191  z NULL  -5.317e+00   4.046e+00  -1.31   99.000    5.000   99.000
OBS:  56219.211  i NULL  -1.514e+00   2.987e+00  -0.51   99.000    5.000   99.000
OBS:  56221.148  g NULL   3.031e+00   1.591e+01   0.19   99.000    5.000   99.000
OBS:  56221.160  r NULL   6.733e+00   6.049e+00   1.11   99.000    5.000   99.000
OBS:  56221.176  z NULL  -1.543e+01   1.540e+01  -1.00   99.000    5.000   99.000
OBS:  56222.105  i NULL   7.228e+00   9.191e+00   0.79   99.000    5.000   99.000
OBS:  56222.312  g NULL  -3.460e+00   4.101e+00  -0.84   99.000    5.000   99.000
OBS:  56222.324  r NULL   2.801e+00   1.516e+01   0.18   99.000    5.000   99.000
OBS:  56222.340  z NULL  -4.756e-01   4.086e+01  -0.01   99.000    5.000   99.000
OBS:  56228.297  g NULL  -1.228e+01   1.503e+01  -0.82   99.000    5.000   99.000
OBS:  56228.305  r NULL   3.764e+00   5.493e+00   0.69   99.000    5.000   99.000
OBS:  56228.312  i NULL  -1.597e+01   9.416e+00  -1.70   99.000    5.000   99.000
OBS:  56228.320  z NULL   1.458e+00   5.800e+00   0.25   99.000    5.000   99.000
OBS:  56229.320  g NULL   1.132e+00   1.405e+01   0.08   99.000    5.000   99.000
OBS:  56229.332  r NULL  -1.255e+01   7.255e+00  -1.73   99.000    5.000   99.000
OBS:  56229.348  i NULL  -1.344e+00   1.295e+01  -0.10   99.000    5.000   99.000
OBS:  56230.070  z NULL   9.555e-01   7.133e+00   0.13   99.000    5.000   99.000
OBS:  56230.316  g NULL   9.702e+00   1.368e+01   0.71   99.000    5.000   99.000
OBS:  56230.328  r NULL  -8.319e+00   6.674e+00  -1.25   99.000    5.000   99.000
OBS:  56230.344  i NULL   1.620e+01   1.239e+01   1.31   99.000    5.000   99.000
OBS:  56231.301  g NULL   4.765e+00   1.166e+01   0.41   99.000    5.000   99.000
OBS:  56231.316  r NULL  -3.396e+00   6.018e+00  -0.56   99.000    5.000   99.000
OBS:  56231.328  i NULL   7.288e+00   1.047e+01   0.70   99.000    5.000   99.000
OBS:  56231.344  z NULL   1.563e-01   5.790e+00   0.03   99.000    5.000   99.000
OBS:  56235.297  g NULL  -2.561e+01   9.648e+00  -2.65   99.000    5.000   99.000
OBS:  56235.312  r NULL   2.053e+00   4.660e+00   0.44   99.000    5.000   99.000
OBS:  56235.324  i NULL  -3.719e+00   6.641e+00  -0.56   99.000    5.000   99.000
OBS:  56235.340  z NULL   3.213e+00   6.749e+00   0.48   99.000    5.000   99.000
OBS:  56236.312  g NULL   1.275e+01   7.813e+00   1.63   99.000    5.000   99.000
OBS:  56236.324  r NULL   4.227e-01   3.728e+00   0.11   99.000    5.000   99.000
OBS:  56236.340  i NULL   2.510e+00   6.080e+00   0.41   99.000    5.000   99.000
OBS:  56237.074  z NULL   6.478e+00   7.012e+00   0.92   99.000    5.000   99.000
OBS:  56237.340  g NULL  -8.203e+00   1.182e+01  -0.69   99.000    5.000   99.000
OBS:  56238.051  r NULL   3.669e+00   4.311e+00   0.85   99.000    5.000   99.000
OBS:  56238.059  i NULL   8.845e+00   5.468e+00   1.62   99.000    5.000   99.000
OBS:  56238.340  g NULL   7.723e+00   1.062e+01   0.73   99.000    5.000   99.000
OBS:  56243.047  z NULL  -7.185e+00   8.328e+00  -0.86  128.000    0.000   25.993
OBS:  56243.320  g NULL  -5.819e-01   4.206e+00  -0.14  128.000    0.000   26.289
OBS:  56243.336  r NULL   8.105e-01   3.301e+00   0.25   27.728  100.272   25.853
OBS:  56244.039  i NULL   9.710e+00   7.037e+00   1.38   25.032    1.400   25.257
OBS:  56244.309  g NULL   1.188e+01   4.140e+00   2.87   24.813    0.465   25.765
OBS:  56244.320  r NULL   2.446e+00   3.230e+00   0.76   26.529  101.471   25.335
OBS:  56245.047  z NULL   1.347e+01   5.018e+00   2.68   24.676    0.506   24.941
OBS:  56245.320  g NULL   6.970e+00   4.255e+00   1.64   25.392    1.024   25.323
OBS:  56246.055  r NULL   1.591e+01   2.415e+00   6.59   24.496    0.178   24.616
OBS:  56246.070  i NULL   1.707e+01   3.906e+00   4.37   24.419    0.282   24.392
OBS:  56247.223  g NULL   1.394e+01   3.037e+00   4.59   24.639    0.267   24.668
OBS:  56247.230  z NULL   1.778e+01   4.402e+00   4.04   24.375    0.309   24.154
OBS:  56248.305  r NULL   3.085e+01   2.471e+00  12.49   23.777    0.090   23.866
OBS:  56248.316  i NULL   4.010e+01   4.309e+00   9.31   23.492    0.123   23.671
OBS:  56258.152  g NULL   1.752e+02   1.319e+01  13.29   21.891    0.085   21.851
OBS:  56258.168  z NULL   1.933e+02   7.006e+00  27.58   21.785    0.040   21.771
OBS:  56258.273  r NULL   2.316e+02   8.952e+00  25.87   21.588    0.043   21.607
OBS:  56258.281  i NULL   2.371e+02   1.341e+01  17.68   21.562    0.063   21.524
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56261.266  g NULL   2.120e+02   1.101e+01  19.25   21.684    0.058   21.651
OBS:  56261.273  r NULL   2.531e+02   6.391e+00  39.60   21.492    0.028   21.444
OBS:  56261.281  i NULL   2.856e+02   8.871e+00  32.20   21.360    0.034   21.394
OBS:  56261.289  z NULL   2.015e+02   6.191e+00  32.55   21.739    0.034   21.756
OBS:  56275.152  g NULL   1.141e+02   4.208e+00  27.11   22.357    0.040   22.405
OBS:  56275.172  r NULL   2.223e+02   4.815e+00  46.17   21.633    0.023   21.669
OBS:  56275.191  i NULL   2.233e+02   6.193e+00  36.06   21.628    0.030   21.663
OBS:  56275.203  z NULL   1.303e+02   5.869e+00  22.20   22.213    0.050   22.274
OBS:  56283.203  g NULL   5.323e+01   6.434e+00   8.27   23.185    0.139   23.357
OBS:  56283.211  r NULL   1.417e+02   4.323e+00  32.79   22.121    0.033   22.174
OBS:  56283.215  i NULL   1.577e+02   6.570e+00  24.00   22.006    0.046   21.986
OBS:  56283.223  z NULL   1.162e+02   5.505e+00  21.10   22.337    0.052   22.455
OBS:  56288.199  g NULL   1.504e+01   1.182e+01   1.27   24.557    1.675   23.927
OBS:  56288.215  r NULL   9.536e+01   6.468e+00  14.74   22.552    0.077   22.489
OBS:  56289.109  i NULL   1.394e+02   7.584e+00  18.38   22.139    0.061   22.099
OBS:  56289.125  z NULL   1.157e+02   5.853e+00  19.77   22.342    0.056   22.381
OBS:  56292.098  g NULL   1.804e+01   1.169e+01   1.54   24.359    1.134   24.270
OBS:  56292.102  r NULL   8.380e+01   5.157e+00  16.25   22.692    0.069   22.737
OBS:  56292.191  i NULL   1.327e+02   6.174e+00  21.49   22.193    0.052   22.192
OBS:  56292.199  z NULL   1.081e+02   5.557e+00  19.46   22.415    0.058   22.376
OBS:  56304.051  g NULL   1.102e+01   2.533e+00   4.35   24.895    0.284   24.900
OBS:  56304.055  r NULL   4.590e+01   1.924e+00  23.86   23.345    0.046   23.419
OBS:  56304.070  i NULL   7.279e+01   2.907e+00  25.04   22.845    0.044   22.857
OBS:  56304.086  z NULL   7.108e+01   4.167e+00  17.06   22.871    0.066   22.858
OBS:  56312.055  g NULL   1.319e+01   7.586e+00   1.74   24.699    0.929   24.895
OBS:  56312.066  r NULL   3.696e+01   3.068e+00  12.05   23.581    0.094   23.710
OBS:  56312.090  i NULL   4.247e+01   5.104e+00   8.32   23.430    0.140   23.230
OBS:  56312.113  z NULL   4.741e+01   5.508e+00   8.61   23.310    0.134   23.258
OBS:  56320.043  g NULL   2.038e+01   6.195e+00   3.29   24.227    0.393   25.051
OBS:  56320.051  r NULL   2.961e+01   2.576e+00  11.49   23.822    0.099   23.882
OBS:  56320.059  i NULL   4.099e+01   3.758e+00  10.91   23.468    0.104   23.447
OBS:  56320.070  z NULL   4.618e+01   4.486e+00  10.29   23.339    0.111   23.438
OBS:  56328.047  g NULL   8.042e+00   3.376e+00   2.38   25.237    0.591   25.393
OBS:  56328.055  r NULL   1.675e+01   2.445e+00   6.85   24.440    0.172   24.266
OBS:  56328.070  i NULL   2.904e+01   4.100e+00   7.08   23.843    0.166   23.713
OBS:  56328.086  z NULL   2.202e+01   6.799e+00   3.24   24.143    0.402   23.715
OBS:  56336.062  g NULL   9.111e+00   3.721e+00   2.45   25.101    0.569   25.577
OBS:  56336.082  r NULL   1.986e+01   3.044e+00   6.53   24.255    0.180   24.457
OBS:  56337.062  i NULL   2.688e+01   2.989e+00   8.99   23.927    0.128   23.929
OBS:  56337.078  z NULL   3.009e+01   3.794e+00   7.93   23.804    0.146   23.934
OBS:  56345.039  g NULL   1.484e+01   7.151e+00   2.07   24.572    0.713   25.791
OBS:  56345.055  r NULL   1.034e+01   3.784e+00   2.73   24.964    0.495   24.667
OBS:  56346.055  i NULL   2.115e+01   6.007e+00   3.52   24.187    0.363   24.144
OBS:  56348.027  z NULL   1.958e+01   5.037e+00   3.89   24.271    0.323   24.190
OBS:  56350.023  g NULL   7.142e+00   6.837e+00   1.04   25.365    3.421   25.919
OBS:  56350.027  r NULL   1.091e+01   3.949e+00   2.76   24.905    0.488   24.777
OBS:  56350.035  i NULL   2.755e+01   6.708e+00   4.11   23.900    0.302   24.241
OBS:  56351.023  z NULL   2.583e+01   6.118e+00   4.22   23.970    0.293   24.250
END: 
