SURVEY: DES   
SNID:   377662   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.65347 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.65347 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.65347 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18007 
HOST_GALAXY_PHOTO-Z:   0.6576  +- 0.0196  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.6493  
SIM_HOSTLIB_TRUEZ:  0.6500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18007  
SIM_DLMU:      42.947651  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0209   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.92  23.01  23.01  22.99  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56341.023438  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   7.951e-06   
SIM_SALT2x1:   -0.3476   
SIM_SALT2c:    -0.0740   
SIM_SALT2mB:   23.3840   
SIM_STRETCH:    0.652  
SIM_MAGDIM:    0.919  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.90   days 
SIM_TRESTMAX:     6.05   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56341.953  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 37 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56275.223  i NULL  -1.462e+00   3.008e+00  -0.49   99.000    5.000   99.130
OBS:  56276.191  z NULL  -1.009e+00   3.402e+00  -0.30   99.000    5.000   99.079
OBS:  56282.160  g NULL  -1.657e+00   3.403e+00  -0.49   99.000    5.000   99.262
OBS:  56282.184  r NULL   3.275e+00   2.179e+00   1.50   99.000    5.000   99.125
OBS:  56287.160  i NULL   3.015e+00   4.986e+00   0.60   99.000    5.000   99.130
OBS:  56287.191  z NULL   2.506e+00   3.894e+00   0.64   99.000    5.000   99.079
OBS:  56289.035  g NULL   9.165e+00   1.189e+01   0.77   99.000    5.000   99.262
OBS:  56289.043  r NULL   5.853e+00   4.184e+00   1.40   99.000    5.000   99.125
OBS:  56289.152  i NULL  -5.970e+00   4.328e+00  -1.38   99.000    5.000   99.130
OBS:  56289.176  z NULL  -4.174e+00   4.464e+00  -0.93   99.000    5.000   99.079
OBS:  56297.039  g NULL  -2.444e+00   1.580e+00  -1.55   99.000    5.000   99.262
OBS:  56297.047  r NULL  -1.992e+00   1.219e+00  -1.63   99.000    5.000   99.125
OBS:  56297.062  i NULL  -5.212e-01   1.862e+00  -0.28   99.000    5.000   99.130
OBS:  56297.090  z NULL  -1.991e+00   2.119e+00  -0.94   99.000    5.000   99.079
OBS:  56305.094  g NULL   1.545e+00   1.644e+00   0.94   99.000    5.000   99.262
OBS:  56305.102  r NULL  -1.086e+00   1.301e+00  -0.83   99.000    5.000   99.125
OBS:  56305.113  i NULL  -1.183e+00   2.190e+00  -0.54   99.000    5.000   99.130
OBS:  56306.043  z NULL   1.132e-01   2.710e+00   0.04   99.000    5.000   99.079
OBS:  56313.047  g NULL  -1.591e+00   5.960e+00  -0.27  128.000    0.000   29.280
OBS:  56313.055  r NULL  -1.761e+00   2.524e+00  -0.70  128.000    0.000   26.952
OBS:  56313.090  i NULL   3.529e-01   3.079e+00   0.11   28.631   99.369   26.855
OBS:  56317.066  z NULL   1.380e+01   4.257e+00   3.24   24.650    0.400   25.453
OBS:  56321.035  g NULL  -6.329e-01   2.916e+00  -0.22  128.000    0.000   26.454
OBS:  56321.043  r NULL   1.512e+01   1.402e+00  10.79   24.551    0.105   24.641
OBS:  56321.066  i NULL   1.924e+01   3.240e+00   5.94   24.289    0.200   24.617
OBS:  56326.039  z NULL   2.699e+01   2.658e+00  10.15   23.922    0.113   23.788
OBS:  56333.043  g NULL   1.239e+01   1.854e+00   6.68   24.768    0.176   24.731
OBS:  56333.051  r NULL   5.743e+01   1.775e+00  32.36   23.102    0.034   23.113
OBS:  56334.043  i NULL   5.327e+01   2.409e+00  22.11   23.184    0.051   23.133
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56335.043  z NULL   5.495e+01   3.536e+00  15.54   23.150    0.072   23.115
OBS:  56344.992  g NULL   1.874e+01   4.347e+00   4.31   24.318    0.286   25.182
OBS:  56345.000  r NULL   6.056e+01   2.196e+00  27.57   23.045    0.040   23.107
OBS:  56345.016  i NULL   5.627e+01   3.618e+00  15.55   23.124    0.073   23.050
OBS:  56345.992  z NULL   6.699e+01   3.908e+00  17.14   22.935    0.065   22.986
OBS:  56349.996  g NULL   9.594e-01   3.968e+00   0.24   27.545  100.455   25.585
OBS:  56350.004  r NULL   4.538e+01   2.241e+00  20.25   23.358    0.055   23.332
OBS:  56350.996  i NULL   5.090e+01   3.177e+00  16.02   23.233    0.070   23.204
END: 
