SURVEY: DES   
SNID:   380686   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.70395 +- 0.03180  (Helio, z_best) 
REDSHIFT_FINAL:   0.70395 +- 0.03180  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10154 
HOST_GALAXY_PHOTO-Z:   0.7040  +- 0.0318  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.7239  
SIM_HOSTLIB_TRUEZ:  0.7200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10154  
SIM_DLMU:      43.235973  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0256   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.50  23.54  23.21  23.26  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56363.640625  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.041e-06   
SIM_SALT2x1:    0.1972   
SIM_SALT2c:     0.0092   
SIM_SALT2mB:   23.8786   
SIM_STRETCH:    1.197  
SIM_MAGDIM:    1.126  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.06   days 
SIM_TRESTMAX:    -8.50   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56363.516  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 24 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56298.039  r NULL  -1.544e+00   2.411e+00  -0.64   99.000    5.000   98.966
OBS:  56298.047  i NULL   5.396e+00   3.551e+00   1.52   99.000    5.000   98.963
OBS:  56298.055  z NULL   4.133e+00   3.959e+00   1.04   99.000    5.000   98.968
OBS:  56304.043  g NULL  -4.245e+00   2.547e+00  -1.67   99.000    5.000   98.952
OBS:  56306.102  r NULL   1.068e+00   3.208e+00   0.33   99.000    5.000   98.966
OBS:  56306.113  i NULL   3.067e+00   4.304e+00   0.71   99.000    5.000   98.963
OBS:  56306.121  z NULL   2.808e+00   5.389e+00   0.52   99.000    5.000   98.968
OBS:  56312.047  g NULL  -5.692e+00   9.603e+00  -0.59   99.000    5.000   98.952
OBS:  56318.066  r NULL   1.274e+00   4.570e+00   0.28   99.000    5.000   98.966
OBS:  56318.078  i NULL   6.331e-01   7.970e+00   0.08   99.000    5.000   98.963
OBS:  56318.086  z NULL   2.530e+00   6.367e+00   0.40   99.000    5.000   98.968
OBS:  56320.035  g NULL   1.646e+00   1.145e+01   0.14   99.000    5.000   98.952
OBS:  56327.039  r NULL   2.638e+00   2.796e+00   0.94   99.000    5.000   98.966
OBS:  56327.047  i NULL   3.167e+00   4.171e+00   0.76   99.000    5.000   98.963
OBS:  56327.055  z NULL   5.485e+00   4.751e+00   1.15   99.000    5.000   98.968
OBS:  56328.039  g NULL  -4.755e+00   3.701e+00  -1.28   99.000    5.000   98.952
OBS:  56336.043  r NULL   3.121e+00   3.082e+00   1.01   26.264    4.739   26.502
OBS:  56336.055  i NULL   7.505e+00   5.010e+00   1.50   25.312    1.195   26.187
OBS:  56337.043  z NULL   1.358e+01   4.048e+00   3.35   24.668    0.384   25.833
OBS:  56338.043  g NULL   4.121e+00   3.555e+00   1.16   25.963    2.155   27.674
OBS:  56347.996  r NULL   2.215e+01   2.540e+00   8.72   24.136    0.133   24.053
OBS:  56348.004  i NULL   2.920e+01   4.910e+00   5.95   23.836    0.200   23.863
OBS:  56348.008  z NULL   2.570e+01   6.583e+00   3.90   23.975    0.321   23.924
OBS:  56348.996  g NULL   2.078e+00   5.517e+00   0.38   26.706  101.294   25.500
END: 
