SURVEY: DES   
SNID:   381917   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.83120 +- 0.01410  (Helio, z_best) 
REDSHIFT_FINAL:   0.83120 +- 0.01410  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11406 
HOST_GALAXY_PHOTO-Z:   0.8312  +- 0.0141  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.8059  
SIM_HOSTLIB_TRUEZ:  0.8100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11406  
SIM_DLMU:      43.522202  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0269   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.97  24.12  23.35  23.55  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56366.175781  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.427e-06   
SIM_SALT2x1:    1.1311   
SIM_SALT2c:    -0.0041   
SIM_SALT2mB:   24.0198   
SIM_STRETCH:    2.131  
SIM_MAGDIM:    0.981  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.28   days 
SIM_TRESTMAX:    -8.41   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56365.707  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 27 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56297.039  g NULL   1.791e+00   1.580e+00   1.13   99.000    5.000   98.913
OBS:  56297.047  r NULL   2.070e+00   1.219e+00   1.70   99.000    5.000   99.163
OBS:  56297.062  i NULL  -1.607e+00   1.862e+00  -0.86   99.000    5.000   99.092
OBS:  56297.090  z NULL  -3.235e+00   2.120e+00  -1.53   99.000    5.000   99.096
OBS:  56305.094  g NULL  -2.806e-01   1.644e+00  -0.17   99.000    5.000   98.913
OBS:  56305.102  r NULL  -1.097e+00   1.301e+00  -0.84   99.000    5.000   99.163
OBS:  56305.113  i NULL   1.846e-01   2.190e+00   0.08   99.000    5.000   99.092
OBS:  56306.043  z NULL   1.155e+00   2.710e+00   0.43   99.000    5.000   99.096
OBS:  56313.047  g NULL  -3.284e-01   5.960e+00  -0.06   99.000    5.000   98.913
OBS:  56313.055  r NULL   2.908e+00   2.524e+00   1.15   99.000    5.000   99.163
OBS:  56313.090  i NULL   2.434e+00   3.078e+00   0.79   99.000    5.000   99.092
OBS:  56317.066  z NULL  -5.247e+00   4.250e+00  -1.23   99.000    5.000   99.096
OBS:  56321.035  g NULL   6.705e+00   2.916e+00   2.30   99.000    5.000   98.913
OBS:  56321.043  r NULL   6.198e-01   1.365e+00   0.45   99.000    5.000   99.163
OBS:  56321.066  i NULL   3.446e+00   3.216e+00   1.07   99.000    5.000   99.092
OBS:  56326.039  z NULL   2.224e+00   2.606e+00   0.85   99.000    5.000   99.096
OBS:  56333.043  g NULL   1.505e+00   1.816e+00   0.83   27.056  100.944   29.860
OBS:  56333.051  r NULL   1.541e-01   1.383e+00   0.11   29.530   98.470   28.583
OBS:  56334.043  i NULL   1.650e+00   2.176e+00   0.76   26.956  101.044   27.189
OBS:  56335.043  z NULL  -6.168e-01   3.380e+00  -0.18  128.000    0.000   26.935
OBS:  56344.992  g NULL   3.916e-01   4.328e+00   0.09   28.518   99.482   26.521
OBS:  56345.000  r NULL   1.075e+01   1.876e+00   5.73   24.921    0.208   25.061
OBS:  56345.016  i NULL   1.627e+01   3.467e+00   4.69   24.471    0.260   24.368
OBS:  56345.992  z NULL   1.994e+01   3.719e+00   5.36   24.251    0.224   24.446
OBS:  56349.996  g NULL   8.029e+00   3.969e+00   2.02   25.238    0.740   26.091
OBS:  56350.004  r NULL   1.969e+01   2.096e+00   9.39   24.264    0.122   24.397
OBS:  56350.996  i NULL   2.867e+01   3.074e+00   9.33   23.856    0.123   23.772
END: 
