SURVEY: DES   
SNID:   387877   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.76962 +- 0.01360  (Helio, z_best) 
REDSHIFT_FINAL:   0.76962 +- 0.01360  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19771 
HOST_GALAXY_PHOTO-Z:   0.7696  +- 0.0136  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.7711  
SIM_HOSTLIB_TRUEZ:  0.7700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19771  
SIM_DLMU:      43.404453  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0100   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.08  24.28  23.66  23.85  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56359.066406  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.950e-06   
SIM_SALT2x1:   -1.7836   
SIM_SALT2c:    -0.0288   
SIM_SALT2mB:   24.1435   
SIM_MAGDIM:    1.222  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.43   days 
SIM_TRESTMAX:    -4.50   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56360.082  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 43 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56289.227  g NULL  -1.982e+00   6.491e+00  -0.31   99.000    5.000   98.599
OBS:  56289.242  r NULL   3.532e+00   2.702e+00   1.31   99.000    5.000   99.316
OBS:  56289.258  i NULL  -1.930e+00   5.084e+00  -0.38   99.000    5.000   99.284
OBS:  56292.035  z NULL   2.509e+00   2.062e+00   1.22   99.000    5.000   99.252
OBS:  56292.141  g NULL  -2.288e-01   3.053e+00  -0.07   99.000    5.000   98.599
OBS:  56292.156  r NULL   1.219e+00   1.735e+00   0.70   99.000    5.000   99.316
OBS:  56292.172  i NULL  -2.366e+00   2.653e+00  -0.89   99.000    5.000   99.284
OBS:  56303.039  g NULL   1.173e+00   1.371e+00   0.86   99.000    5.000   98.599
OBS:  56303.051  r NULL   2.176e-01   8.995e-01   0.24   99.000    5.000   99.316
OBS:  56303.070  i NULL  -3.061e-01   1.413e+00  -0.22   99.000    5.000   99.284
OBS:  56303.094  z NULL  -1.861e+00   2.209e+00  -0.84   99.000    5.000   99.252
OBS:  56311.043  g NULL   1.706e+00   2.670e+00   0.64   99.000    5.000   98.599
OBS:  56311.055  r NULL  -4.131e-01   1.496e+00  -0.28   99.000    5.000   99.316
OBS:  56311.074  i NULL   4.924e+00   2.390e+00   2.06   99.000    5.000   99.284
OBS:  56311.098  z NULL   5.402e+00   2.436e+00   2.22   99.000    5.000   99.252
OBS:  56317.125  g NULL  -4.659e+00   4.217e+00  -1.10   99.000    5.000   98.599
OBS:  56317.141  r NULL   1.629e+00   1.860e+00   0.88   99.000    5.000   99.316
OBS:  56318.109  i NULL  -5.490e-01   2.780e+00  -0.20   99.000    5.000   99.284
OBS:  56318.141  z NULL  -2.500e+00   2.975e+00  -0.84   99.000    5.000   99.252
OBS:  56321.090  g NULL   6.381e+00   6.628e+00   0.96   99.000    5.000   98.599
OBS:  56321.098  r NULL   4.362e+00   2.888e+00   1.51   99.000    5.000   99.316
OBS:  56321.109  i NULL  -5.492e+00   3.403e+00  -1.61   99.000    5.000   99.284
OBS:  56321.141  z NULL   2.073e+00   2.957e+00   0.70   99.000    5.000   99.252
OBS:  56332.039  g NULL   6.057e-01   1.459e+00   0.42   99.000    5.000   98.599
OBS:  56332.051  r NULL   6.319e-01   9.739e-01   0.65   27.998  100.002   29.975
OBS:  56332.070  i NULL   1.127e+00   1.581e+00   0.71   27.370  100.630   28.627
OBS:  56332.094  z NULL  -2.560e+00   2.577e+00  -0.99  128.000    0.000   27.731
OBS:  56340.043  g NULL  -3.505e+00   2.750e+00  -1.27   99.000    5.000   98.599
OBS:  56340.055  r NULL   5.368e+00   1.651e+00   3.25   25.676    0.399   26.028
OBS:  56340.074  i NULL   1.429e+01   2.735e+00   5.23   24.612    0.230   25.377
OBS:  56340.098  z NULL   2.721e+00   2.981e+00   0.91   26.413  101.587   25.409
OBS:  56348.055  g NULL   3.081e+00   3.254e+00   0.95   26.278  101.722   25.946
OBS:  56348.070  r NULL   1.445e+01   2.121e+00   6.81   24.600    0.172   24.604
OBS:  56349.004  i NULL   2.558e+01   2.409e+00  10.62   23.980    0.107   23.977
OBS:  56349.027  z NULL   1.974e+01   2.457e+00   8.03   24.262    0.145   24.193
OBS:  56350.043  g NULL   4.461e+00   3.840e+00   1.16   25.877    2.141   25.908
OBS:  56350.055  r NULL   1.580e+01   1.845e+00   8.56   24.504    0.135   24.435
OBS:  56350.070  i NULL   2.641e+01   3.203e+00   8.24   23.946    0.141   23.901
OBS:  56350.098  z NULL   1.611e+01   4.870e+00   3.31   24.483    0.392   24.125
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56351.043  g NULL   8.751e+00   3.359e+00   2.61   25.145    0.525   25.906
OBS:  56351.055  r NULL   1.917e+01   1.805e+00  10.62   24.293    0.107   24.374
OBS:  56351.070  i NULL   2.681e+01   3.105e+00   8.64   23.929    0.134   23.844
OBS:  56351.098  z NULL   1.554e+01   4.791e+00   3.24   24.522    0.401   24.071
END: 
