SURVEY: DES   
SNID:   392638   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.57275 +- 0.04090  (Helio, z_best) 
REDSHIFT_FINAL:   0.57275 +- 0.04090  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16019 
HOST_GALAXY_PHOTO-Z:   0.5728  +- 0.0409  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      1   (non1a index) 
SIM_COMMENT:  SN Type = Ibc , MODEL = NUGENT1bc  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.6110  
SIM_HOSTLIB_TRUEZ:  0.6100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16019  
SIM_DLMU:      42.786682  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0092   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.48  25.11  24.98  24.55  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56182.628906  days 
SIM_SALT2x0:   7.679e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -4.00   days 
SIM_TRESTMAX:    68.00   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56182.547  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   1.446e+01   4.772e+00   3.03   24.600    0.434   27.123
OBS:  56176.199  r NULL   1.018e+01   2.141e+00   4.76   24.981    0.256   25.067
OBS:  56176.215  i NULL   1.606e+01   3.162e+00   5.08   24.486    0.237   25.000
OBS:  56176.238  z NULL   1.108e+01   2.493e+00   4.44   24.889    0.277   24.673
OBS:  56179.188  g NULL   2.455e+00   2.586e+00   0.95   26.525  101.475   27.229
OBS:  56179.195  r NULL   9.553e+00   1.722e+00   5.55   25.050    0.216   25.027
OBS:  56179.234  i NULL   1.253e+01   2.001e+00   6.26   24.756    0.188   24.985
OBS:  56179.266  z NULL   7.927e+00   3.733e+00   2.12   25.252    0.693   24.593
OBS:  56180.266  g NULL   1.317e+00   2.552e+00   0.52   27.201  100.799   27.285
OBS:  56180.281  r NULL   1.097e+01   1.322e+00   8.30   24.900    0.139   25.045
OBS:  56180.297  i NULL   1.265e+01   3.692e+00   3.43   24.745    0.375   24.982
OBS:  56180.328  z NULL   1.899e+01   4.501e+00   4.22   24.304    0.293   24.576
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.160  g NULL  -6.866e+00   5.685e+00  -1.21  128.000    0.000   28.264
OBS:  56188.176  r NULL   1.588e+01   5.580e+00   2.85   24.498    0.469   25.425
OBS:  56188.211  i NULL   6.304e+00   4.523e+00   1.39   25.501    1.374   25.025
OBS:  56188.238  z NULL   1.435e+01   3.411e+00   4.21   24.608    0.295   24.545
OBS:  56189.254  g NULL   3.111e-01   2.284e+00   0.14   28.768   99.232   28.431
OBS:  56189.270  r NULL   1.335e+00   3.271e+00   0.41   27.187  100.813   25.503
OBS:  56189.281  i NULL  -6.388e-01   9.048e+00  -0.07  128.000    0.000   25.025
OBS:  56189.312  z NULL   1.375e+01   2.977e+00   4.62   24.654    0.265   24.545
OBS:  56194.258  g NULL  -4.226e-02   2.636e+00  -0.02  128.000    0.000   28.977
OBS:  56194.270  r NULL   1.959e+00   1.489e+00   1.32   26.770    1.555   25.872
OBS:  56194.285  i NULL   8.591e+00   2.300e+00   3.74   25.165    0.338   25.240
OBS:  56194.305  z NULL   1.402e+01   2.400e+00   5.84   24.633    0.204   24.680
OBS:  56202.160  g NULL  -2.607e+00   4.791e+00  -0.54  128.000    0.000   29.169
OBS:  56202.176  r NULL  -3.589e-01   2.323e+00  -0.15  128.000    0.000   26.612
OBS:  56202.191  i NULL  -8.809e+00   4.166e+00  -2.11  128.000    0.000   25.673
OBS:  56202.215  z NULL   9.583e+00   2.718e+00   3.53   25.046    0.362   25.041
OBS:  56210.172  g NULL   4.868e+00   3.691e+00   1.32   25.782    1.541   29.209
OBS:  56210.188  r NULL  -6.406e+00   3.217e+00  -1.99  128.000    0.000   27.140
OBS:  56210.203  i NULL   5.409e+00   3.210e+00   1.69   25.667    0.977   26.176
OBS:  56210.234  z NULL   1.143e+01   3.851e+00   2.97   24.854    0.445   25.418
OBS:  56218.172  g NULL   3.747e-01   1.250e+00   0.30   28.566   99.434   29.566
OBS:  56218.191  r NULL   9.448e-01   9.571e-01   0.99   27.562  100.438   27.365
OBS:  56218.211  i NULL   1.843e+00   1.501e+00   1.23   26.836    1.829   26.534
OBS:  56219.156  z NULL   5.608e+00   1.936e+00   2.90   25.628    0.460   25.814
OBS:  56221.273  g NULL   3.947e+00   3.911e+00   1.01   26.009    5.064   29.648
OBS:  56221.281  r NULL  -7.994e+00   5.583e+00  -1.43  128.000    0.000   27.464
OBS:  56221.297  i NULL  -1.013e+00   4.483e+00  -0.23  128.000    0.000   26.714
OBS:  56221.324  z NULL  -7.526e-01   1.439e+01  -0.05  128.000    0.000   25.941
OBS:  56222.074  g NULL  -4.634e+00   5.909e+00  -0.78  128.000    0.000   29.663
OBS:  56222.090  r NULL   2.964e+00   2.626e+00   1.13   26.320    2.357   27.486
OBS:  56222.113  i NULL   1.255e+00   3.323e+00   0.38   27.253  100.747   26.759
OBS:  56222.133  z NULL   2.714e-01   5.055e+00   0.05   28.916   99.084   25.989
OBS:  56228.059  g NULL  -1.084e+01   7.695e+00  -1.41  128.000    0.000   29.641
OBS:  56228.066  r NULL   1.199e+00   2.391e+00   0.50   27.303  100.697   27.660
OBS:  56228.086  i NULL   8.192e+00   5.110e+00   1.60   25.216    1.061   26.951
OBS:  56228.109  z NULL   2.274e+00   4.134e+00   0.55   26.608  101.392   26.259
OBS:  56229.047  g NULL  -4.372e+00   2.391e+01  -0.18  128.000    0.000   29.652
OBS:  56229.059  r NULL  -6.157e+00   3.852e+00  -1.60  128.000    0.000   27.687
