SURVEY: DES   
SNID:   396999   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.44819 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.44819 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.44819 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16657 
HOST_GALAXY_PHOTO-Z:   0.4275  +- 0.0290  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.4384  
SIM_HOSTLIB_TRUEZ:  0.4400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16657  
SIM_DLMU:      41.920395  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0102   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.186  mag  (host extinction at 5510 A)
SIM_RV:         2.488   (CCM89 extinction parameter) 
SIM_PEAKMAG:   23.47  22.43  22.47  22.60  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56361.953125  days 
SIM_DELTA:      0.260  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.740  
SIM_MAGDIM:    0.527  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -35.39   days 
SIM_TRESTMAX:    -7.55   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56361.996  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 32 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56311.043  g NULL   2.875e-01   2.670e+00   0.11   99.000    5.000   99.000
OBS:  56311.055  r NULL  -8.514e-01   1.496e+00  -0.57   99.000    5.000   99.000
OBS:  56311.074  i NULL   1.518e+00   2.388e+00   0.64   99.000    5.000   99.000
OBS:  56311.098  z NULL   4.166e-01   2.434e+00   0.17   99.000    5.000   99.000
OBS:  56317.125  g NULL   6.658e-01   4.216e+00   0.16   99.000    5.000   99.000
OBS:  56317.141  r NULL   1.095e+00   1.860e+00   0.59   99.000    5.000   99.000
OBS:  56318.109  i NULL   2.067e+00   2.781e+00   0.74   99.000    5.000   99.000
OBS:  56318.141  z NULL  -1.094e+00   2.975e+00  -0.37   99.000    5.000   99.000
OBS:  56321.090  g NULL  -8.144e+00   6.629e+00  -1.23   99.000    5.000   99.000
OBS:  56321.098  r NULL  -1.490e+00   2.887e+00  -0.52   99.000    5.000   99.000
OBS:  56321.109  i NULL   2.822e+00   3.401e+00   0.83   99.000    5.000   99.000
OBS:  56321.141  z NULL   6.772e-01   2.957e+00   0.23   99.000    5.000   99.000
OBS:  56332.039  g NULL  -7.512e-01   1.459e+00  -0.51   99.000    5.000   99.000
OBS:  56332.051  r NULL  -9.853e-01   9.739e-01  -1.01   99.000    5.000   99.000
OBS:  56332.070  i NULL   6.504e-01   1.581e+00   0.41   99.000    5.000   99.000
OBS:  56332.094  z NULL   5.652e-01   2.577e+00   0.22   99.000    5.000   99.000
OBS:  56340.043  g NULL  -1.013e+00   2.751e+00  -0.37  128.000    0.000   27.120
OBS:  56340.055  r NULL   4.196e+00   1.650e+00   2.54   25.943    0.542   26.009
OBS:  56340.074  i NULL   3.247e+00   2.722e+00   1.19   26.221    1.979   25.789
OBS:  56340.098  z NULL  -1.711e+00   2.981e+00  -0.57  128.000    0.000   25.791
OBS:  56348.055  g NULL   1.460e+01   3.275e+00   4.46   24.589    0.275   24.784
OBS:  56348.070  r NULL   3.564e+01   2.213e+00  16.11   23.620    0.069   23.683
OBS:  56349.004  i NULL   4.108e+01   2.487e+00  16.52   23.466    0.068   23.507
OBS:  56349.027  z NULL   3.979e+01   2.543e+00  15.65   23.501    0.072   23.489
OBS:  56350.043  g NULL   1.800e+01   3.867e+00   4.66   24.362    0.263   24.294
OBS:  56350.055  r NULL   4.927e+01   2.054e+00  23.99   23.269    0.046   23.240
OBS:  56350.070  i NULL   5.339e+01   3.322e+00  16.08   23.181    0.069   23.305
OBS:  56350.098  z NULL   4.652e+01   4.939e+00   9.42   23.331    0.122   23.284
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56351.043  g NULL   2.618e+01   3.409e+00   7.68   23.955    0.151   24.091
OBS:  56351.055  r NULL   6.049e+01   2.114e+00  28.61   23.046    0.038   23.068
OBS:  56351.070  i NULL   5.881e+01   3.259e+00  18.04   23.076    0.061   23.146
OBS:  56351.098  z NULL   6.030e+01   4.914e+00  12.27   23.049    0.092   23.128
END: 
