SURVEY: DES   
SNID:   397716   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.34716 +- 0.04820  (Helio, z_best) 
REDSHIFT_FINAL:   0.34716 +- 0.04820  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19070 
HOST_GALAXY_PHOTO-Z:   0.3472  +- 0.0482  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.3089  
SIM_HOSTLIB_TRUEZ:  0.3100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19070  
SIM_DLMU:      41.028416  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0101   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.007  mag  (host extinction at 5510 A)
SIM_RV:         2.378   (CCM89 extinction parameter) 
SIM_PEAKMAG:   21.47  21.21  21.29  21.84  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56161.730469  days 
SIM_DELTA:     -0.252  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.252  
SIM_MAGDIM:    0.045  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     7.12   days 
SIM_TRESTMAX:    65.34   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56160.680  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 69 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL   1.799e+02   7.823e+01   2.30   21.862    0.619   21.953
OBS:  56172.039  r NULL   2.611e+02   1.831e+01  14.25   21.458    0.079   21.426
OBS:  56172.051  i NULL   2.566e+02   5.021e+01   5.11   21.477    0.237   21.447
OBS:  56176.160  z NULL   1.012e+02   4.071e+00  24.87   22.487    0.046   22.353
OBS:  56179.023  g NULL   8.193e+01   6.685e+00  12.26   22.716    0.093   22.638
OBS:  56179.031  r NULL   1.959e+02   5.748e+00  34.09   21.770    0.032   21.773
OBS:  56179.047  i NULL   1.970e+02   8.078e+00  24.39   21.764    0.045   21.801
OBS:  56179.062  z NULL   1.039e+02   8.376e+00  12.41   22.458    0.091   22.494
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.031  g NULL   8.373e+01   6.019e+00  13.91   22.693    0.081   22.751
OBS:  56180.047  r NULL   1.806e+02   5.693e+00  31.73   21.858    0.035   21.818
OBS:  56180.062  i NULL   1.865e+02   7.631e+00  24.44   21.823    0.045   21.849
OBS:  56180.078  z NULL   1.185e+02   1.041e+01  11.38   22.316    0.099   22.522
OBS:  56188.004  g NULL   3.779e+01   5.790e+00   6.53   23.557    0.181   23.484
OBS:  56188.016  r NULL   1.130e+02   4.909e+00  23.01   22.368    0.049   22.303
OBS:  56188.027  i NULL   1.515e+02   7.097e+00  21.35   22.049    0.052   22.048
OBS:  56188.035  z NULL   1.125e+02   6.815e+00  16.51   22.372    0.067   22.518
OBS:  56189.004  g NULL   3.317e+01   5.745e+00   5.77   23.698    0.207   23.584
OBS:  56189.016  r NULL   1.108e+02   4.854e+00  22.82   22.389    0.049   22.373
OBS:  56189.027  i NULL   1.422e+02   6.979e+00  20.38   22.117    0.055   22.057
OBS:  56189.035  z NULL   9.733e+01   6.671e+00  14.59   22.529    0.077   22.499
OBS:  56194.012  g NULL   2.420e+01   6.257e+00   3.87   24.040    0.325   24.050
OBS:  56194.016  r NULL   9.092e+01   4.034e+00  22.54   22.603    0.049   22.675
OBS:  56194.023  i NULL   1.468e+02   6.799e+00  21.59   22.083    0.051   22.131
OBS:  56194.031  z NULL   1.031e+02   1.523e+01   6.77   22.467    0.174   22.434
OBS:  56198.992  g NULL   3.123e+01   1.870e+01   1.67   23.763    0.991   24.285
