SURVEY: DES   
SNID:   412969   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  33 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.28620 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.28620 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.28620 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14776 
HOST_GALAXY_PHOTO-Z:   0.2982  +- 0.0247  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      5   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = CSP-2004fe  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.2911  
SIM_HOSTLIB_TRUEZ:  0.2900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14776  
SIM_DLMU:      40.879704  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0116   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.21  23.50  23.06  23.13  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56233.320312  days 
SIM_SALT2x0:   4.448e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -34.98   days 
SIM_TRESTMAX:    68.02   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56232.543  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 129 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56188.160  g NULL   2.102e+00   5.684e+00   0.37   99.000    5.000   99.049
OBS:  56188.176  r NULL   7.931e+00   5.571e+00   1.42   99.000    5.000   99.055
OBS:  56188.211  i NULL  -8.679e-01   4.519e+00  -0.19   99.000    5.000   98.967
OBS:  56188.238  z NULL   5.362e+00   3.400e+00   1.58   99.000    5.000   99.016
OBS:  56189.254  g NULL  -1.536e+00   2.284e+00  -0.67   99.000    5.000   99.049
OBS:  56189.270  r NULL  -8.392e-01   3.267e+00  -0.26   99.000    5.000   99.055
OBS:  56189.281  i NULL   5.181e+00   9.046e+00   0.57   99.000    5.000   98.967
OBS:  56189.312  z NULL   3.499e-01   2.964e+00   0.12   99.000    5.000   99.016
OBS:  56194.258  g NULL   9.749e-01   2.636e+00   0.37   99.000    5.000   99.049
OBS:  56194.270  r NULL  -3.003e-01   1.485e+00  -0.20   99.000    5.000   99.055
OBS:  56194.285  i NULL   2.981e+00   2.291e+00   1.30   99.000    5.000   98.967
OBS:  56194.305  z NULL   1.727e+00   2.384e+00   0.72   99.000    5.000   99.016
OBS:  56202.160  g NULL  -7.417e+00   4.792e+00  -1.55  128.000    0.000   33.943
OBS:  56202.176  r NULL  -3.183e-01   2.322e+00  -0.14  128.000    0.000   34.064
OBS:  56202.191  i NULL   1.292e+00   4.162e+00   0.31   27.222  100.778   33.944
OBS:  56202.215  z NULL  -3.117e+00   2.711e+00  -1.15  128.000    0.000   34.079
OBS:  56210.172  g NULL  -1.578e+00   3.691e+00  -0.43  128.000    0.000   27.817
OBS:  56210.188  r NULL  -4.595e+00   3.216e+00  -1.43  128.000    0.000   27.439
OBS:  56210.203  i NULL  -2.154e+00   3.208e+00  -0.67  128.000    0.000   27.097
OBS:  56210.234  z NULL   2.579e+00   3.845e+00   0.67   26.471  101.529   27.215
OBS:  56218.172  g NULL   9.479e+00   1.285e+00   7.37   25.058    0.158   25.106
OBS:  56218.191  r NULL   1.619e+01   1.016e+00  15.94   24.477    0.070   24.462
