SURVEY: DES   
SNID:   416252   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.63563 +- 0.03920  (Helio, z_best) 
REDSHIFT_FINAL:   0.63563 +- 0.03920  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12668 
HOST_GALAXY_PHOTO-Z:   0.6356  +- 0.0392  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.5696  
SIM_HOSTLIB_TRUEZ:  0.5700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12668  
SIM_DLMU:      42.602303  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0136   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.094  mag  (host extinction at 5510 A)
SIM_RV:         2.089   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.16  22.66  22.68  22.73  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56204.183594  days 
SIM_DELTA:     -0.152  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.152  
SIM_MAGDIM:    0.204  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -21.11   days 
SIM_TRESTMAX:    64.27   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56202.602  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 93 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL  -1.680e+02   7.815e+01  -2.15   99.000    5.000   99.000
OBS:  56172.039  r NULL   1.613e+01   1.759e+01   0.92   99.000    5.000   99.000
OBS:  56172.051  i NULL  -4.382e+01   4.995e+01  -0.88   99.000    5.000   99.000
OBS:  56176.160  z NULL   3.936e+00   3.582e+00   1.10   26.012    2.615   26.963
OBS:  56179.023  g NULL   6.232e+00   6.379e+00   0.98   25.513  102.487   27.652
OBS:  56179.031  r NULL   7.518e+00   4.337e+00   1.73   25.310    0.934   25.463
OBS:  56179.047  i NULL   1.350e+01   7.146e+00   1.89   24.674    0.818   25.550
OBS:  56179.062  z NULL  -2.676e+00   8.139e+00  -0.33  128.000    0.000   25.579
OBS:  56180.031  g NULL   4.353e+00   5.674e+00   0.77   25.903  102.097   27.328
OBS:  56180.047  r NULL   6.289e+00   4.499e+00   1.40   25.504    1.365   25.140
OBS:  56180.062  i NULL   1.924e+01   6.749e+00   2.85   24.290    0.469   25.229
OBS:  56180.078  z NULL  -4.295e+00   1.017e+01  -0.42  128.000    0.000   25.259
OBS:  56188.004  g NULL   6.337e+00   5.695e+00   1.11   25.495    2.488   25.044
OBS:  56188.016  r NULL   3.793e+01   4.445e+00   8.53   23.552    0.135   23.630
OBS:  56188.027  i NULL   4.376e+01   6.525e+00   6.71   23.397    0.175   23.668
OBS:  56188.035  z NULL   2.415e+01   6.492e+00   3.72   24.043    0.341   23.709
OBS:  56189.004  g NULL   1.344e+01   5.672e+00   2.37   24.679    0.595   24.857
OBS:  56189.016  r NULL   3.572e+01   4.404e+00   8.11   23.618    0.143   23.483
OBS:  56189.027  i NULL   4.334e+01   6.470e+00   6.70   23.408    0.175   23.526
OBS:  56189.035  z NULL   3.868e+01   6.452e+00   6.00   23.531    0.198   23.576
OBS:  56194.012  g NULL   1.401e+01   6.243e+00   2.24   24.634    0.642   24.131
OBS:  56194.016  r NULL   7.102e+01   3.879e+00  18.31   22.872    0.061   22.909
OBS:  56194.023  i NULL   6.129e+01   6.287e+00   9.75   23.031    0.118   22.997
OBS:  56194.031  z NULL   6.832e+01   1.515e+01   4.51   22.914    0.272   23.066
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56198.992  g NULL   2.605e+01   1.870e+01   1.39   23.960    1.375   23.863
OBS:  56199.000  r NULL   8.167e+01   9.196e+00   8.88   22.720    0.130   22.701
OBS:  56199.008  i NULL   7.058e+01   1.190e+01   5.93   22.878    0.201   22.752
OBS:  56199.016  z NULL   7.696e+01   7.835e+00   9.82   22.784    0.116   22.839
OBS:  56199.039  g NULL   3.565e+01   3.351e+01   1.06   23.620    3.054   23.864
OBS:  56208.215  g NULL   1.484e+01   2.730e+00   5.44   24.571    0.221   24.404
OBS:  56208.223  r NULL   7.811e+01   2.365e+00  33.02   22.768    0.034   22.744
OBS:  56208.238  i NULL   8.571e+01   3.407e+00  25.15   22.667    0.044   22.698
OBS:  56209.160  z NULL   8.762e+01   3.648e+00  24.02   22.643    0.045   22.731
OBS:  56216.215  g NULL   7.696e+00   2.498e+00   3.08   25.284    0.426   25.191
OBS:  56216.223  r NULL   5.994e+01   2.248e+00  26.67   23.056    0.041   23.082
OBS:  56216.230  i NULL   6.789e+01   3.311e+00  20.50   22.920    0.054   22.897
OBS:  56218.152  z NULL   6.139e+01   2.927e+00  20.98   23.030    0.054   22.960
OBS:  56221.004  g NULL  -2.668e-01   5.236e+00  -0.05  128.000    0.000   25.580
OBS:  56221.016  r NULL   4.202e+01   3.692e+00  11.38   23.441    0.100   23.379
OBS:  56221.027  i NULL   6.577e+01   5.628e+00  11.69   22.955    0.097   23.113
OBS:  56221.035  z NULL   5.741e+01   5.518e+00  10.40   23.103    0.110   23.082
OBS:  56222.016  g NULL   2.335e+00   6.250e+00   0.37   26.579  101.421   25.698
OBS:  56222.027  r NULL   4.206e+01   3.730e+00  11.28   23.440    0.101   23.447
OBS:  56222.035  i NULL   5.230e+01   5.041e+00  10.38   23.204    0.110   23.162
OBS:  56228.012  z NULL   3.501e+01   5.592e+00   6.26   23.640    0.190   23.322
OBS:  56229.012  g NULL   4.466e+00   9.820e+00   0.45   25.875  102.125   26.512
OBS:  56229.016  r NULL   1.951e+01   4.351e+00   4.48   24.274    0.275   24.015
OBS:  56229.023  i NULL   4.193e+01   7.864e+00   5.33   23.444    0.225   23.473
OBS:  56230.012  z NULL   4.887e+01   5.007e+00   9.76   23.277    0.117   23.371
