SURVEY: DES   
SNID:   423174   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   1.03820 +- 0.03010  (Helio, z_best) 
REDSHIFT_FINAL:   1.03820 +- 0.03010  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17779 
HOST_GALAXY_PHOTO-Z:   1.0382  +- 0.0301  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  1.0326  
SIM_HOSTLIB_TRUEZ:  1.0300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17779  
SIM_DLMU:      44.186371  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0102   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.239  mag  (host extinction at 5510 A)
SIM_RV:         2.594   (CCM89 extinction parameter) 
SIM_PEAKMAG:   55.49  25.36  24.15  23.98  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56338.976562  days 
SIM_DELTA:     -0.337  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.337  
SIM_MAGDIM:    0.209  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.82   days 
SIM_TRESTMAX:     5.96   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56335.734  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.035  i NULL  -4.029e+00   9.885e+00  -0.41   99.000    5.000   99.000
OBS:  56258.066  z NULL   6.225e+00   3.969e+00   1.57   99.000    5.000   99.000
OBS:  56258.215  g NULL   1.069e+00   4.947e+00   0.22   99.000    5.000   99.000
OBS:  56258.227  r NULL  -3.739e+00   2.382e+00  -1.57   99.000    5.000   99.000
OBS:  56261.098  g NULL   1.172e+01   8.830e+00   1.33   99.000    5.000   99.000
OBS:  56261.102  r NULL  -2.564e+00   3.394e+00  -0.76   99.000    5.000   99.000
OBS:  56261.125  i NULL  -1.374e+00   3.853e+00  -0.36   99.000    5.000   99.000
OBS:  56261.156  z NULL  -3.599e+00   3.086e+00  -1.17   99.000    5.000   99.000
OBS:  56273.160  g NULL  -5.617e-01   1.752e+00  -0.32   99.000    5.000   99.000
OBS:  56273.176  r NULL   9.219e-01   1.213e+00   0.76   99.000    5.000   99.000
OBS:  56273.188  i NULL   2.827e+00   2.024e+00   1.40   99.000    5.000   99.000
OBS:  56273.219  z NULL   5.723e+00   2.253e+00   2.54   99.000    5.000   99.000
OBS:  56281.160  g NULL   2.633e-01   2.074e+00   0.13   99.000    5.000   99.000
OBS:  56281.184  r NULL  -2.907e-01   1.273e+00  -0.23   99.000    5.000   99.000
OBS:  56281.203  i NULL   2.505e+00   1.799e+00   1.39   99.000    5.000   99.000
OBS:  56281.227  z NULL   5.514e-01   2.290e+00   0.24   99.000    5.000   99.000
OBS:  56288.086  g NULL  -1.030e+01   4.853e+00  -2.12   99.000    5.000   99.000
OBS:  56288.094  r NULL  -3.740e-01   2.113e+00  -0.18   99.000    5.000   99.000
OBS:  56288.109  i NULL  -2.680e+00   3.059e+00  -0.88   99.000    5.000   99.000
OBS:  56288.141  z NULL   1.748e+00   2.584e+00   0.68   99.000    5.000   99.000
OBS:  56289.227  g NULL   3.293e-01   6.491e+00   0.05   99.000    5.000   99.000
OBS:  56289.242  r NULL   4.342e-01   2.701e+00   0.16   99.000    5.000   99.000
OBS:  56289.258  i NULL   1.411e+00   5.084e+00   0.28   99.000    5.000   99.000
OBS:  56292.035  z NULL   3.607e+00   2.062e+00   1.75   99.000    5.000   99.000
OBS:  56292.141  g NULL  -3.208e-01   3.053e+00  -0.11   99.000    5.000   99.000
OBS:  56292.156  r NULL   8.222e-01   1.735e+00   0.47   99.000    5.000   99.000
OBS:  56292.172  i NULL   4.006e-01   2.653e+00   0.15   99.000    5.000   99.000
OBS:  56303.039  g NULL  -1.190e+00   1.371e+00  -0.87  128.000    0.000   59.230
OBS:  56303.051  r NULL   2.890e-01   8.997e-01   0.32   28.848   99.152   29.257
OBS:  56303.070  i NULL   2.282e+00   1.414e+00   1.61   26.604    1.049   27.822
OBS:  56303.094  z NULL  -2.413e-01   2.209e+00  -0.11  128.000    0.000   27.784
OBS:  56311.043  g NULL  -1.500e+00   2.670e+00  -0.56  128.000    0.000   57.010
OBS:  56311.055  r NULL   2.818e+00   1.498e+00   1.88   26.375    0.822   26.934
OBS:  56311.074  i NULL   6.396e+00   2.393e+00   2.67   25.485    0.509   25.645
OBS:  56311.098  z NULL   3.261e+00   2.436e+00   1.34   26.217    1.494   25.561
OBS:  56317.125  g NULL  -3.022e+00   4.217e+00  -0.72  128.000    0.000   56.172
OBS:  56317.141  r NULL   5.045e+00   1.864e+00   2.71   25.743    0.500   25.908
OBS:  56318.109  i NULL   1.371e+01   2.795e+00   4.91   24.657    0.247   24.801
OBS:  56318.141  z NULL   1.379e+01   2.987e+00   4.62   24.651    0.265   24.744
OBS:  56321.090  g NULL   6.692e+00   6.628e+00   1.01   25.436    5.027   55.764
OBS:  56321.098  r NULL   7.060e+00   2.894e+00   2.44   25.378    0.573   25.458
